regulatoryGene	targetGene	weight	regulatoryExtGene	targetExtGene
ENSMUSG00000031565	ENSMUSG00000025967	0.107254834792729	Fgfr1	Eef1b2
ENSMUSG00000006715	ENSMUSG00000056071	0.0929982163057268	Gmnn	S100a9
ENSMUSG00000031565	ENSMUSG00000114635	0.0915869448190097	Fgfr1	Gm49392
ENSMUSG00000042354	ENSMUSG00000026981	0.0879881542728243	Gnl3	Il1rn
ENSMUSG00000031565	ENSMUSG00000078795	0.0868673072545999	Fgfr1	Ceacam15
ENSMUSG00000031565	ENSMUSG00000042306	0.0834935315856241	Fgfr1	S100a14
ENSMUSG00000079658	ENSMUSG00000027398	0.0824482624424141	Eloc	Il1b
ENSMUSG00000056071	ENSMUSG00000027398	0.0820174485740608	S100a9	Il1b
ENSMUSG00000054766	ENSMUSG00000056071	0.0811956875613212	Set	S100a9
ENSMUSG00000063972	ENSMUSG00000051439	0.0791846357905202	Nr6a1	Cd14
ENSMUSG00000031565	ENSMUSG00000020701	0.0787027321866438	Fgfr1	Tmem132e
ENSMUSG00000079658	ENSMUSG00000056071	0.0772489717993207	Eloc	S100a9
ENSMUSG00000031939	ENSMUSG00000027398	0.0765631331445525	Taf1d	Il1b
ENSMUSG00000063972	ENSMUSG00000027398	0.0757481934749229	Nr6a1	Il1b
ENSMUSG00000006715	ENSMUSG00000006490	0.0757052969891866	Gmnn	Prl8a9
ENSMUSG00000042354	ENSMUSG00000056071	0.075477838349589	Gnl3	S100a9
ENSMUSG00000054766	ENSMUSG00000027398	0.0748931290730271	Set	Il1b
ENSMUSG00000031565	ENSMUSG00000040296	0.0746371420923633	Fgfr1	Ddx58
ENSMUSG00000022255	ENSMUSG00000056071	0.07446605458747	Mtdh	S100a9
ENSMUSG00000063972	ENSMUSG00000025467	0.0741886673319278	Nr6a1	Prap1
ENSMUSG00000038437	ENSMUSG00000025467	0.0724557251095041	Mllt6	Prap1
ENSMUSG00000063972	ENSMUSG00000056071	0.0717801162196721	Nr6a1	S100a9
ENSMUSG00000022255	ENSMUSG00000020077	0.0713585014463844	Mtdh	Srgn
ENSMUSG00000042354	ENSMUSG00000033213	0.0712799371726942	Gnl3	AA467197
ENSMUSG00000038437	ENSMUSG00000040658	0.0708488253765732	Mllt6	Dnph1
ENSMUSG00000031939	ENSMUSG00000051439	0.0706555136785446	Taf1d	Cd14
ENSMUSG00000001156	ENSMUSG00000060036	0.0705621650951957	Mxd1	Rpl3
ENSMUSG00000056071	ENSMUSG00000051439	0.0702670614521824	S100a9	Cd14
ENSMUSG00000031565	ENSMUSG00000090733	0.0700325477283472	Fgfr1	Rps27
ENSMUSG00000031565	ENSMUSG00000032363	0.0698135714585478	Fgfr1	Adamts7
ENSMUSG00000006715	ENSMUSG00000020077	0.0692982954994076	Gmnn	Srgn
ENSMUSG00000020923	ENSMUSG00000025467	0.0688638825942893	Ubtf	Prap1
ENSMUSG00000031939	ENSMUSG00000056071	0.0687595644079289	Taf1d	S100a9
ENSMUSG00000063972	ENSMUSG00000028010	0.0683522069441784	Nr6a1	Gar1
ENSMUSG00000042354	ENSMUSG00000027398	0.0683216827933274	Gnl3	Il1b
ENSMUSG00000048897	ENSMUSG00000018259	0.0682360057328245	Zfp710	Prl8a2
ENSMUSG00000031565	ENSMUSG00000052305	0.0681161360644933	Fgfr1	Hbb-bs
ENSMUSG00000031565	ENSMUSG00000063952	0.0671884475593674	Fgfr1	Brpf3
ENSMUSG00000054766	ENSMUSG00000030157	0.0671808257188063	Set	Clec2d
ENSMUSG00000006715	ENSMUSG00000074896	0.0667901483486572	Gmnn	Ifit3
ENSMUSG00000027186	ENSMUSG00000073940	0.0664123906752578	Elf5	Hbb-bt
ENSMUSG00000020923	ENSMUSG00000040658	0.0660722875140461	Ubtf	Dnph1
ENSMUSG00000022255	ENSMUSG00000030157	0.0657311574579142	Mtdh	Clec2d
ENSMUSG00000022831	ENSMUSG00000042993	0.0646948431818452	Hcls1	Ifnk
ENSMUSG00000048897	ENSMUSG00000040658	0.0646623925250575	Zfp710	Dnph1
ENSMUSG00000027186	ENSMUSG00000050914	0.0643124862999415	Elf5	Ankrd37
ENSMUSG00000042354	ENSMUSG00000006490	0.0637027832185433	Gnl3	Prl8a9
ENSMUSG00000010376	ENSMUSG00000042993	0.0628038481243791	Nedd8	Ifnk
ENSMUSG00000056071	ENSMUSG00000026981	0.0627635153643718	S100a9	Il1rn
ENSMUSG00000042354	ENSMUSG00000074896	0.0627421681714498	Gnl3	Ifit3
ENSMUSG00000022255	ENSMUSG00000027398	0.0617474220663835	Mtdh	Il1b
ENSMUSG00000022831	ENSMUSG00000046056	0.061585928970334	Hcls1	Sbsn
ENSMUSG00000063972	ENSMUSG00000074896	0.0614678006172137	Nr6a1	Ifit3
ENSMUSG00000031939	ENSMUSG00000020077	0.0609444005938557	Taf1d	Srgn
ENSMUSG00000042354	ENSMUSG00000073412	0.0608721541256943	Gnl3	Lst1
ENSMUSG00000063972	ENSMUSG00000018259	0.0608543862260618	Nr6a1	Prl8a2
ENSMUSG00000031987	ENSMUSG00000003161	0.0608528850240129	Egln1	Sri
ENSMUSG00000031565	ENSMUSG00000030022	0.0605934548123839	Fgfr1	Adamts9
ENSMUSG00000079658	ENSMUSG00000030157	0.0605792857796503	Eloc	Clec2d
ENSMUSG00000042354	ENSMUSG00000042993	0.0604547242412837	Gnl3	Ifnk
ENSMUSG00000006715	ENSMUSG00000026981	0.0601060526882295	Gmnn	Il1rn
ENSMUSG00000063972	ENSMUSG00000020077	0.0599569591125917	Nr6a1	Srgn
ENSMUSG00000063972	ENSMUSG00000026981	0.0594406961570652	Nr6a1	Il1rn
ENSMUSG00000031939	ENSMUSG00000030157	0.0594354941886927	Taf1d	Clec2d
ENSMUSG00000054766	ENSMUSG00000068036	0.0593866425064115	Set	Afdn
ENSMUSG00000021025	ENSMUSG00000031565	0.0589801099746109	Nfkbia	Fgfr1
ENSMUSG00000063972	ENSMUSG00000002297	0.0588507020521814	Nr6a1	Dbf4
ENSMUSG00000056071	ENSMUSG00000073412	0.0588057504679015	S100a9	Lst1
