regulatoryGene	targetGene
ENSMUSG00000031565	ENSMUSG00000114635
ENSMUSG00000031565	ENSMUSG00000025967
ENSMUSG00000031939	ENSMUSG00000056071
ENSMUSG00000063972	ENSMUSG00000027398
ENSMUSG00000031565	ENSMUSG00000042306
ENSMUSG00000027186	ENSMUSG00000073940
ENSMUSG00000006715	ENSMUSG00000027398
ENSMUSG00000031565	ENSMUSG00000063952
ENSMUSG00000042354	ENSMUSG00000027398
ENSMUSG00000022255	ENSMUSG00000056071
ENSMUSG00000079658	ENSMUSG00000056071
ENSMUSG00000056071	ENSMUSG00000027398
ENSMUSG00000054766	ENSMUSG00000056071
ENSMUSG00000063972	ENSMUSG00000051439
ENSMUSG00000054766	ENSMUSG00000027398
ENSMUSG00000042354	ENSMUSG00000033213
ENSMUSG00000063972	ENSMUSG00000056071
ENSMUSG00000056071	ENSMUSG00000026981
ENSMUSG00000031565	ENSMUSG00000032363
ENSMUSG00000031939	ENSMUSG00000030157
ENSMUSG00000031939	ENSMUSG00000027398
ENSMUSG00000063972	ENSMUSG00000003161
ENSMUSG00000031565	ENSMUSG00000030022
ENSMUSG00000006715	ENSMUSG00000056071
ENSMUSG00000056071	ENSMUSG00000073412
ENSMUSG00000042354	ENSMUSG00000056071
ENSMUSG00000079658	ENSMUSG00000051439
ENSMUSG00000056071	ENSMUSG00000030157
ENSMUSG00000031565	ENSMUSG00000040296
ENSMUSG00000031565	ENSMUSG00000090733
ENSMUSG00000031939	ENSMUSG00000051439
ENSMUSG00000006715	ENSMUSG00000026981
ENSMUSG00000020923	ENSMUSG00000073422
ENSMUSG00000054766	ENSMUSG00000073412
ENSMUSG00000063972	ENSMUSG00000020077
ENSMUSG00000006715	ENSMUSG00000033213
ENSMUSG00000063972	ENSMUSG00000028010
ENSMUSG00000031565	ENSMUSG00000052305
ENSMUSG00000031565	ENSMUSG00000066861
ENSMUSG00000031565	ENSMUSG00000060036
ENSMUSG00000079658	ENSMUSG00000025467
ENSMUSG00000079658	ENSMUSG00000002297
ENSMUSG00000031987	ENSMUSG00000003161
ENSMUSG00000042354	ENSMUSG00000006490
ENSMUSG00000031939	ENSMUSG00000020077
ENSMUSG00000025498	ENSMUSG00000042993
ENSMUSG00000006715	ENSMUSG00000051439
ENSMUSG00000001156	ENSMUSG00000031565
ENSMUSG00000010376	ENSMUSG00000033213
ENSMUSG00000063972	ENSMUSG00000040658
ENSMUSG00000006715	ENSMUSG00000020077
ENSMUSG00000054766	ENSMUSG00000051439
ENSMUSG00000027186	ENSMUSG00000050914
ENSMUSG00000021025	ENSMUSG00000060036
ENSMUSG00000022255	ENSMUSG00000027398
ENSMUSG00000020923	ENSMUSG00000040658
ENSMUSG00000048897	ENSMUSG00000025467
ENSMUSG00000031987	ENSMUSG00000073940
ENSMUSG00000031565	ENSMUSG00000020701
ENSMUSG00000006715	ENSMUSG00000030157
ENSMUSG00000020923	ENSMUSG00000018259
ENSMUSG00000006715	ENSMUSG00000006490
ENSMUSG00000042354	ENSMUSG00000051439
ENSMUSG00000031565	ENSMUSG00000078795
ENSMUSG00000001156	ENSMUSG00000060036
ENSMUSG00000079658	ENSMUSG00000030157
ENSMUSG00000063972	ENSMUSG00000030157
ENSMUSG00000031939	ENSMUSG00000074896
ENSMUSG00000022255	ENSMUSG00000020077
ENSMUSG00000042354	ENSMUSG00000073412
ENSMUSG00000031939	ENSMUSG00000026981
ENSMUSG00000010376	ENSMUSG00000042993
ENSMUSG00000054766	ENSMUSG00000026981
ENSMUSG00000056071	ENSMUSG00000020077
ENSMUSG00000022255	ENSMUSG00000030157
ENSMUSG00000042354	ENSMUSG00000020077
ENSMUSG00000025364	ENSMUSG00000018259
ENSMUSG00000042354	ENSMUSG00000026981
ENSMUSG00000059040	ENSMUSG00000025467
ENSMUSG00000059040	ENSMUSG00000040658
ENSMUSG00000079658	ENSMUSG00000027398
ENSMUSG00000079658	ENSMUSG00000018259
ENSMUSG00000042354	ENSMUSG00000074896
ENSMUSG00000042354	ENSMUSG00000042993
ENSMUSG00000001156	ENSMUSG00000006490
ENSMUSG00000010376	ENSMUSG00000060036
ENSMUSG00000022831	ENSMUSG00000033355
ENSMUSG00000063972	ENSMUSG00000025467
ENSMUSG00000025364	ENSMUSG00000025467
ENSMUSG00000031565	ENSMUSG00000021440
ENSMUSG00000056071	ENSMUSG00000074896
ENSMUSG00000022255	ENSMUSG00000051439
ENSMUSG00000031939	ENSMUSG00000024610
ENSMUSG00000022831	ENSMUSG00000006490
ENSMUSG00000021025	ENSMUSG00000042993
ENSMUSG00000020923	ENSMUSG00000025467
ENSMUSG00000031987	ENSMUSG00000028010
ENSMUSG00000031565	ENSMUSG00000033355
ENSMUSG00000031565	ENSMUSG00000046718
ENSMUSG00000079658	ENSMUSG00000026981
ENSMUSG00000056071	ENSMUSG00000051439
ENSMUSG00000079658	ENSMUSG00000058558
ENSMUSG00000031939	ENSMUSG00000073412
ENSMUSG00000063972	ENSMUSG00000026981
ENSMUSG00000010376	ENSMUSG00000033355
ENSMUSG00000063972	ENSMUSG00000074896
ENSMUSG00000048897	ENSMUSG00000018259
ENSMUSG00000031987	ENSMUSG00000050914
ENSMUSG00000010376	ENSMUSG00000035521
ENSMUSG00000031939	ENSMUSG00000033213
ENSMUSG00000022255	ENSMUSG00000068036
ENSMUSG00000038437	ENSMUSG00000018259
ENSMUSG00000001156	ENSMUSG00000066861
ENSMUSG00000006715	ENSMUSG00000060036
ENSMUSG00000006715	ENSMUSG00000002297
ENSMUSG00000063972	ENSMUSG00000068036
ENSMUSG00000006715	ENSMUSG00000074896
ENSMUSG00000059040	ENSMUSG00000018259
ENSMUSG00000038437	ENSMUSG00000018774
ENSMUSG00000022831	ENSMUSG00000025498
ENSMUSG00000021025	ENSMUSG00000025492
ENSMUSG00000079658	ENSMUSG00000024610
ENSMUSG00000038437	ENSMUSG00000025467
ENSMUSG00000038151	ENSMUSG00000004542
ENSMUSG00000022255	ENSMUSG00000002297
ENSMUSG00000054766	ENSMUSG00000020077
ENSMUSG00000021025	ENSMUSG00000031565
ENSMUSG00000010376	ENSMUSG00000006490
ENSMUSG00000006715	ENSMUSG00000073412
ENSMUSG00000022831	ENSMUSG00000031565
ENSMUSG00000006715	ENSMUSG00000091898
ENSMUSG00000063972	ENSMUSG00000018259
ENSMUSG00000025498	ENSMUSG00000025348
ENSMUSG00000001156	ENSMUSG00000026429
ENSMUSG00000025498	ENSMUSG00000026429
ENSMUSG00000021025	ENSMUSG00000074874
ENSMUSG00000042354	ENSMUSG00000026429
ENSMUSG00000001156	ENSMUSG00000033213
ENSMUSG00000054766	ENSMUSG00000074896
ENSMUSG00000042354	ENSMUSG00000002297
ENSMUSG00000038151	ENSMUSG00000042993
ENSMUSG00000031565	ENSMUSG00000064039
ENSMUSG00000031987	ENSMUSG00000040345
ENSMUSG00000048897	ENSMUSG00000073422
ENSMUSG00000022831	ENSMUSG00000052406
ENSMUSG00000079658	ENSMUSG00000074896
ENSMUSG00000001156	ENSMUSG00000074874
ENSMUSG00000027552	ENSMUSG00000046056
ENSMUSG00000001156	ENSMUSG00000091898
ENSMUSG00000027552	ENSMUSG00000052406
ENSMUSG00000006715	ENSMUSG00000033355
ENSMUSG00000079658	ENSMUSG00000073412
ENSMUSG00000021025	ENSMUSG00000046056
ENSMUSG00000010376	ENSMUSG00000025492
ENSMUSG00000079658	ENSMUSG00000000682
ENSMUSG00000021025	ENSMUSG00000022886
ENSMUSG00000021025	ENSMUSG00000033213
ENSMUSG00000010376	ENSMUSG00000031565
ENSMUSG00000052406	ENSMUSG00000004542
ENSMUSG00000056071	ENSMUSG00000068036
ENSMUSG00000021025	ENSMUSG00000025967
ENSMUSG00000031939	ENSMUSG00000068036
ENSMUSG00000038151	ENSMUSG00000046056
ENSMUSG00000042354	ENSMUSG00000031565
ENSMUSG00000001156	ENSMUSG00000061815
ENSMUSG00000022255	ENSMUSG00000026981
ENSMUSG00000056071	ENSMUSG00000035521
ENSMUSG00000079658	ENSMUSG00000040658
ENSMUSG00000063972	ENSMUSG00000073422
ENSMUSG00000048897	ENSMUSG00000018774
ENSMUSG00000025498	ENSMUSG00000025492
ENSMUSG00000025364	ENSMUSG00000073422
ENSMUSG00000025498	ENSMUSG00000052406
ENSMUSG00000025498	ENSMUSG00000004542
ENSMUSG00000063972	ENSMUSG00000058558
ENSMUSG00000006715	ENSMUSG00000025967
ENSMUSG00000021025	ENSMUSG00000091898
ENSMUSG00000042354	ENSMUSG00000033355
ENSMUSG00000056071	ENSMUSG00000006490
ENSMUSG00000052406	ENSMUSG00000027913
ENSMUSG00000048897	ENSMUSG00000058558
ENSMUSG00000031482	ENSMUSG00000025498
ENSMUSG00000042354	ENSMUSG00000022831
ENSMUSG00000001156	ENSMUSG00000033355
ENSMUSG00000020923	ENSMUSG00000020277
ENSMUSG00000010376	ENSMUSG00000027913
ENSMUSG00000056071	ENSMUSG00000026429
ENSMUSG00000063972	ENSMUSG00000024610
ENSMUSG00000022831	ENSMUSG00000004542
ENSMUSG00000038151	ENSMUSG00000026429
ENSMUSG00000025364	ENSMUSG00000058558
ENSMUSG00000022831	ENSMUSG00000025967
ENSMUSG00000006715	ENSMUSG00000068036
ENSMUSG00000010376	ENSMUSG00000061815
ENSMUSG00000036432	ENSMUSG00000025348
ENSMUSG00000059040	ENSMUSG00000073422
ENSMUSG00000056071	ENSMUSG00000002297
ENSMUSG00000031565	ENSMUSG00000033213
ENSMUSG00000022831	ENSMUSG00000060036
ENSMUSG00000022831	ENSMUSG00000025348
ENSMUSG00000010376	ENSMUSG00000052406
ENSMUSG00000031565	ENSMUSG00000041620
ENSMUSG00000031482	ENSMUSG00000042993
ENSMUSG00000010376	ENSMUSG00000025967
ENSMUSG00000042354	ENSMUSG00000090553
ENSMUSG00000020923	ENSMUSG00000018774
ENSMUSG00000038437	ENSMUSG00000040658
ENSMUSG00000042354	ENSMUSG00000068036
ENSMUSG00000009248	ENSMUSG00000022893
ENSMUSG00000022831	ENSMUSG00000022893
ENSMUSG00000021025	ENSMUSG00000006490
ENSMUSG00000021359	ENSMUSG00000020183
ENSMUSG00000022255	ENSMUSG00000061815
ENSMUSG00000031939	ENSMUSG00000015002
ENSMUSG00000020923	ENSMUSG00000058558
ENSMUSG00000021025	ENSMUSG00000021440
ENSMUSG00000006715	ENSMUSG00000042993
ENSMUSG00000006715	ENSMUSG00000046718
ENSMUSG00000022831	ENSMUSG00000044626
ENSMUSG00000022255	ENSMUSG00000033213
ENSMUSG00000063972	ENSMUSG00000006490
ENSMUSG00000056071	ENSMUSG00000042993
ENSMUSG00000006715	ENSMUSG00000035521
ENSMUSG00000022831	ENSMUSG00000025492
ENSMUSG00000059040	ENSMUSG00000058558
ENSMUSG00000054766	ENSMUSG00000061815
ENSMUSG00000052713	ENSMUSG00000053846
ENSMUSG00000027186	ENSMUSG00000036718
ENSMUSG00000031987	ENSMUSG00000050565
ENSMUSG00000054766	ENSMUSG00000002297
ENSMUSG00000052406	ENSMUSG00000030846
ENSMUSG00000079658	ENSMUSG00000068036
ENSMUSG00000001156	ENSMUSG00000057446
ENSMUSG00000022831	ENSMUSG00000078795
ENSMUSG00000042354	ENSMUSG00000046056
ENSMUSG00000031565	ENSMUSG00000003541
ENSMUSG00000006715	ENSMUSG00000031565
ENSMUSG00000027186	ENSMUSG00000001995
ENSMUSG00000048897	ENSMUSG00000038028
ENSMUSG00000054766	ENSMUSG00000033213
ENSMUSG00000059040	ENSMUSG00000056629
ENSMUSG00000031565	ENSMUSG00000022893
ENSMUSG00000036432	ENSMUSG00000046056
ENSMUSG00000038437	ENSMUSG00000028010
ENSMUSG00000027186	ENSMUSG00000040345
ENSMUSG00000010376	ENSMUSG00000046056
ENSMUSG00000031565	ENSMUSG00000022886
ENSMUSG00000036432	ENSMUSG00000025492
ENSMUSG00000001156	ENSMUSG00000052406
ENSMUSG00000031482	ENSMUSG00000061815
ENSMUSG00000022255	ENSMUSG00000073412
ENSMUSG00000042354	ENSMUSG00000025498
ENSMUSG00000010376	ENSMUSG00000026429
ENSMUSG00000054766	ENSMUSG00000068036
ENSMUSG00000054766	ENSMUSG00000042993
ENSMUSG00000079658	ENSMUSG00000020077
ENSMUSG00000048897	ENSMUSG00000032103
ENSMUSG00000027552	ENSMUSG00000042993
ENSMUSG00000059040	ENSMUSG00000018774
ENSMUSG00000027552	ENSMUSG00000044626
ENSMUSG00000095098	ENSMUSG00000001995
ENSMUSG00000063972	ENSMUSG00000002297
ENSMUSG00000031565	ENSMUSG00000074874
ENSMUSG00000022831	ENSMUSG00000074874
ENSMUSG00000025364	ENSMUSG00000018774
ENSMUSG00000038151	ENSMUSG00000027913
ENSMUSG00000036432	ENSMUSG00000026429
ENSMUSG00000042354	ENSMUSG00000035521
ENSMUSG00000031565	ENSMUSG00000091898
ENSMUSG00000063972	ENSMUSG00000018774
ENSMUSG00000001156	ENSMUSG00000021440
ENSMUSG00000031565	ENSMUSG00000006490
ENSMUSG00000021025	ENSMUSG00000022831
ENSMUSG00000052837	ENSMUSG00000021822
ENSMUSG00000010376	ENSMUSG00000066861
ENSMUSG00000079658	ENSMUSG00000073422
ENSMUSG00000031939	ENSMUSG00000025498
ENSMUSG00000041235	ENSMUSG00000001995
ENSMUSG00000031939	ENSMUSG00000046056
ENSMUSG00000025498	ENSMUSG00000046056
ENSMUSG00000056071	ENSMUSG00000024610
ENSMUSG00000031987	ENSMUSG00000036718
ENSMUSG00000052406	ENSMUSG00000061815
ENSMUSG00000031987	ENSMUSG00000050088
ENSMUSG00000001156	ENSMUSG00000025967
ENSMUSG00000025498	ENSMUSG00000035521
ENSMUSG00000056071	ENSMUSG00000025498
ENSMUSG00000006715	ENSMUSG00000021629
ENSMUSG00000038437	ENSMUSG00000062148
ENSMUSG00000036432	ENSMUSG00000042993
ENSMUSG00000020923	ENSMUSG00000028010
ENSMUSG00000056071	ENSMUSG00000041921
ENSMUSG00000022831	ENSMUSG00000091898
ENSMUSG00000027186	ENSMUSG00000050088
ENSMUSG00000010376	ENSMUSG00000022831
ENSMUSG00000031939	ENSMUSG00000041921
ENSMUSG00000025498	ENSMUSG00000022831
ENSMUSG00000031987	ENSMUSG00000021831
ENSMUSG00000025364	ENSMUSG00000040658
ENSMUSG00000001156	ENSMUSG00000025348
ENSMUSG00000043099	ENSMUSG00000020183
ENSMUSG00000022831	ENSMUSG00000007209
ENSMUSG00000048897	ENSMUSG00000040658
ENSMUSG00000022255	ENSMUSG00000074896
ENSMUSG00000056071	ENSMUSG00000061815
ENSMUSG00000020923	ENSMUSG00000032103
ENSMUSG00000020923	ENSMUSG00000056629
ENSMUSG00000028640	ENSMUSG00000037463
ENSMUSG00000002325	ENSMUSG00000020838
ENSMUSG00000022255	ENSMUSG00000041921
ENSMUSG00000022255	ENSMUSG00000035521
ENSMUSG00000022831	ENSMUSG00000033213
ENSMUSG00000025364	ENSMUSG00000032103
ENSMUSG00000021025	ENSMUSG00000046718
ENSMUSG00000038437	ENSMUSG00000073422
ENSMUSG00000079658	ENSMUSG00000018774
ENSMUSG00000038151	ENSMUSG00000030846
ENSMUSG00000052406	ENSMUSG00000026429
ENSMUSG00000021025	ENSMUSG00000004542
ENSMUSG00000042354	ENSMUSG00000061815
ENSMUSG00000001156	ENSMUSG00000031613
ENSMUSG00000079658	ENSMUSG00000021079
ENSMUSG00000052406	ENSMUSG00000042993
ENSMUSG00000031482	ENSMUSG00000025995
ENSMUSG00000042354	ENSMUSG00000025492
ENSMUSG00000052406	ENSMUSG00000025348
ENSMUSG00000031103	ENSMUSG00000051652
