regulatoryGene	targetGene	weight
ENSMUSG00000027230	ENSMUSG00000019338	0.0946790287412192
ENSMUSG00000042750	ENSMUSG00000025173	0.0881689378306794
ENSMUSG00000027230	ENSMUSG00000022914	0.0880096629469652
ENSMUSG00000022961	ENSMUSG00000035799	0.0822583465882985
ENSMUSG00000027230	ENSMUSG00000040681	0.0820274725345853
ENSMUSG00000015217	ENSMUSG00000004937	0.0815248290590893
ENSMUSG00000031134	ENSMUSG00000024308	0.080693348670019
ENSMUSG00000015217	ENSMUSG00000078517	0.0784025492213202
ENSMUSG00000015217	ENSMUSG00000018572	0.0783610557946465
ENSMUSG00000007415	ENSMUSG00000037351	0.0762513385637354
ENSMUSG00000022961	ENSMUSG00000025173	0.0759606038694583
ENSMUSG00000027230	ENSMUSG00000035478	0.0751115521614257
ENSMUSG00000056758	ENSMUSG00000035799	0.0749953303729454
ENSMUSG00000015217	ENSMUSG00000066900	0.072711945293432
ENSMUSG00000027230	ENSMUSG00000016619	0.0724823076640539
ENSMUSG00000015217	ENSMUSG00000022914	0.0716760945784
ENSMUSG00000015217	ENSMUSG00000029405	0.0715958583568856
ENSMUSG00000021546	ENSMUSG00000037351	0.071118280071166
ENSMUSG00000015217	ENSMUSG00000025173	0.070767118039688
ENSMUSG00000022178	ENSMUSG00000020986	0.0705265027590155
ENSMUSG00000015522	ENSMUSG00000013787	0.070225594804695
ENSMUSG00000024369	ENSMUSG00000024827	0.0695318517064482
ENSMUSG00000022961	ENSMUSG00000031161	0.0684888697935678
ENSMUSG00000027230	ENSMUSG00000026434	0.0684657033815303
ENSMUSG00000031134	ENSMUSG00000056758	0.0684274166072048
ENSMUSG00000061887	ENSMUSG00000037058	0.0681090892008465
ENSMUSG00000035799	ENSMUSG00000020964	0.067956348105377
ENSMUSG00000027478	ENSMUSG00000024098	0.067602322366829
ENSMUSG00000027230	ENSMUSG00000033499	0.0675803930865017
ENSMUSG00000031161	ENSMUSG00000035799	0.0674630600340307
ENSMUSG00000042750	ENSMUSG00000035478	0.0674275194231281
ENSMUSG00000042750	ENSMUSG00000006673	0.0670270810295193
ENSMUSG00000042750	ENSMUSG00000066900	0.0669495709187927
ENSMUSG00000042750	ENSMUSG00000025856	0.0669313609145691
ENSMUSG00000031134	ENSMUSG00000034525	0.0667557471044237
ENSMUSG00000027230	ENSMUSG00000078517	0.0665347295537909
ENSMUSG00000042750	ENSMUSG00000004937	0.0663520812748829
ENSMUSG00000042750	ENSMUSG00000078517	0.0662586336592002
ENSMUSG00000015217	ENSMUSG00000025856	0.0660199672380731
ENSMUSG00000007415	ENSMUSG00000042557	0.0658971620690957
ENSMUSG00000042750	ENSMUSG00000058407	0.0657480832716882
ENSMUSG00000027067	ENSMUSG00000052593	0.0655836992850519
ENSMUSG00000015522	ENSMUSG00000037058	0.0655112873145977
ENSMUSG00000027230	ENSMUSG00000027423	0.0654897407662815
ENSMUSG00000027230	ENSMUSG00000043323	0.0647642551880707
ENSMUSG00000027230	ENSMUSG00000006673	0.0644554298485233
ENSMUSG00000027230	ENSMUSG00000025856	0.0643447994092308
ENSMUSG00000031134	ENSMUSG00000025780	0.0634336167402207
ENSMUSG00000031161	ENSMUSG00000067276	0.0633757518868892
ENSMUSG00000042750	ENSMUSG00000033499	0.0631886219322999
ENSMUSG00000027230	ENSMUSG00000024045	0.0630305436043796
ENSMUSG00000015217	ENSMUSG00000066357	0.0630158978495127
ENSMUSG00000053754	ENSMUSG00000015165	0.0628101405369455
ENSMUSG00000007415	ENSMUSG00000052593	0.0626850982634214
ENSMUSG00000060373	ENSMUSG00000042557	0.0626747098167121
ENSMUSG00000007872	ENSMUSG00000035212	0.0625161829547122
ENSMUSG00000017421	ENSMUSG00000047844	0.0624578627904051
ENSMUSG00000027230	ENSMUSG00000018572	0.0622173266633979
ENSMUSG00000031134	ENSMUSG00000020986	0.0621104514116142
ENSMUSG00000027230	ENSMUSG00000042079	0.0620684495771064
ENSMUSG00000015217	ENSMUSG00000040681	0.061647656513349
ENSMUSG00000027230	ENSMUSG00000009291	0.0614972105071397
ENSMUSG00000042750	ENSMUSG00000003731	0.061434945365985
ENSMUSG00000015217	ENSMUSG00000059005	0.0614230766634692
ENSMUSG00000015217	ENSMUSG00000066735	0.0612905683741014
ENSMUSG00000034042	ENSMUSG00000039952	0.0612532278248545
ENSMUSG00000015217	ENSMUSG00000059208	0.0610910652299591
ENSMUSG00000042750	ENSMUSG00000066357	0.0610196061998744
ENSMUSG00000042750	ENSMUSG00000019338	0.0609069110497376
ENSMUSG00000042750	ENSMUSG00000018572	0.0609053899022682
ENSMUSG00000090083	ENSMUSG00000042557	0.060644353487566
ENSMUSG00000031134	ENSMUSG00000035799	0.0603760339149235
ENSMUSG00000015217	ENSMUSG00000033499	0.0597171389656477
