"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"20463","1","2.3907563","0.0011823","0.41827768","0.28787879","12","3","false","Tmem131","38.25","12","0","0","0.72184874","false","0","Tmem131","2230","0.28759398"
"19954","1","2.13445378","0.02104608","0.46850394","0.1875","34","3","false","Hdac6","16.96875","34","0","2","0.77310924","false","0","Hdac6","7300","0.09908088"
"19955","1","2.20168067","0.03374194","0.45419847","0.21512605","37","4","false","Twist1","15.8","37","0","2","0.75966387","false","0","Twist1","15578","0.10091575"
"19957","1","2.83613445","0.0","0.35259259","0.0","1","4","false","Cdc27","69.0","1","0","0","0.63277311","false","0","Cdc27","0","0.0"
"20469","1","2.30672269","2.2196E-4","0.43351548","0.80952381","15","4","false","Nap1l1","53.53333333","15","0","0","0.73865546","false","0","Nap1l1","544","0.34761905"
"19959","1","1.92016807","0.06003541","0.52078775","0.11529412","56","3","false","Bex2","15.64705882","56","0","5","0.81596639","false","0","Bex2","26060","0.07650903"
"20984","1","2.21008403","0.00783481","0.45247148","0.27619048","15","3","false","Slc35b4","39.8","15","0","0","0.75798319","false","0","Slc35b4","6448","0.2300578"
"19960","1","2.70168067","0.0","0.37013997","1.0","3","4","false","Ppp2r1b","55.33333333","3","0","0","0.65966387","false","0","Ppp2r1b","0","0.72807018"
"19962","1","2.47058824","5.252E-4","0.4047619","0.33333333","3","4","false","Napa","63.0","3","0","0","0.70588235","false","0","Napa","1102","0.49343832"
"20476","1","2.43277311","1.6369E-4","0.41105354","0.57777778","10","4","false","Ylpm1","53.1","10","0","0","0.71344538","false","0","Ylpm1","382","0.41162791"
"19966","1","1.91176471","0.04967617","0.52307692","0.12244898","52","4","false","Creb3l1","15.84","52","0","2","0.81764706","false","0","Creb3l1","22750","0.07542857"
"20478","1","2.83613445","0.0","0.35259259","0.0","1","4","false","Inpp5f","69.0","1","0","0","0.63277311","false","0","Inpp5f","0","0.0"
"19968","1","2.38235294","3.9536E-4","0.41975309","0.67857143","8","4","false","Capn6","47.125","8","0","0","0.72352941","false","0","Capn6","648","0.32954545"
"20995","1","2.30672269","2.2196E-4","0.43351548","0.80952381","15","4","false","Nln","53.53333333","15","0","0","0.73865546","false","0","Nln","544","0.34761905"
"19971","1","1.92857143","0.05429086","0.51851852","0.18907104","61","4","false","Zfp687","20.29508197","61","0","0","0.81428571","false","0","Zfp687","30684","0.10444482"
"19977","1","2.70168067","0.0","0.37013997","1.0","3","4","false","Maged2","55.33333333","3","0","0","0.65966387","false","0","Maged2","0","0.72807018"
"21513","1","2.44957983","0.00141803","0.40823328","0.30555556","9","4","false","Sc5d","34.33333333","9","0","0","0.71008403","false","0","Sc5d","1378","0.27822945"
"27146","1","2.91596639","0.0","0.34293948","0.0","1","4","false","Paics","51.0","1","0","0","0.61680672","false","0","Paics","0","0.0"
"21003","1","2.22689076","0.00170688","0.4490566","0.52727273","11","4","false","Atp6v1c1","41.36363636","11","0","0","0.75462185","false","0","Atp6v1c1","2110","0.23502066"
"19979","1","1.9789916","0.04450336","0.50530786","0.28486395","55","3","false","Ajuba","23.97959184","55","0","6","0.80420168","false","0","Ajuba","19550","0.12360614"
"19981","1","2.70168067","1.7957E-4","0.37013997","0.0","2","4","false","Kif15","52.0","2","0","0","0.65966387","false","0","Kif15","170","0.5483871"
"19984","1","2.32773109","3.7361E-4","0.42960289","0.61904762","7","4","false","Mapk14","41.57142857","7","0","0","0.73445378","false","0","Mapk14","332","0.26820276"
"19986","1","2.83613445","0.0","0.35259259","0.0","1","4","false","Rif1","69.0","1","0","0","0.63277311","false","0","Rif1","0","0.0"
"19988","1","2.25210084","0.00608242","0.44402985","0.34166667","19","4","false","Gatad1","23.25","19","0","3","0.74957983","false","0","Gatad1","2746","0.14090909"
"20501","1","1.93697479","0.034024","0.51626898","0.14634146","41","4","false","Brd1","20.14634146","41","0","0","0.81260504","false","0","Brd1","16630","0.09491486"
"19992","1","1.7605042","0.10047396","0.56801909","0.15240385","69","3","false","Son","19.18461538","69","0","4","0.84789916","false","0","Son","43002","0.08341137"
"25112","1","2.44537815","1.2645E-4","0.40893471","0.3","5","4","false","Pdcd7","48.8","5","0","0","0.71092437","false","0","Pdcd7","250","0.36541353"
"19996","1","2.59663866","9.91E-6","0.38511327","0.8","5","5","false","Acat2","33.2","5","0","0","0.68067227","false","0","Acat2","22","0.31619048"
"19998","1","2.40756303","4.7334E-4","0.41535777","0.0","3","4","false","Fancb","56.66666667","3","0","0","0.71848739","false","0","Fancb","984","0.39761905"
"20001","1","1.88235294","0.05989328","0.53125","0.20993344","70","3","false","Pawr","22.0952381","70","0","7","0.82352941","false","0","Pawr","38738","0.10884354"
"21026","1","2.68487395","1.4381E-4","0.37245696","0.46666667","6","4","false","Slc25a32","40.16666667","6","0","0","0.66302521","false","0","Slc25a32","250","0.48780488"
"20003","1","2.5210084","1.145E-4","0.39666667","0.0","2","4","false","Cd2ap","65.0","2","0","0","0.69579832","false","0","Cd2ap","158","0.52892562"
"21539","1","2.41176471","2.2044E-4","0.41463415","0.4","6","4","false","Nifk","51.16666667","6","0","0","0.71764706","false","0","Nifk","376","0.36810552"
"24100","1","2.59243697","9.536E-5","0.38573744","0.16666667","4","4","false","Usp9x","44.0","4","0","0","0.68151261","false","0","Usp9x","150","0.44387755"
"20007","1","2.70168067","0.0","0.37013997","1.0","3","4","false","Cttn","55.33333333","3","0","0","0.65966387","false","0","Cttn","0","0.72807018"
"20018","1","2.14285714","0.01384777","0.46666667","0.24074074","32","4","false","Mbd3","20.96428571","32","0","4","0.77142857","false","0","Mbd3","5030","0.11777689"
"21042","1","2.3907563","0.0011823","0.41827768","0.28787879","12","3","false","Ryk","38.25","12","0","0","0.72184874","false","0","Ryk","2230","0.28759398"
"20020","1","2.3487395","4.4099E-4","0.42576029","0.64285714","8","4","false","Sel1l","44.125","8","0","0","0.7302521","false","0","Sel1l","786","0.29221854"
"26678","1","2.97478992","0.0","0.33615819","0.0","1","5","false","Rcbtb2","41.0","1","0","0","0.60504202","false","0","Rcbtb2","0","0.0"
"20537","1","2.60504202","1.656E-5","0.38387097","0.9047619","7","4","false","Nabp1","59.0","7","0","0","0.6789916","false","0","Nabp1","34","0.52678571"
"20026","1","2.22268908","0.03755322","0.44990548","0.12517781","38","4","false","Hmga2","12.21052632","38","0","0","0.75546218","false","0","Hmga2","18128","0.08369883"
"20539","1","2.26890756","0.00109303","0.44074074","0.52727273","11","4","false","Slk","56.0","11","0","0","0.74621849","false","0","Slk","1508","0.3373494"
"20027","1","2.48319328","2.0924E-4","0.40270728","0.6","6","4","false","Tceal8","43.66666667","6","0","0","0.70336134","false","0","Tceal8","274","0.36388889"
"27197","1","3.28991597","0.0","0.30395913","0.0","1","5","false","Ppp4r3a","21.0","1","0","0","0.54201681","false","0","Ppp4r3a","0","0.0"
"20029","1","2.34033613","4.7934E-4","0.42728905","0.61111111","9","4","false","Cldn6","44.77777778","9","0","0","0.73193277","false","0","Cldn6","854","0.29459064"
