"SUID","EdgeBetweenness","interaction","name","regulatoryGene","selected","shared interaction","shared name","weight"
"24559","35.75199765","interacts with","Ddx1 (interacts with) Nipa2","ENSMUSG00000037149","false","interacts with","Ddx1 (interacts with) Nipa2","0.0268057356736389"
"24560","25.10880323","interacts with","Eed (interacts with) Drosha","ENSMUSG00000030619","false","interacts with","Eed (interacts with) Drosha","0.0268056490803447"
"24561","21.04999451","interacts with","Hmgb3 (interacts with) Mpzl1","ENSMUSG00000015217","false","interacts with","Hmgb3 (interacts with) Mpzl1","0.0268023580287337"
"24564","7.114779","interacts with","Ssrp1 (interacts with) Ahcyl1","ENSMUSG00000027067","false","interacts with","Ssrp1 (interacts with) Ahcyl1","0.0267945834629791"
"24567","7.46841572","interacts with","Ssrp1 (interacts with) Phactr4","ENSMUSG00000027067","false","interacts with","Ssrp1 (interacts with) Phactr4","0.0267910806598327"
"24568","39.34679919","interacts with","Zzz3 (interacts with) Pum3","ENSMUSG00000039068","false","interacts with","Zzz3 (interacts with) Pum3","0.0267902501981063"
"24569","17.88307322","interacts with","Taf7 (interacts with) Entpd1","ENSMUSG00000051316","false","interacts with","Taf7 (interacts with) Entpd1","0.0267873298922274"
"24570","17.72638057","interacts with","Ttf2 (interacts with) Entpd1","ENSMUSG00000033222","false","interacts with","Ttf2 (interacts with) Entpd1","0.026786350304942"
"24571","32.66578035","interacts with","Gpbp1 (interacts with) Zranb2","ENSMUSG00000032745","false","interacts with","Gpbp1 (interacts with) Zranb2","0.0267859326895723"
"24576","341.69580863","interacts with","Hmgb3 (interacts with) Nsd2","ENSMUSG00000015217","false","interacts with","Hmgb3 (interacts with) Nsd2","0.0267786491651285"
"20481","16.57311434","interacts with","Atf7ip (interacts with) Gls","ENSMUSG00000030213","false","interacts with","Atf7ip (interacts with) Gls","0.0527814415890698"
"24577","15.86740883","interacts with","Supt20 (interacts with) Pcbp2","ENSMUSG00000027751","false","interacts with","Supt20 (interacts with) Pcbp2","0.026776369029551"
"24578","15.81088003","interacts with","Topors (interacts with) Gm28036","ENSMUSG00000036822","false","interacts with","Topors (interacts with) Gm28036","0.0267703716338847"
"20485","136.10176871","interacts with","Arhgap5 (interacts with) Hyou1","ENSMUSG00000035133","false","interacts with","Arhgap5 (interacts with) Hyou1","0.0526444106645957"
"24581","39.11717619","interacts with","Yeats2 (interacts with) Nol8","ENSMUSG00000041215","false","interacts with","Yeats2 (interacts with) Nol8","0.0267591718849487"
"24582","61.33467656","interacts with","Naa15 (interacts with) Hspa4l","ENSMUSG00000063273","false","interacts with","Naa15 (interacts with) Hspa4l","0.0267547300615658"
"24584","30.47195746","interacts with","Ubtf (interacts with) Kdm5c","ENSMUSG00000020923","false","interacts with","Ubtf (interacts with) Kdm5c","0.0267526822709839"
"24586","27.39944558","interacts with","Ddx1 (interacts with) Ercc6l","ENSMUSG00000037149","false","interacts with","Ddx1 (interacts with) Ercc6l","0.026750473709216"
"24588","27.21368543","interacts with","Chd4 (interacts with) Cmah","ENSMUSG00000063870","false","interacts with","Chd4 (interacts with) Cmah","0.0267472703630486"
"20493","40.26623448","interacts with","Zzz3 (interacts with) Usp3","ENSMUSG00000039068","false","interacts with","Zzz3 (interacts with) Usp3","0.0524253551036431"
"24589","27.83949941","interacts with","Gpbp1l1 (interacts with) Ipo8","ENSMUSG00000034042","false","interacts with","Gpbp1l1 (interacts with) Ipo8","0.0267434549405339"
"24590","136.10176871","interacts with","Arhgap5 (interacts with) Dag1","ENSMUSG00000035133","false","interacts with","Arhgap5 (interacts with) Dag1","0.0267380496754497"
"24591","69.31989404","interacts with","Nelfe (interacts with) Arhgap5","ENSMUSG00000024369","false","interacts with","Nelfe (interacts with) Arhgap5","0.026736174447702"
"24592","37.91858486","interacts with","Taf7 (interacts with) Scrn3","ENSMUSG00000051316","false","interacts with","Taf7 (interacts with) Scrn3","0.0267300443860422"
"24594","43.56631846","interacts with","Smad2 (interacts with) Ergic2","ENSMUSG00000024563","false","interacts with","Smad2 (interacts with) Ergic2","0.0267261000266282"
