regulatoryGene	targetGene	weight
ENSMUSG00000018909	ENSMUSG00000064373	0.074517412424979
ENSMUSG00000068267	ENSMUSG00000024962	0.0673158764505836
ENSMUSG00000004044	ENSMUSG00000032135	0.0664112707998192
ENSMUSG00000021506	ENSMUSG00000032380	0.0656869587904104
ENSMUSG00000052712	ENSMUSG00000037012	0.0642428900380083
ENSMUSG00000019817	ENSMUSG00000028555	0.0630841582158198
ENSMUSG00000029178	ENSMUSG00000028001	0.0624956141293481
ENSMUSG00000028101	ENSMUSG00000030605	0.0620286716720736
ENSMUSG00000001542	ENSMUSG00000040584	0.0617457649778925
ENSMUSG00000018909	ENSMUSG00000037012	0.0609843098833409
ENSMUSG00000028799	ENSMUSG00000064373	0.0603144366591451
ENSMUSG00000028101	ENSMUSG00000079197	0.0601670352270019
ENSMUSG00000029178	ENSMUSG00000020111	0.0597133143076339
ENSMUSG00000070803	ENSMUSG00000027239	0.0595035656673902
ENSMUSG00000079037	ENSMUSG00000000154	0.0592212024564563
ENSMUSG00000052712	ENSMUSG00000028101	0.0589073131484095
ENSMUSG00000028799	ENSMUSG00000040447	0.0585863299593315
ENSMUSG00000021506	ENSMUSG00000041187	0.0585183526835574
ENSMUSG00000018909	ENSMUSG00000032554	0.0581099069566343
ENSMUSG00000052712	ENSMUSG00000026280	0.0580644669504369
ENSMUSG00000028799	ENSMUSG00000026280	0.0573614007586975
ENSMUSG00000020656	ENSMUSG00000038894	0.0571363940244352
ENSMUSG00000028101	ENSMUSG00000040584	0.0570547184253822
ENSMUSG00000055320	ENSMUSG00000028969	0.0570458965280537
ENSMUSG00000028799	ENSMUSG00000040722	0.0569551739336115
ENSMUSG00000038025	ENSMUSG00000026626	0.0568820370378261
ENSMUSG00000042812	ENSMUSG00000050043	0.0567094852433066
ENSMUSG00000018909	ENSMUSG00000021774	0.0565142237586368
ENSMUSG00000028101	ENSMUSG00000073002	0.0560957429126374
ENSMUSG00000029178	ENSMUSG00000041187	0.0560401552685755
ENSMUSG00000018909	ENSMUSG00000036907	0.0560321432516282
ENSMUSG00000029178	ENSMUSG00000032554	0.0560076428001372
ENSMUSG00000029178	ENSMUSG00000045330	0.055929835930765
ENSMUSG00000029178	ENSMUSG00000072235	0.0559133636147943
ENSMUSG00000029178	ENSMUSG00000026385	0.0558454122350958
ENSMUSG00000021506	ENSMUSG00000020388	0.0558090053669961
ENSMUSG00000034205	ENSMUSG00000045330	0.0557961863914699
ENSMUSG00000029178	ENSMUSG00000024962	0.055715959440712
ENSMUSG00000028101	ENSMUSG00000020846	0.0556564599983839
ENSMUSG00000028101	ENSMUSG00000053080	0.0556481362824356
ENSMUSG00000034205	ENSMUSG00000050043	0.0556094944458933
ENSMUSG00000029178	ENSMUSG00000039461	0.055575473366792
ENSMUSG00000029178	ENSMUSG00000023175	0.055565996058172
ENSMUSG00000032405	ENSMUSG00000073400	0.0555653075641214
ENSMUSG00000028101	ENSMUSG00000026003	0.0554879577473422
ENSMUSG00000073197	ENSMUSG00000050989	0.0553959967901033
ENSMUSG00000028101	ENSMUSG00000028001	0.0550075516473299
ENSMUSG00000028101	ENSMUSG00000041187	0.0549630737253898
ENSMUSG00000055320	ENSMUSG00000044864	0.0548779232296556
ENSMUSG00000018909	ENSMUSG00000020846	0.0547142961743323
ENSMUSG00000034205	ENSMUSG00000041187	0.0546389406364785
ENSMUSG00000023348	ENSMUSG00000050043	0.0545088073491153
ENSMUSG00000018909	ENSMUSG00000073002	0.0544507734525749
ENSMUSG00000028799	ENSMUSG00000041187	0.0543902824638008
ENSMUSG00000004044	ENSMUSG00000000804	0.0543654333922193
ENSMUSG00000028799	ENSMUSG00000026796	0.0543551568644428
ENSMUSG00000055320	ENSMUSG00000026626	0.0542945859658925
ENSMUSG00000018909	ENSMUSG00000002603	0.054097998062949
ENSMUSG00000079037	ENSMUSG00000039157	0.0540723194385883
ENSMUSG00000052712	ENSMUSG00000041187	0.0538744094834756
ENSMUSG00000055320	ENSMUSG00000059518	0.053780034039511
ENSMUSG00000028101	ENSMUSG00000048376	0.0537298725784602
ENSMUSG00000018909	ENSMUSG00000028001	0.0534696382449425
ENSMUSG00000028496	ENSMUSG00000019809	0.0533830678020724
ENSMUSG00000021506	ENSMUSG00000021273	0.0533509165424648
ENSMUSG00000034205	ENSMUSG00000000154	0.0533320495323954
ENSMUSG00000021506	ENSMUSG00000062683	0.0532359887665822
ENSMUSG00000055320	ENSMUSG00000073002	0.053185717261831
ENSMUSG00000038393	ENSMUSG00000037366	0.0531246045440542
ENSMUSG00000021506	ENSMUSG00000000804	0.0529877092198429
ENSMUSG00000018909	ENSMUSG00000053080	0.0529742291179547
ENSMUSG00000004044	ENSMUSG00000031349	0.0529297429596938
ENSMUSG00000055320	ENSMUSG00000064373	0.0528983790670084
ENSMUSG00000020656	ENSMUSG00000025504	0.0528599039148254
ENSMUSG00000029178	ENSMUSG00000000339	0.052806082720529
ENSMUSG00000018909	ENSMUSG00000040584	0.0527309037153068
ENSMUSG00000079037	ENSMUSG00000028969	0.0527091541139177
ENSMUSG00000079037	ENSMUSG00000061778	0.0527043639598022
ENSMUSG00000026037	ENSMUSG00000073197	0.0526082518908168
ENSMUSG00000018909	ENSMUSG00000073982	0.0525064178431978
ENSMUSG00000018909	ENSMUSG00000000154	0.0523778742931844
ENSMUSG00000028799	ENSMUSG00000002603	0.0523674467344701
ENSMUSG00000028496	ENSMUSG00000053080	0.0523427939136729
ENSMUSG00000018909	ENSMUSG00000030870	0.0522589005350513
ENSMUSG00000028101	ENSMUSG00000079042	0.0522553900976552
ENSMUSG00000021506	ENSMUSG00000050043	0.052223419578069
ENSMUSG00000004044	ENSMUSG00000067818	0.052189513961098
ENSMUSG00000042812	ENSMUSG00000035161	0.051838367856661
ENSMUSG00000028799	ENSMUSG00000054499	0.0516594372832916
ENSMUSG00000055320	ENSMUSG00000034974	0.0515099940125916
ENSMUSG00000042377	ENSMUSG00000038393	0.051506343702219
ENSMUSG00000079037	ENSMUSG00000037962	0.0514342320466706
ENSMUSG00000028799	ENSMUSG00000028962	0.0513904302523594
ENSMUSG00000079037	ENSMUSG00000079479	0.0513577861488194
ENSMUSG00000042812	ENSMUSG00000002871	0.0512824870582857
ENSMUSG00000029178	ENSMUSG00000002603	0.0511166162652307
ENSMUSG00000033542	ENSMUSG00000026626	0.0511116687542224
ENSMUSG00000028799	ENSMUSG00000079479	0.0510930262793061
ENSMUSG00000049892	ENSMUSG00000074227	0.0510605789910096
ENSMUSG00000055320	ENSMUSG00000061778	0.0510468481712498
ENSMUSG00000028101	ENSMUSG00000037012	0.0510051407771423
ENSMUSG00000079037	ENSMUSG00000020846	0.0509550791301602
ENSMUSG00000021506	ENSMUSG00000044066	0.0509403610687602
ENSMUSG00000001542	ENSMUSG00000064373	0.0509288349368762
ENSMUSG00000028799	ENSMUSG00000072235	0.0507819603347398
ENSMUSG00000021506	ENSMUSG00000050732	0.0505008902199388
ENSMUSG00000042812	ENSMUSG00000032380	0.0504274859603968
ENSMUSG00000029178	ENSMUSG00000017697	0.0503970208803722
ENSMUSG00000028101	ENSMUSG00000030315	0.0503254786324373
ENSMUSG00000055320	ENSMUSG00000067925	0.0502782216281876
ENSMUSG00000028799	ENSMUSG00000039461	0.0502089129707813
ENSMUSG00000052712	ENSMUSG00000040447	0.0501045222474436
ENSMUSG00000051413	ENSMUSG00000039449	0.0500849454791346
ENSMUSG00000055320	ENSMUSG00000041187	0.0500468921432587
ENSMUSG00000032405	ENSMUSG00000068522	0.0499678792663573
ENSMUSG00000001542	ENSMUSG00000072235	0.0499176182519905
ENSMUSG00000021506	ENSMUSG00000026630	0.0498077239955449
ENSMUSG00000029290	ENSMUSG00000022816	0.0497397802336177
ENSMUSG00000029178	ENSMUSG00000040722	0.0497378267275181
ENSMUSG00000028101	ENSMUSG00000028969	0.049730110361567
ENSMUSG00000029178	ENSMUSG00000064373	0.0496863383617111
ENSMUSG00000029178	ENSMUSG00000037962	0.0496337218884139
ENSMUSG00000025151	ENSMUSG00000027805	0.0496212742623904
ENSMUSG00000001542	ENSMUSG00000073002	0.049518291464715
ENSMUSG00000028101	ENSMUSG00000064373	0.0495084744149056
ENSMUSG00000028799	ENSMUSG00000032554	0.0494769424906916
ENSMUSG00000022010	ENSMUSG00000035769	0.0494708870799957
ENSMUSG00000018909	ENSMUSG00000035085	0.0494187179316623
ENSMUSG00000018909	ENSMUSG00000041187	0.0493268741053586
ENSMUSG00000068267	ENSMUSG00000058672	0.0492650096615399
ENSMUSG00000053411	ENSMUSG00000024620	0.0491963691692121
ENSMUSG00000028799	ENSMUSG00000020846	0.0491429145347053
ENSMUSG00000023951	ENSMUSG00000053411	0.0491254751904529
ENSMUSG00000079037	ENSMUSG00000044864	0.0491195184034127
ENSMUSG00000029178	ENSMUSG00000047501	0.049110660758267
ENSMUSG00000028799	ENSMUSG00000073002	0.0491012158601288
ENSMUSG00000028101	ENSMUSG00000022010	0.0490337341709401
ENSMUSG00000018909	ENSMUSG00000020388	0.0489587821753554
ENSMUSG00000029178	ENSMUSG00000021552	0.0489478817051468
ENSMUSG00000028101	ENSMUSG00000072235	0.0489360930653957
ENSMUSG00000004044	ENSMUSG00000050043	0.0489199938855688
ENSMUSG00000055320	ENSMUSG00000035085	0.0488933533402422
ENSMUSG00000034205	ENSMUSG00000025939	0.0488788438384762
ENSMUSG00000018909	ENSMUSG00000044066	0.0488191393691841
ENSMUSG00000028101	ENSMUSG00000021774	0.0488015551770441
ENSMUSG00000018909	ENSMUSG00000048376	0.0487169741143769
ENSMUSG00000079037	ENSMUSG00000025939	0.0486363557191341
ENSMUSG00000042812	ENSMUSG00000000804	0.0484899296055485
ENSMUSG00000020656	ENSMUSG00000028555	0.0484311463731439
ENSMUSG00000018909	ENSMUSG00000044864	0.04838392523306
ENSMUSG00000023951	ENSMUSG00000038393	0.0483814549019158
ENSMUSG00000055320	ENSMUSG00000072235	0.0483218035390394
ENSMUSG00000052712	ENSMUSG00000032554	0.0483106603298681
ENSMUSG00000028101	ENSMUSG00000028970	0.0482310023073027
ENSMUSG00000028101	ENSMUSG00000019809	0.0481634594153467
ENSMUSG00000079037	ENSMUSG00000034981	0.0481363200327428
ENSMUSG00000032405	ENSMUSG00000034974	0.0480240513086734
ENSMUSG00000021506	ENSMUSG00000021552	0.0480047488198691
ENSMUSG00000028101	ENSMUSG00000026280	0.047942362549637
ENSMUSG00000028496	ENSMUSG00000020088	0.0477004948030227
ENSMUSG00000052712	ENSMUSG00000064373	0.047695398190695
ENSMUSG00000054191	ENSMUSG00000079197	0.047644538986128
ENSMUSG00000055320	ENSMUSG00000044066	0.0476378665183359
ENSMUSG00000028101	ENSMUSG00000034981	0.0476182094155926
ENSMUSG00000001542	ENSMUSG00000004885	0.0476078612293223
ENSMUSG00000021506	ENSMUSG00000035161	0.0475866822111146
ENSMUSG00000070803	ENSMUSG00000004044	0.0474781631797707
ENSMUSG00000029178	ENSMUSG00000035085	0.0474324264659645
ENSMUSG00000018909	ENSMUSG00000062421	0.0474118824317101
ENSMUSG00000021506	ENSMUSG00000020111	0.047396639006649
ENSMUSG00000028101	ENSMUSG00000020388	0.047383975414916
ENSMUSG00000018909	ENSMUSG00000019809	0.0473735471562243
ENSMUSG00000001542	ENSMUSG00000040447	0.0473540549402798
ENSMUSG00000021506	ENSMUSG00000037012	0.0473522412846965
ENSMUSG00000028799	ENSMUSG00000020111	0.0472953351731948
ENSMUSG00000018909	ENSMUSG00000022463	0.0472738664429991
ENSMUSG00000028101	ENSMUSG00000061778	0.0472553254764211
ENSMUSG00000052712	ENSMUSG00000073982	0.0472041790558195
ENSMUSG00000042812	ENSMUSG00000028555	0.0471726882064935
ENSMUSG00000032405	ENSMUSG00000032554	0.0471344775361203
ENSMUSG00000028101	ENSMUSG00000040722	0.0471147696217036
ENSMUSG00000038393	ENSMUSG00000022156	0.0470875475357394
ENSMUSG00000029178	ENSMUSG00000021306	0.0470805963707
ENSMUSG00000070803	ENSMUSG00000020088	0.0470655149593662
ENSMUSG00000030103	ENSMUSG00000037366	0.0470445321344337
ENSMUSG00000029178	ENSMUSG00000050423	0.0469891131303747
ENSMUSG00000052712	ENSMUSG00000020388	0.0469743008169765
ENSMUSG00000028799	ENSMUSG00000053080	0.0469551639230673
ENSMUSG00000018909	ENSMUSG00000050423	0.0468447725737165
ENSMUSG00000029178	ENSMUSG00000026630	0.0468276521273602
ENSMUSG00000055320	ENSMUSG00000037962	0.0467983721857781
ENSMUSG00000028799	ENSMUSG00000020388	0.046791565374547
ENSMUSG00000031161	ENSMUSG00000037366	0.0467904980611297
ENSMUSG00000028799	ENSMUSG00000031239	0.0467815393230841
ENSMUSG00000029178	ENSMUSG00000019809	0.046744423821426
ENSMUSG00000028496	ENSMUSG00000042377	0.0467140853211469
ENSMUSG00000018909	ENSMUSG00000040447	0.0466130162422513
ENSMUSG00000004044	ENSMUSG00000035161	0.0465537513110468
ENSMUSG00000028799	ENSMUSG00000047501	0.046519726914908
ENSMUSG00000023348	ENSMUSG00000000804	0.0464958160708503
ENSMUSG00000079037	ENSMUSG00000030315	0.0464733853968331
ENSMUSG00000055320	ENSMUSG00000026280	0.0464620033931762
ENSMUSG00000001542	ENSMUSG00000047977	0.0464608186230971
ENSMUSG00000029178	ENSMUSG00000022010	0.0464492897421186
ENSMUSG00000021506	ENSMUSG00000040447	0.0464224454926905
ENSMUSG00000001542	ENSMUSG00000079042	0.0462882116126993
ENSMUSG00000029178	ENSMUSG00000048376	0.0462723113834318
ENSMUSG00000028101	ENSMUSG00000026385	0.0462124553375675
ENSMUSG00000020656	ENSMUSG00000015441	0.0462009425942596
ENSMUSG00000018909	ENSMUSG00000079479	0.0461938467705619
ENSMUSG00000021506	ENSMUSG00000030605	0.0461870239631523
ENSMUSG00000028101	ENSMUSG00000032554	0.046123809170996
