"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"138226","3","2.033241","7.241E-5","0.49182561","0.56363636","11","3","false","ENSMUSG00000020986","108.18181818","11","0","0","0.7933518","false","0","ENSMUSG00000020986","656","0.32006455"
"136175","3","2.13850416","3.485E-4","0.46761658","0.46666667","6","4","false","ENSMUSG00000038552","99.33333333","6","0","0","0.77229917","false","0","ENSMUSG00000038552","1116","0.32461874"
"136687","3","2.0166205","7.168E-5","0.49587912","0.59340659","14","3","false","ENSMUSG00000030691","113.5","14","0","0","0.7966759","false","0","ENSMUSG00000030691","1082","0.33284457"
"135669","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000062591","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000062591","208","0.51698606"
"139764","3","2.02216066","5.396E-5","0.49452055","0.65454545","11","3","false","ENSMUSG00000018451","114.72727273","11","0","0","0.79556787","false","0","ENSMUSG00000018451","680","0.33545986"
"137722","3","2.5567867","2.66E-6","0.39111593","0.7","5","4","false","ENSMUSG00000020451","74.0","5","0","0","0.68864266","false","0","ENSMUSG00000020451","24","0.46835443"
"136186","3","1.99168975","1.2166E-4","0.50208623","0.53030303","12","3","false","ENSMUSG00000015970","116.25","12","0","0","0.80166205","false","0","ENSMUSG00000015970","1042","0.33025568"
"137208","3","2.11080332","2.053E-5","0.47375328","0.71428571","8","4","false","ENSMUSG00000006356","100.0","8","0","0","0.77783934","false","0","ENSMUSG00000006356","236","0.31746032"
"139261","3","2.08587258","8.05E-6","0.47941567","0.8","5","3","false","ENSMUSG00000020486","168.6","5","0","0","0.78282548","false","0","ENSMUSG00000020486","162","0.51876923"
"136699","3","2.01939058","7.021E-5","0.4951989","0.56043956","14","3","false","ENSMUSG00000019843","107.14285714","14","0","0","0.79612188","false","0","ENSMUSG00000019843","1012","0.31512605"
"136188","3","2.19944598","1.289E-5","0.45465995","0.75","8","4","false","ENSMUSG00000022558","93.875","8","0","0","0.7601108","false","0","ENSMUSG00000022558","64","0.33171378"
"136704","3","2.19944598","4.388E-5","0.45465995","0.66666667","7","3","false","ENSMUSG00000029120","84.28571429","7","0","0","0.7601108","false","0","ENSMUSG00000029120","424","0.29888551"
"135686","3","2.1966759","4.72E-6","0.45523329","0.5","4","4","false","ENSMUSG00000031349","120.5","4","0","0","0.76066482","false","0","ENSMUSG00000031349","52","0.42045455"
"136714","3","2.22437673","2.26E-6","0.44956413","0.6","5","4","false","ENSMUSG00000030986","135.0","5","0","0","0.75512465","false","0","ENSMUSG00000030986","26","0.48736462"
"139272","3","2.08033241","4.286E-5","0.48069241","0.80555556","9","3","false","ENSMUSG00000032327","114.66666667","9","0","0","0.78393352","false","0","ENSMUSG00000032327","286","0.35500516"
"141837","3","2.21606648","1.285E-5","0.45125","0.5","5","4","false","ENSMUSG00000079092","109.8","5","0","0","0.7567867","false","0","ENSMUSG00000079092","184","0.39214286"
"136206","3","1.97506925","1.4816E-4","0.50631136","0.52205882","17","3","false","ENSMUSG00000039463","118.58823529","17","0","0","0.80498615","false","0","ENSMUSG00000039463","2106","0.33594401"
"135691","3","2.01939058","2.923E-5","0.4951989","0.5","9","3","false","ENSMUSG00000017723","155.33333333","9","0","0","0.79612188","false","0","ENSMUSG00000017723","450","0.45024155"
"136203","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000026678","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000026678","208","0.51698606"
"140305","3","2.06371191","3.006E-5","0.48456376","0.58333333","9","3","false","ENSMUSG00000069808","105.77777778","9","0","0","0.78725762","false","0","ENSMUSG00000069808","374","0.321513"
"136208","3","2.36288089","9.4E-7","0.42321219","0.83333333","4","4","false","ENSMUSG00000030732","122.5","4","0","0","0.72742382","false","0","ENSMUSG00000030732","8","0.5326087"
"136211","3","2.02216066","1.958E-5","0.49452055","0.60714286","8","3","false","ENSMUSG00000057286","153.75","8","0","0","0.79556787","false","0","ENSMUSG00000057286","306","0.44565217"
"135705","3","2.12742382","2.274E-5","0.47005208","0.64285714","8","4","false","ENSMUSG00000005674","110.125","8","0","0","0.77451524","false","0","ENSMUSG00000005674","154","0.35639159"
"137240","3","2.19944598","3.862E-5","0.45465995","0.63888889","9","4","false","ENSMUSG00000050854","95.66666667","9","0","0","0.7601108","false","0","ENSMUSG00000050854","248","0.3392435"
"138781","3","2.04432133","1.0642E-4","0.48915989","0.38888889","9","3","false","ENSMUSG00000033429","137.22222222","9","0","0","0.79113573","false","0","ENSMUSG00000033429","1276","0.40839947"
"137246","3","2.09141274","2.662E-5","0.4781457","0.72222222","9","4","false","ENSMUSG00000021062","109.55555556","9","0","0","0.78171745","false","0","ENSMUSG00000021062","190","0.34129457"
"135710","3","2.24930748","1.531E-5","0.44458128","0.77777778","9","4","false","ENSMUSG00000025504","92.11111111","9","0","0","0.7501385","false","0","ENSMUSG00000025504","134","0.34890572"
"136731","3","2.04709141","4.322E-5","0.48849797","0.73333333","15","4","false","ENSMUSG00000054690","126.73333333","15","0","0","0.79058172","false","0","ENSMUSG00000054690","472","0.38288016"
"137761","3","2.36288089","9.4E-7","0.42321219","0.83333333","4","4","false","ENSMUSG00000026024","122.5","4","0","0","0.72742382","false","0","ENSMUSG00000026024","8","0.5326087"
"135717","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000068735","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000068735","208","0.51698606"
"141862","3","2.0498615","5.476E-5","0.48783784","0.51111111","10","3","false","ENSMUSG00000022091","97.4","10","0","0","0.7900277","false","0","ENSMUSG00000022091","566","0.29249249"
"136227","3","2.05263158","3.513E-5","0.48717949","0.6952381","15","4","false","ENSMUSG00000033191","124.13333333","15","0","0","0.78947368","false","0","ENSMUSG00000033191","404","0.37730496"
"137251","3","2.06371191","2.996E-5","0.48456376","0.72527473","14","4","false","ENSMUSG00000016494","125.5","14","0","0","0.78725762","false","0","ENSMUSG00000016494","350","0.38496933"
"135720","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000032531","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000032531","208","0.51698606"
"137256","3","2.01385042","9.143E-5","0.49656121","0.52380952","15","3","false","ENSMUSG00000042712","112.46666667","15","0","0","0.79722992","false","0","ENSMUSG00000042712","1354","0.32981427"
"137774","3","2.32963989","1.81E-6","0.42925089","0.0","2","4","false","ENSMUSG00000027533","137.5","2","0","0","0.73407202","false","0","ENSMUSG00000027533","24","0.5617284"
"135723","3","2.00554017","1.2983E-4","0.49861878","0.50833333","16","3","false","ENSMUSG00000014361","121.125","16","0","0","0.79889197","false","0","ENSMUSG00000014361","1948","0.35313411"
"143921","3","2.21606648","2.78E-6","0.45125","0.66666667","4","3","false","ENSMUSG00000017466","104.75","4","0","0","0.7567867","false","0","ENSMUSG00000017466","26","0.37544803"
"138289","3","2.033241","1.178E-4","0.49182561","0.55238095","15","4","false","ENSMUSG00000041757","121.6","15","0","0","0.7933518","false","0","ENSMUSG00000041757","1330","0.36190476"
"135727","3","2.30747922","4.0E-6","0.43337335","0.80952381","7","4","false","ENSMUSG00000050989","92.42857143","7","0","0","0.73850416","false","0","ENSMUSG00000050989","36","0.37725948"
"136752","3","2.08310249","4.531E-5","0.48005319","0.56363636","11","3","false","ENSMUSG00000074604","110.0","11","0","0","0.7833795","false","0","ENSMUSG00000074604","730","0.34375"
"136244","3","2.02770083","1.233E-4","0.4931694","0.52564103","13","3","false","ENSMUSG00000037936","123.61538462","13","0","0","0.79445983","false","0","ENSMUSG00000037936","1228","0.36572599"
"140857","3","2.08587258","4.903E-5","0.47941567","0.69444444","9","3","false","ENSMUSG00000028909","120.66666667","9","0","0","0.78282548","false","0","ENSMUSG00000028909","564","0.37590862"
"138303","3","2.05817175","6.115E-5","0.4858681","0.6025641","13","3","false","ENSMUSG00000039116","113.53846154","13","0","0","0.78836565","false","0","ENSMUSG00000039116","956","0.34721242"
"137280","3","2.03601108","6.795E-5","0.49115646","0.58181818","11","3","false","ENSMUSG00000045038","111.36363636","11","0","0","0.79279778","false","0","ENSMUSG00000045038","980","0.33045589"
"135744","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000029722","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000029722","208","0.51698606"
"136261","3","2.54570637","2.66E-6","0.39281828","0.8","6","4","false","ENSMUSG00000017707","79.16666667","6","0","0","0.69085873","false","0","ENSMUSG00000017707","24","0.49171843"
"136771","3","1.99168975","1.4016E-4","0.50208623","0.47435897","13","3","false","ENSMUSG00000031995","127.15384615","13","0","0","0.80166205","false","0","ENSMUSG00000031995","2086","0.36226167"
"135748","3","2.12742382","8.78E-6","0.47005208","0.66666667","6","3","false","ENSMUSG00000096218","169.16666667","6","0","0","0.77451524","false","0","ENSMUSG00000096218","176","0.54746494"
"138308","3","2.28808864","2.65E-5","0.437046","0.75555556","10","4","false","ENSMUSG00000067377","100.3","10","0","0","0.74238227","false","0","ENSMUSG00000067377","208","0.40281124"
"136265","3","2.17451524","8.927E-5","0.45987261","0.66666667","9","3","false","ENSMUSG00000018900","85.0","9","0","0","0.76509695","false","0","ENSMUSG00000018900","906","0.29411765"
"136264","3","2.20221607","0.01446934","0.45408805","0.15384615","43","4","false","ENSMUSG00000053950","16.425","43","0","3","0.75955679","false","0","ENSMUSG00000053950","24072","0.06646341"
"135245","3","1.43767313","0.10903376","0.6955684","0.05937808","213","3","false","ENSMUSG00000028799","18.60386473","213","0","6","0.91246537","false","0","ENSMUSG00000028799","99446","0.05211167"
