"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"147441","33.45434427","interacts with","ENSMUSG00000024953 (interacts with) ENSMUSG00000022517","false","interacts with","ENSMUSG00000024953 (interacts with) ENSMUSG00000022517","0.0176295496943298"
"147439","44.87759667","interacts with","ENSMUSG00000034974 (interacts with) ENSMUSG00000038459","false","interacts with","ENSMUSG00000034974 (interacts with) ENSMUSG00000038459","0.0176302688232828"
"147440","42.1819654","interacts with","ENSMUSG00000079628 (interacts with) ENSMUSG00000090523","false","interacts with","ENSMUSG00000079628 (interacts with) ENSMUSG00000090523","0.0176297663214577"
"147445","41.4675711","interacts with","ENSMUSG00000034974 (interacts with) ENSMUSG00000028684","false","interacts with","ENSMUSG00000034974 (interacts with) ENSMUSG00000028684","0.0176281314961328"
"139257","41.40742563","interacts with","ENSMUSG00000074102 (interacts with) ENSMUSG00000018677","false","interacts with","ENSMUSG00000074102 (interacts with) ENSMUSG00000018677","0.0264860786808687"
"147453","53.2231218","interacts with","ENSMUSG00000041058 (interacts with) ENSMUSG00000041870","false","interacts with","ENSMUSG00000041058 (interacts with) ENSMUSG00000041870","0.0176220688699469"
"147451","39.12088617","interacts with","ENSMUSG00000021540 (interacts with) ENSMUSG00000019810","false","interacts with","ENSMUSG00000021540 (interacts with) ENSMUSG00000019810","0.0176236867547347"
"147452","164.7963792","interacts with","ENSMUSG00000055320 (interacts with) ENSMUSG00000038298","false","interacts with","ENSMUSG00000055320 (interacts with) ENSMUSG00000038298","0.0176235502452053"
"139260","22.43690322","interacts with","ENSMUSG00000034957 (interacts with) ENSMUSG00000000253","false","interacts with","ENSMUSG00000034957 (interacts with) ENSMUSG00000000253","0.0264774160969517"
"147456","51.70712771","interacts with","ENSMUSG00000075595 (interacts with) ENSMUSG00000029513","false","interacts with","ENSMUSG00000075595 (interacts with) ENSMUSG00000029513","0.0176196034836208"
"147461","83.63258283","interacts with","ENSMUSG00000034205 (interacts with) ENSMUSG00000057531","false","interacts with","ENSMUSG00000034205 (interacts with) ENSMUSG00000057531","0.0176174141551411"
"147459","50.91220615","interacts with","ENSMUSG00000031839 (interacts with) ENSMUSG00000034258","false","interacts with","ENSMUSG00000031839 (interacts with) ENSMUSG00000034258","0.0176175054701668"
"147460","42.02403414","interacts with","ENSMUSG00000025764 (interacts with) ENSMUSG00000037295","false","interacts with","ENSMUSG00000025764 (interacts with) ENSMUSG00000037295","0.0176174828492985"
"147463","42.56555871","interacts with","ENSMUSG00000021221 (interacts with) ENSMUSG00000001506","false","interacts with","ENSMUSG00000021221 (interacts with) ENSMUSG00000001506","0.0176159807039111"
