regulatoryGene	targetGene	weight	extRegulatoryGene	extTargetGene
ENSMUSG00000004044	ENSMUSG00000027239	0.0746966915934098	Cavin1	Mdk
ENSMUSG00000042812	ENSMUSG00000038552	0.0706474094637877	Foxf1	Fndc4
ENSMUSG00000055320	ENSMUSG00000040181	0.0700831946418745	Tead1	Fmo1
ENSMUSG00000023348	ENSMUSG00000051469	0.0688529002474847	Trip6	Zfp24
ENSMUSG00000034205	ENSMUSG00000051469	0.0688185875977904	Loxl2	Zfp24
ENSMUSG00000021506	ENSMUSG00000002871	0.0665886088010306	Pitx1	Tpra1
ENSMUSG00000021506	ENSMUSG00000034993	0.0662178286480493	Pitx1	Vat1
ENSMUSG00000073197	ENSMUSG00000021676	0.0650600993285719	5730507C01Rik	Iqgap2
ENSMUSG00000052712	ENSMUSG00000006235	0.0647800383447673	BC004004	Epor
ENSMUSG00000071766	ENSMUSG00000051413	0.0642308070709613	Rhox12	Plagl2
ENSMUSG00000004044	ENSMUSG00000049907	0.0623524345983467	Cavin1	Rasl11b
ENSMUSG00000020656	ENSMUSG00000038552	0.0621489714449728	Grhl1	Fndc4
ENSMUSG00000020656	ENSMUSG00000027708	0.0620638335158066	Grhl1	Dcun1d1
ENSMUSG00000028101	ENSMUSG00000022742	0.0619506141618269	Pias3	Cpox
ENSMUSG00000069729	ENSMUSG00000006235	0.0616032020730371	Arid1b	Epor
ENSMUSG00000029603	ENSMUSG00000054191	0.0614138757095086	Dtx1	Klf1
ENSMUSG00000029178	ENSMUSG00000024588	0.0608895400449999	Klf3	Fech
ENSMUSG00000038393	ENSMUSG00000049858	0.0604828217255054	Txnip	Suox
ENSMUSG00000018909	ENSMUSG00000026003	0.0601703263904967	Arrb1	Acadl
ENSMUSG00000037446	ENSMUSG00000049907	0.060134091564874	Tulp1	Rasl11b
ENSMUSG00000069729	ENSMUSG00000021439	0.060000658430149	Arid1b	Ctsq
ENSMUSG00000023348	ENSMUSG00000027708	0.0599470113316069	Trip6	Dcun1d1
ENSMUSG00000069729	ENSMUSG00000054191	0.0594740871592001	Arid1b	Klf1
ENSMUSG00000004044	ENSMUSG00000031486	0.05943743865618	Cavin1	Adgra2
ENSMUSG00000004044	ENSMUSG00000025533	0.0592419915689067	Cavin1	Asl
ENSMUSG00000028799	ENSMUSG00000024588	0.0591863970940981	Zfp362	Fech
ENSMUSG00000052712	ENSMUSG00000022742	0.0588242598510449	BC004004	Cpox
ENSMUSG00000054191	ENSMUSG00000022742	0.0585265226771279	Klf1	Cpox
ENSMUSG00000028101	ENSMUSG00000040181	0.0580548628531594	Pias3	Fmo1
ENSMUSG00000070803	ENSMUSG00000031217	0.0580149647861702	Cited4	Efnb1
