geneSet	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GSE27272_maternal_peripheral_blood_UP_term_placenta	Genes up-regulated in maternal peripheral blood versus term placenta	193	16	1.5340528781793843	10.429888191982547	2.0690116286914417e-12	4.862177327424888e-10	3055;3689;10261;3936;116844;338442;5724;7097;10875;54440;963;7850;9473;6404;1520;1378	LCP1;HCK;LRG1;ITGB2;FGL2;PTAFR;IGSF6;SASH3;THEMIS2;IL1R2;HCAR2;SELPLG;CD53;CR1;TLR2;CTSS
GSE27272_maternal_peripheral_blood_smoker_UP_term_placenta_smoker	Genes up-regulated in pregnant smokers: maternal peripheral blood versus term placenta	196	12	1.5578982597054887	7.702685284640172	4.492568472791447e-8	5.2787679555299505e-6	3055;10261;116844;338442;5724;7097;963;7850;6404;1520;3557;4688	HCK;LRG1;PTAFR;IGSF6;IL1R2;HCAR2;SELPLG;CD53;TLR2;CTSS;IL1RN;NCF2
GSE7905_placenta_UP_uterus	Genes up-regulated in placenta versus uterus	159	10	1.2638052208835342	7.912611717974181	5.007470958995341e-7	3.4969957254521455e-5	2152;3055;6382;3936;946;3556;3162;966;5617;929	LCP1;HCK;SDC1;PRL;HMOX1;CD59;CD14;F3;IL1RAP;SIGLEC6
GSE7905_placenta_UP_pancreas	Genes up-regulated in placenta versus pancreas	162	10	1.2876506024096386	7.766081871345029	5.95233314970578e-7	3.4969957254521455e-5	2152;3055;6382;3936;946;3162;966;5617;967;929	LCP1;HCK;SDC1;PRL;HMOX1;CD59;CD14;F3;SIGLEC6;CD63
GSE7905_placenta_UP_fetal_kidney	Genes up-regulated in placenta versus fetal kidney	198	10	1.5737951807228916	6.354066985645933	3.6910448421023645e-6	1.7120155970033282e-4	2152;3055;6382;7430;3936;946;966;5617;967;929	LCP1;HCK;SDC1;PRL;CD59;CD14;F3;SIGLEC6;EZR;CD63
GSE7905_placenta_UP_skeletal_muscle	Genes up-regulated in placenta versus skeletal muscle	158	9	1.2558567603748327	7.166422385076615	4.3711036519233915e-6	1.7120155970033282e-4	2152;3055;6382;3936;946;3162;966;967;929	LCP1;HCK;SDC1;HMOX1;CD59;CD14;F3;SIGLEC6;CD63
GSE30127_CTB primary_cells_UP_hESC_H7_cell_line	Genes up-regulated in cytotrophoblast primary cells versus human embryonic stem cell H7 cell line	193	9	1.5340528781793843	5.8668121079901825	2.1997149358465862e-5	6.139026314622154e-4	7026;3556;966;1368;7850;597;3553;5617;8843	PRL;CD59;IL1R2;HCAR3;IL1B;IL1RAP;BCL2A1;CPM;NR2F2
GSE30127_CTB_primary_cells_UP_TBPC_colony	Genes up-regulated in invasive cytotrophoblasts versus human chorionic trophoblast progenitor cells (TBPC colony)	194	9	1.5420013386880858	5.83657080846446	2.2917728493165868e-5	6.139026314622154e-4	3689;1368;7850;1520;3557;286133;5617;51296;4318	MMP9;PRL;SCARA5;ITGB2;SLC15A3;IL1R2;CTSS;IL1RN;CPM
GSE7905_placenta_UP_mammary_gland	Genes up-regulated in placenta versus mammary gland	149	8	1.1843206157965194	6.754927587424938	2.3511164609191226e-5	6.139026314622154e-4	3055;6382;946;3162;966;5617;967;929	HCK;SDC1;PRL;HMOX1;CD59;CD14;SIGLEC6;CD63
GSE7905_placenta_UP_fetal_brain	Genes up-regulated in placenta versus fetal brain	202	9	1.6055890227576974	5.605419489317353	3.153599239402727e-5	6.480899255272116e-4	3055;6382;7430;3936;946;3162;966;967;929	LCP1;HCK;SDC1;HMOX1;CD59;CD14;SIGLEC6;EZR;CD63
GSE7905_placenta_UP_colon	Genes up-regulated in placenta versus colon	157	8	1.2479082998661313	6.410727455581629	3.425782466059957e-5	6.480899255272116e-4	3055;6382;3936;946;3162;966;5617;929	LCP1;HCK;SDC1;PRL;HMOX1;CD59;CD14;SIGLEC6
GSE7905_placenta_UP_salivary_gland	Genes up-regulated in placenta versus salivary gland	158	8	1.2558567603748327	6.370153231179214	3.5851783114271285e-5	6.480899255272116e-4	2152;3055;6382;946;3162;966;5617;929	HCK;SDC1;PRL;HMOX1;CD59;CD14;F3;SIGLEC6
GSE7905_placenta_UP_brain	Genes up-regulated in placenta versus brain	158	8	1.2558567603748327	6.370153231179214	3.5851783114271285e-5	6.480899255272116e-4	3055;6382;3936;946;3162;966;967;929	LCP1;HCK;SDC1;HMOX1;CD59;CD14;SIGLEC6;CD63
