#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A4galt	Ugcg	10090.ENSMUSP00000129719	10090.ENSMUSP00000030074	0	0	0	0	0	0	0	0.589	0.589
A4galt	B4galt3	10090.ENSMUSP00000129719	10090.ENSMUSP00000106945	0	0	0	0	0	0	0.900	0.298	0.926
A4galt	Large	10090.ENSMUSP00000129719	10090.ENSMUSP00000112617	0	0	0	0	0	0	0	0.564	0.564
AF251705	Itgb2	10090.ENSMUSP00000090121	10090.ENSMUSP00000000299	0	0	0	0	0.419	0	0.900	0.052	0.940
AF251705	Psg19	10090.ENSMUSP00000090121	10090.ENSMUSP00000004657	0	0	0	0	0.119	0	0.900	0	0.908
AF251705	Mcemp1	10090.ENSMUSP00000090121	10090.ENSMUSP00000014118	0	0	0	0	0.259	0	0.900	0	0.922
AF251705	Cybb	10090.ENSMUSP00000090121	10090.ENSMUSP00000015484	0	0	0	0	0.418	0	0.900	0.041	0.939
AF251705	Plau	10090.ENSMUSP00000090121	10090.ENSMUSP00000022368	0	0	0	0	0	0	0.900	0	0.900
AF251705	Clec4d	10090.ENSMUSP00000090121	10090.ENSMUSP00000032240	0	0	0	0	0.196	0	0.900	0.137	0.924
AF251705	Cd53	10090.ENSMUSP00000090121	10090.ENSMUSP00000035781	0	0	0	0	0.406	0	0.900	0	0.938
AF251705	Rap2b	10090.ENSMUSP00000090121	10090.ENSMUSP00000038841	0	0	0	0	0	0	0.900	0	0.900
AF251705	Igsf6	10090.ENSMUSP00000090121	10090.ENSMUSP00000039059	0	0	0	0	0.553	0	0	0	0.553
AF251705	Cd177	10090.ENSMUSP00000090121	10090.ENSMUSP00000064934	0	0	0	0	0	0	0.900	0	0.900
AF251705	Bcl2a1b	10090.ENSMUSP00000090121	10090.ENSMUSP00000065612	0	0	0	0	0.707	0	0	0	0.707
AF251705	Ptafr	10090.ENSMUSP00000090121	10090.ENSMUSP00000070925	0	0	0	0	0.062	0	0.900	0	0.902
AF251705	Ano6	10090.ENSMUSP00000090121	10090.ENSMUSP00000071770	0	0	0	0	0	0	0.900	0	0.900
AF251705	Psg20	10090.ENSMUSP00000090121	10090.ENSMUSP00000075973	0	0	0	0	0	0	0.900	0	0.900
AF251705	Fcer1g	10090.ENSMUSP00000090121	10090.ENSMUSP00000078875	0	0	0	0	0.399	0.510	0.900	0.397	0.979
AF251705	Cd59b	10090.ENSMUSP00000090121	10090.ENSMUSP00000087912	0	0	0	0	0	0	0.900	0.109	0.907
AF251705	Serpinb6b	10090.ENSMUSP00000090121	10090.ENSMUSP00000105922	0	0	0	0	0	0	0.900	0	0.900
AF251705	Cd47	10090.ENSMUSP00000090121	10090.ENSMUSP00000099853	0	0	0	0	0	0	0.900	0	0.900
AI607873	Ifi204	10090.ENSMUSP00000048129	10090.ENSMUSP00000106845	0	0	0	0.928	0.405	0	0.800	0.520	0.880
Abr	Rhoq	10090.ENSMUSP00000091551	10090.ENSMUSP00000024956	0	0	0	0	0	0.123	0.900	0.115	0.915
Abr	Rhov	10090.ENSMUSP00000091551	10090.ENSMUSP00000041411	0	0	0	0	0.067	0.123	0.900	0.115	0.917
Acap1	Kctd11	10090.ENSMUSP00000001631	10090.ENSMUSP00000059107	0	0	0	0	0.054	0.047	0	0.647	0.653
Acap1	Cars	10090.ENSMUSP00000001631	10090.ENSMUSP00000010899	0	0	0	0	0.060	0	0	0.651	0.658
Acp5	Mmp9	10090.ENSMUSP00000127128	10090.ENSMUSP00000017881	0	0	0	0	0.097	0	0	0.557	0.583
Acp5	Enpp3	10090.ENSMUSP00000127128	10090.ENSMUSP00000020169	0	0	0	0	0.106	0	0.900	0.142	0.916
Actn3	Tpm4	10090.ENSMUSP00000006626	10090.ENSMUSP00000003575	0	0	0	0	0.264	0.355	0.900	0.204	0.957
Actn3	Zyx	10090.ENSMUSP00000006626	10090.ENSMUSP00000126622	0	0	0	0	0.061	0.410	0	0.343	0.604
Actn3	Tnnc1	10090.ENSMUSP00000006626	10090.ENSMUSP00000131991	0	0	0	0	0.125	0.198	0.900	0.073	0.926
Actn3	Tnnt1	10090.ENSMUSP00000006626	10090.ENSMUSP00000071704	0	0	0	0	0.292	0.072	0.900	0.254	0.944
Actn3	Myh6	10090.ENSMUSP00000006626	10090.ENSMUSP00000080538	0	0	0	0	0.154	0.429	0.900	0.277	0.960
Actn3	Tpm1	10090.ENSMUSP00000006626	10090.ENSMUSP00000109337	0	0	0	0	0.397	0.361	0.900	0.460	0.976
Actn3	Myh3	10090.ENSMUSP00000006626	10090.ENSMUSP00000104329	0	0	0	0	0.245	0.640	0.900	0.354	0.980
Adamts1	Mmp9	10090.ENSMUSP00000023610	10090.ENSMUSP00000017881	0	0	0	0	0	0.051	0	0.625	0.628
Adamts1	Furin	10090.ENSMUSP00000023610	10090.ENSMUSP00000113370	0	0	0	0	0	0.197	0	0.570	0.639
Adamts1	Adamts9	10090.ENSMUSP00000023610	10090.ENSMUSP00000109065	0	0	0	0.871	0.094	0	0.900	0.769	0.914
Adamts1	Adamts7	10090.ENSMUSP00000023610	10090.ENSMUSP00000108682	0	0	0	0.805	0.078	0	0.900	0.719	0.917
