"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"2921","0.378","0.599","0.74","0.0","50.93536957","0.0","0","0.0","interacts with","Clec4d (interacts with) Ms4a6d","0","10090.ENSMUSP00000032240","10090.ENSMUSP00000025582","0","false","interacts with","Clec4d (interacts with) Ms4a6d"
"2920","0.0","0.0","0.9","0.9","30.9152439","0.05","0","0.0","interacts with","Clec4d (interacts with) Psg20","0","10090.ENSMUSP00000032240","10090.ENSMUSP00000075973","0","false","interacts with","Clec4d (interacts with) Psg20"
"2919","0.0","0.0","0.9","0.9","5.01515152","0.0","0","0.0","interacts with","Clec4d (interacts with) Rap2b","0","10090.ENSMUSP00000032240","10090.ENSMUSP00000038841","0","false","interacts with","Clec4d (interacts with) Rap2b"
"2918","0.0","0.0","0.9","0.9","7.41386179","0.0","0","0.0","interacts with","Clec4d (interacts with) mCG_19844","0","10090.ENSMUSP00000032240","10090.ENSMUSP00000042889","0","false","interacts with","Clec4d (interacts with) mCG_19844"
"2917","0.0","0.068","0.902","0.9","19.0053455","0.0","0","0.0","interacts with","Clec4d (interacts with) Stk10","0","10090.ENSMUSP00000032240","10090.ENSMUSP00000099885","0","false","interacts with","Clec4d (interacts with) Stk10"
"2916","0.086","0.0","0.905","0.9","33.14558822","0.048","0","0.0","interacts with","Clec4d (interacts with) Serpinb6b","0","10090.ENSMUSP00000032240","10090.ENSMUSP00000105922","0","false","interacts with","Clec4d (interacts with) Serpinb6b"
"2915","0.0","0.175","0.914","0.9","21.72001071","0.0","0","0.0","interacts with","Clec4d (interacts with) Ptafr","0","10090.ENSMUSP00000032240","10090.ENSMUSP00000070925","0","false","interacts with","Clec4d (interacts with) Ptafr"
"2914","0.418","0.417","0.964","0.9","13.16298883","0.069","0","0.0","interacts with","Clec4d (interacts with) Fcer1g","0","10090.ENSMUSP00000032240","10090.ENSMUSP00000078875","0","false","interacts with","Clec4d (interacts with) Fcer1g"
"2885","0.073","0.609","0.622","0.0","64.54898048","0.0","0","0.0","interacts with","Igsf6 (interacts with) Spi1","0","10090.ENSMUSP00000039059","10090.ENSMUSP00000002180","0","false","interacts with","Igsf6 (interacts with) Spi1"
"2884","0.362","0.546","0.698","0.0","16.96909572","0.0","0","0.0","interacts with","Igsf6 (interacts with) Ms4a6d","0","10090.ENSMUSP00000039059","10090.ENSMUSP00000025582","0","false","interacts with","Igsf6 (interacts with) Ms4a6d"
