#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AI314180	Pafah1b1	10090.ENSMUSP00000099953	10090.ENSMUSP00000021091	0	0	0	0	0.094	0	0	0.527	0.553
AI314180	Psmc6	10090.ENSMUSP00000099953	10090.ENSMUSP00000022380	0	0	0	0	0.199	0.245	0	0.407	0.610
AI314180	Ube2k	10090.ENSMUSP00000099953	10090.ENSMUSP00000122471	0	0	0	0	0	0	0	0.635	0.635
AI464131	Igf2	10090.ENSMUSP00000059038	10090.ENSMUSP00000101556	0	0	0	0	0	0.538	0	0.170	0.600
Abcc1	Akt1	10090.ENSMUSP00000097743	10090.ENSMUSP00000001780	0	0	0	0	0.061	0.065	0	0.672	0.687
Acat2	Mvd	10090.ENSMUSP00000007005	10090.ENSMUSP00000006692	0	0	0	0	0.340	0	0	0.710	0.800
Acat2	Pmvk	10090.ENSMUSP00000007005	10090.ENSMUSP00000029564	0	0	0	0	0.405	0	0	0.402	0.629
Acat2	Fdft1	10090.ENSMUSP00000007005	10090.ENSMUSP00000055313	0	0	0	0	0.262	0.050	0	0.517	0.632
Acat2	Idi1	10090.ENSMUSP00000007005	10090.ENSMUSP00000132780	0	0	0	0	0.360	0	0	0.606	0.737
Acat2	Fdps	10090.ENSMUSP00000007005	10090.ENSMUSP00000080531	0	0	0	0	0.519	0	0	0.479	0.739
Acat2	Acly	10090.ENSMUSP00000007005	10090.ENSMUSP00000103012	0	0	0	0	0.234	0	0.800	0.139	0.856
Acat2	Ehhadh	10090.ENSMUSP00000007005	10090.ENSMUSP00000023559	0	0	0	0	0.136	0.263	0.900	0.363	0.954
Acat2	Hmgcs1	10090.ENSMUSP00000007005	10090.ENSMUSP00000136944	0	0	0	0	0.415	0.355	0.900	0.622	0.983
Acly	Akt1	10090.ENSMUSP00000103012	10090.ENSMUSP00000001780	0	0	0	0	0	0.050	0	0.754	0.756
Acly	Ogdh	10090.ENSMUSP00000103012	10090.ENSMUSP00000003461	0	0	0	0	0.311	0.184	0	0.521	0.707
Acly	Elovl1	10090.ENSMUSP00000103012	10090.ENSMUSP00000006557	0	0	0	0	0.062	0	0	0.587	0.596
Acly	Srebf1	10090.ENSMUSP00000103012	10090.ENSMUSP00000020846	0	0	0	0	0.112	0	0	0.841	0.853
Acly	Pfas	10090.ENSMUSP00000103012	10090.ENSMUSP00000021282	0	0	0	0	0.608	0	0	0.158	0.656
Acly	Sdha	10090.ENSMUSP00000103012	10090.ENSMUSP00000022062	0	0	0	0	0.311	0.198	0	0.376	0.625
Acly	Cct2	10090.ENSMUSP00000103012	10090.ENSMUSP00000036288	0	0	0	0	0.062	0.092	0.900	0.181	0.920
