"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"41968","6","4.78109453","0.00995025","0.20915713","0.0","2","8","false","Slc25a21","3.5","2","0","0","0.65626413","false","0","Slc25a21","1032","0.5"
"35824","6","4.64179104","0.0","0.21543408","0.0","1","9","false","Gpr182","8.0","1","0","0","0.66892809","false","0","Gpr182","0","0.0"
"41969","6","5.7761194","0.0","0.17312661","0.0","1","9","false","Tmem56","2.0","1","0","0","0.56580733","false","0","Tmem56","0","0.0"
"34289","6","3.25870647","0.04769314","0.30687023","0.43478261","23","7","false","Lpar3","12.73913043","23","0","0","0.79466305","false","0","Lpar3","10852","0.23510467"
"34291","6","3.87064677","0.00332851","0.25835476","0.72222222","9","7","false","S1pr1","10.11111111","9","0","0","0.73903211","false","0","S1pr1","1482","0.348659"
"34293","6","3.59701493","0.00648902","0.2780083","0.68888889","10","7","false","S1pr2","10.6","10","0","0","0.76390773","false","0","S1pr2","2352","0.34193548"
"34295","6","3.97512438","0.0","0.25156446","1.0","7","8","false","Aplnr","12.0","7","0","0","0.72953415","false","0","Aplnr","0","0.42857143"
"34300","6","3.59701493","0.00648902","0.2780083","0.68888889","10","7","false","S1pr3","10.6","10","0","0","0.76390773","false","0","S1pr3","2352","0.34193548"
"35838","6","3.90547264","0.0058167","0.25605096","0.66666667","3","8","false","Dapk2","7.0","3","0","0","0.73586612","false","0","Dapk2","1036","0.41176471"
"35845","6","4.01492537","0.0","0.24907063","0.0","1","8","false","Ppp1r3f","13.0","1","0","0","0.72591588","false","0","Ppp1r3f","0","0.0"
"35847","6","3.61691542","0.01811579","0.27647868","0.3","5","7","false","Dapk3","9.6","5","0","0","0.7620986","false","0","Dapk3","3994","0.34285714"
"35851","6","3.88557214","0.02055808","0.25736236","0.16666667","4","8","false","Kcnn4","5.25","4","0","0","0.73767526","false","0","Kcnn4","4824","0.296875"
"37900","6","4.31343284","0.0","0.23183391","0.0","1","8","false","Emp2","16.0","1","0","0","0.69877883","false","0","Emp2","0","0.0"
"38926","6","6.5920398","0.0","0.15169811","0.0","1","11","false","Slc6a8","2.0","1","0","0","0.49163275","false","0","Slc6a8","0","0.0"
"37918","6","5.65174129","0.0","0.17693662","0.0","1","10","false","Entpd4","6.0","1","0","0","0.57711443","false","0","Entpd4","0","0.0"
