"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"5","2.6770833333333335","0.009494589185009675","0.3735408560311284","0.5","8","5","false","Ppp2r5a","20.625","0","8","0","0.9753370098039217","false","0","Ppp2r5a","2666","0.22418478260869565"
"5","2.9427083333333335","0.02176543652489936","0.3398230088495575","0.3111111111111111","10","6","false","Smad6","14.6","0","10","0","0.9714307598039217","false","0","Smad6","5640","0.2360655737704918"
"5","2.546875","0.03299780074613118","0.39263803680981596","0.4853801169590643","19","5","false","Wnt5a","15.263157894736842","0","19","0","0.9772518382352942","false","0","Wnt5a","8578","0.15899122807017543"
"5","3.4427083333333335","0.0","0.29046898638426627","0.0","1","6","false","March9","27.0","0","1","0","0.964077818627451","false","0","March9","0","0.0"
"5","2.8333333333333335","0.004297028687571882","0.3529411764705882","0.6666666666666666","4","5","false","Lgr6","20.5","0","4","0","0.9730392156862746","false","0","Lgr6","622","0.2847222222222222"
"5","3.3072916666666665","0.0020312458281178778","0.30236220472440944","0.4358974358974359","13","6","false","Fzd1","12.615384615384615","0","13","0","0.9660692401960783","false","0","Fzd1","982","0.36043956043956044"
"5","3.4270833333333335","0.0","0.2917933130699088","1.0","3","6","false","Rhbdf1","11.333333333333334","0","3","0","0.9643075980392157","false","0","Rhbdf1","0","0.40476190476190477"
"5","4.208333333333333","0.010416666666666666","0.23762376237623764","0.0","2","7","false","Gdf11","3.0","0","2","0","0.9528186274509804","false","0","Gdf11","1992","0.5"
"5","2.515625","0.065954080096444","0.39751552795031053","0.322463768115942","24","5","false","Lrp5","12.416666666666666","0","24","0","0.9777113970588235","false","0","Lrp5","11100","0.12982456140350876"
"5","2.640625","0.013663856466216644","0.378698224852071","0.5934065934065934","14","5","false","Fzd4","17.5","0","14","0","0.9758731617647058","false","0","Fzd4","4984","0.19230769230769232"
"5","3.4166666666666665","0.010416666666666666","0.29268292682926833","0.0","2","6","false","Zdhhc15","15.0","0","2","0","0.9644607843137254","false","0","Zdhhc15","922","0.5"
"5","3.4270833333333335","0.0","0.2917933130699088","1.0","3","6","false","Kank2","11.333333333333334","0","3","0","0.9643075980392157","false","0","Kank2","0","0.40476190476190477"
"5","2.6770833333333335","0.009494589185009675","0.3735408560311284","0.5","8","5","false","Amer1","20.625","0","8","0","0.9753370098039217","false","0","Amer1","2666","0.22418478260869565"
"5","3.4270833333333335","0.0","0.2917933130699088","1.0","3","6","false","Cdip1","11.333333333333334","0","3","0","0.9643075980392157","false","0","Cdip1","0","0.40476190476190477"
"5","3.484375","2.186847688464566E-5","0.28699551569506726","0.8333333333333334","4","6","false","Etfdh","13.25","0","4","0","0.9634650735294118","false","0","Etfdh","8","0.5520833333333334"
"5","3.2239583333333335","0.020724258289703316","0.31017770597738287","0.6","5","6","false","Acvr2b","12.4","0","5","0","0.967294730392157","false","0","Acvr2b","3980","0.32972972972972975"
"5","2.8645833333333335","0.0","0.34909090909090906","1.0","2","5","false","Tada3","35.0","0","2","0","0.9725796568627452","false","0","Tada3","0","0.5147058823529411"
"5","3.453125","0.003303365002354208","0.2895927601809955","0.6","5","6","false","Echdc2","10.2","0","5","0","0.9639246323529411","false","0","Echdc2","2686","0.36428571428571427"
