"SUID","__glayCluster","name","selected","shared name"
"4261","1","Ap5b1","false","Ap5b1"
"4262","2","ENSMUSG00000045414","false","ENSMUSG00000045414"
"4263","1","Epn3","false","Epn3"
"4264","1","Mfsd2b","false","Mfsd2b"
"4265","3","Cldn7","false","Cldn7"
"3224","4","Siae","false","Siae"
"3225","4","Vezt","false","Vezt"
"4266","1","Syp","false","Syp"
"3473","1","Ptk7","false","Ptk7"
"3783","5","Efemp2","false","Efemp2"
"3226","2","Myo5b","false","Myo5b"
"4267","1","Ap1s3","false","Ap1s3"
"4268","1","Ap1g1","false","Ap1g1"
"4269","1","Ap1m2","false","Ap1m2"
"4270","1","Tbc1d8b","false","Tbc1d8b"
"4271","1","Yipf6","false","Yipf6"
"4272","2","Prkab1","false","Prkab1"
"4273","1","Arf2","false","Arf2"
"4274","6","Pip5k1b","false","Pip5k1b"
"4275","1","Gas2l1","false","Gas2l1"
"3474","4","Gpr124","false","Gpr124"
"4276","1","Bmp2k","false","Bmp2k"
"4277","1","Ap1b1","false","Ap1b1"
"4278","6","Anxa6","false","Anxa6"
"4279","2","Stxbp2","false","Stxbp2"
"4280","2","Anxa3","false","Anxa3"
"4281","5","Tnc","false","Tnc"
"4282","5","Vgf","false","Vgf"
"3784","5","Fkbp10","false","Fkbp10"
"4283","5","Fuca2","false","Fuca2"
"4284","5","Fstl1","false","Fstl1"
"4285","5","Shisa5","false","Shisa5"
"4286","5","Fga","false","Fga"
"3785","5","Itga8","false","Itga8"
"4287","5","Hrc","false","Hrc"
"3786","5","Fbln1","false","Fbln1"
"4288","5","Chrdl1","false","Chrdl1"
"4289","5","Aplp2","false","Aplp2"
"4290","5","Lamb2","false","Lamb2"
"3475","1","Wnt3","false","Wnt3"
"4291","5","Prss23","false","Prss23"
"4292","5","Eva1a","false","Eva1a"
"3476","7","Kirrel","false","Kirrel"
"4293","5","Gas6","false","Gas6"
"3227","2","Rab25","false","Rab25"
"3787","5","Tgm2","false","Tgm2"
"4294","5","Mfge8","false","Mfge8"
"4295","5","Sparcl1","false","Sparcl1"
"3228","1","Vps37a","false","Vps37a"
"4296","5","Lamc1","false","Lamc1"
"3229","1","Uevld","false","Uevld"
"3230","1","Mvb12b","false","Mvb12b"
"4297","5","Igfbp5","false","Igfbp5"
"3477","4","Ptpra","false","Ptpra"
"3231","8","St6galnac2","false","St6galnac2"
"4298","5","Tmem132a","false","Tmem132a"
"3232","8","Pcdh1","false","Pcdh1"
"4299","5","Serpind1","false","Serpind1"
"4300","5","Sdc2","false","Sdc2"
"3478","7","Zfp106","false","Zfp106"
"4301","5","Igfbp4","false","Igfbp4"
"3479","9","Grap2","false","Grap2"
"4302","5","Csf1","false","Csf1"
"3233","10","Sbf1","false","Sbf1"
"4303","5","Ltbp1","false","Ltbp1"
"4304","5","Ano8","false","Ano8"
"4305","11","Limch1","false","Limch1"
"3480","7","Nedd9","false","Nedd9"
"4306","11","Nanos1","false","Nanos1"
"4307","11","Ankrd50","false","Ankrd50"
"3234","6","Mtmr10","false","Mtmr10"
"3481","12","Ncoa2","false","Ncoa2"
"4308","6","Itpka","false","Itpka"
"3788","5","Serpinf1","false","Serpinf1"
"3235","2","Tcf19","false","Tcf19"
"3236","2","Mta3","false","Mta3"
"4309","2","Sec23a","false","Sec23a"
"4310","2","Ankrd45","false","Ankrd45"
"3237","13","Slc36a1","false","Slc36a1"
"3482","3","Pofut1","false","Pofut1"
"3238","13","Scly","false","Scly"
"4311","4","Tenm4","false","Tenm4"
"3483","8","St6gal1","false","St6gal1"
"3239","13","Mrvi1","false","Mrvi1"
"3240","13","Slc5a3","false","Slc5a3"
"3484","8","Fut8","false","Fut8"
"4312","4","Hook1","false","Hook1"
"3241","13","Mrpl14","false","Mrpl14"
"3242","5","Stab1","false","Stab1"
"3789","14","Ctsr","false","Ctsr"
"4313","4","Folr1","false","Folr1"
"3790","14","Ctsq","false","Ctsq"
"4314","4","Epb4.1","false","Epb4.1"
"4315","4","Epb4.2","false","Epb4.2"
"3485","15","Slc22a23","false","Slc22a23"
"4316","4","Ank3","false","Ank3"
"4317","2","Tmed3","false","Tmed3"
