ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
MP:0001790	abnormal immune system physiology	0.09223447	19.73818	56	2.837141	0.2616822	5.626071e-13	5.159107107e-09	1998	19.98467	56	2.802148	0.2616822	0.02802803	6.480784e-13	5.942878928e-09
MP:0001819	abnormal immune cell physiology	0.05317682	11.37984	40	3.514988	0.1869159	4.277285e-12	1.9611351725e-08	1221	12.21285	40	3.275238	0.1869159	0.03276003	2.586323e-11	1.1858290955e-07
MP:0002421	abnormal cell-mediated immunity	0.05343876	11.4359	39	3.410315	0.182243	2.03119e-11	6.20867076666667e-08	1234	12.34288	39	3.159715	0.182243	0.03160454	1.378318e-10	4.0921125e-07
MP:0002420	abnormal adaptive immunity	0.05439659	11.64087	39	3.350265	0.182243	3.422493e-11	7.8460652025e-08	1254	12.54293	39	3.109321	0.182243	0.03110048	2.201983e-10	4.0921125e-07
MP:0002442	abnormal leukocyte physiology	0.05274423	11.28726	38	3.366626	0.1775701	5.548229e-11	1.0175451986e-07	1198	11.9828	38	3.171212	0.1775701	0.03171953	2.23125e-10	4.0921125e-07
MP:0001845	abnormal inflammatory response	0.04403694	9.423905	34	3.607846	0.1588785	1.112073e-10	1.36152835875e-07	1008	10.08236	34	3.372228	0.1588785	0.03373016	4.709881e-10	5.39870109625e-07
MP:0002452	abnormal professional antigen presenting cell physiology	0.03697918	7.913545	31	3.917334	0.1448598	1.133208e-10	1.36152835875e-07	831	8.311942	31	3.729574	0.1448598	0.03730445	2.690263e-10	4.11161861833333e-07
MP:0012382	abnormal blood cell physiology	0.05677648	12.15017	39	3.209832	0.182243	1.187811e-10	1.36152835875e-07	1304	13.04305	39	2.990099	0.182243	0.02990798	6.793563e-10	6.842466932e-07
MP:0002406	increased susceptibility to infection	0.01536875	3.288912	20	6.081039	0.09345794	2.08526e-10	2.031188012e-07	414	4.140968	20	4.829789	0.09345794	0.04830918	7.367087e-09	5.19662983e-06
MP:0001545	abnormal hematopoietic system physiology	0.06069022	12.98771	40	3.079835	0.1869159	2.215036e-10	2.031188012e-07	1367	13.67319	40	2.925432	0.1869159	0.02926116	7.461796e-10	6.842466932e-07
MP:0005387	immune system phenotype	0.1392002	29.78885	65	2.182025	0.3037383	4.658279e-10	3.88331076636364e-07	2971	29.71694	65	2.187304	0.3037383	0.02187816	3.299865e-10	4.32282315e-07
MP:0002723	abnormal immune serum protein physiology	0.03959178	8.47264	31	3.658836	0.1448598	5.838983e-10	4.46195617583333e-07	928	9.282169	31	3.339737	0.1448598	0.03340517	3.805997e-09	3.17281749909091e-06
MP:0005025	abnormal response to infection	0.02097348	4.488324	22	4.901607	0.1028037	1.339473e-09	9.44843646923077e-07	537	5.371255	22	4.095877	0.1028037	0.04096834	2.498728e-08	1.52755571733333e-05
MP:0001793	altered susceptibility to infection	0.01915563	4.099305	21	5.12282	0.09813084	1.505455e-09	9.86073025e-07	500	5.001168	21	4.199019	0.09813084	0.042	3.465026e-08	1.98589302625e-05
MP:0002418	increased susceptibility to viral infection	0.004671001	0.9995942	11	11.00447	0.05140187	8.059622e-09	4.92711558266667e-06	116	1.160271	11	9.480543	0.05140187	0.09482759	2.432684e-08	1.52755571733333e-05
MP:0008835	abnormal intercellular signaling peptide or protein level	0.01429146	3.058371	17	5.558514	0.07943925	1.82613e-08	1.04660075625e-05	348	3.480813	17	4.883916	0.07943925	0.04885057	8.809304e-08	4.205285889e-05
MP:0001846	increased inflammatory response	0.03734642	7.992133	27	3.378322	0.1261682	4.24975e-08	2.29236514705882e-05	822	8.221921	27	3.283904	0.1261682	0.03284672	6.015556e-08	3.24486167764706e-05
MP:0008713	abnormal cytokine level	0.01346155	2.880771	16	5.554069	0.07476636	4.906084e-08	2.44253954e-05	338	3.38079	16	4.732622	0.07476636	0.04733728	3.26291e-07	0.000130090803043478
MP:0002444	abnormal T cell physiology	0.02354442	5.038506	21	4.167902	0.09813084	5.060878e-08	2.44253954e-05	524	5.241225	21	4.006697	0.09813084	0.04007634	7.667301e-08	3.90606389833333e-05
MP:0003945	abnormal lymphocyte physiology	0.03811199	8.155965	27	3.31046	0.1261682	6.38012e-08	2.84277423333333e-05	857	8.572003	27	3.149789	0.1261682	0.03150525	1.392682e-07	5.80495179090909e-05
MP:0020173	abnormal IgE level	0.004490591	0.9609865	10	10.40597	0.04672897	6.51017e-08	2.84277423333333e-05	121	1.210283	10	8.262532	0.04672897	0.08264463	3.911158e-07	0.00014346127544
MP:0009785	altered susceptibility to infection induced morbidity/mortality	0.005903311	1.263309	11	8.707295	0.05140187	8.424064e-08	3.51130304e-05	161	1.610376	11	6.830702	0.05140187	0.06832298	6.959379e-07	0.000220060363551724
MP:0020185	altered susceptibility to viral infection	0.005963006	1.276083	11	8.620127	0.05140187	9.3063e-08	3.71038134782609e-05	155	1.550362	11	7.095116	0.05140187	0.07096774	4.762288e-07	0.000161741410962963
MP:0002497	increased IgE level	0.002591779	0.5546408	8	14.42375	0.03738318	1.211587e-07	4.62927199583333e-05	69	0.6901613	8	11.59149	0.03738318	0.115942	4.353548e-07	0.000153546289076923
MP:0000217	abnormal leukocyte cell number	0.06711203	14.36197	35	2.436991	0.1635514	9.949139e-07	0.000350898479346154	1456	14.5634	35	2.403285	0.1635514	0.02403846	1.169712e-06	0.0003452473478125
MP:0011180	abnormal hematopoietic cell number	0.0787615	16.85496	38	2.254529	0.1775701	2.067052e-06	0.000702032105185185	1705	17.05398	38	2.228218	0.1775701	0.02228739	2.369518e-06	0.000620813716
MP:0000716	abnormal immune system cell morphology	0.07575929	16.21249	37	2.282191	0.1728972	2.178053e-06	0.0007133123575	1672	16.72391	37	2.212402	0.1728972	0.02212919	3.882677e-06	0.000942261660789474
MP:0000685	abnormal immune system morphology	0.09898627	21.18306	44	2.077131	0.2056075	2.430147e-06	0.000768429241034483	2117	21.17495	44	2.077927	0.2056075	0.02078413	2.098435e-06	0.000565960263235294
MP:0000322	increased granulocyte number	0.01028081	2.200093	12	5.454314	0.05607477	2.892436e-06	0.000884121270666667	250	2.500584	12	4.798879	0.05607477	0.048	8.728449e-06	0.00170408217148936
MP:0002451	abnormal macrophage physiology	0.01638847	3.507132	15	4.276999	0.07009346	3.241122e-06	0.000958744798064516	355	3.55083	15	4.224365	0.07009346	0.04225352	3.140996e-06	0.000800081481111111
MP:0003009	abnormal cytokine secretion	0.02340511	5.008693	18	3.593752	0.08411215	3.752762e-06	0.001075400860625	557	5.571302	18	3.230843	0.08411215	0.03231598	1.359649e-05	0.00232943175818182
MP:0002459	abnormal B cell physiology	0.02352389	5.034113	18	3.575605	0.08411215	4.020512e-06	0.00111721500121212	533	5.331246	18	3.376322	0.08411215	0.03377111	7.50201e-06	0.00163138970302326
MP:0009787	increased susceptibility to infection induced morbidity/mortality	0.004200803	0.8989719	8	8.899055	0.03738318	4.304635e-06	0.00116098538088235	116	1.160271	8	6.89494	0.03738318	0.06896552	2.213677e-05	0.00332864686229508
MP:0008246	abnormal leukocyte morphology	0.07528643	16.1113	36	2.234457	0.1682243	4.901816e-06	0.001284275792	1653	16.53386	36	2.17735	0.1682243	0.02177858	7.649919e-06	0.00163138970302326
MP:0008469	abnormal protein level	0.04251903	9.099073	25	2.747533	0.1168224	5.621724e-06	0.00143197803	966	9.662258	25	2.587387	0.1168224	0.02587992	1.362933e-05	0.00232943175818182
MP:0010210	abnormal circulating cytokine level	0.009313786	1.99315	11	5.518902	0.05140187	6.750849e-06	0.00162908645605263	259	2.590605	11	4.246112	0.05140187	0.04247104	6.339136e-05	0.00645887523555556
MP:0000218	increased leukocyte cell number	0.04091687	8.75621	24	2.740912	0.1121495	9.119503e-06	0.00209064606275	880	8.802057	24	2.726636	0.1121495	0.02727273	8.685676e-06	0.00170408217148936
MP:0001800	abnormal humoral immune response	0.02028504	4.340999	16	3.685787	0.07476636	9.690104e-06	0.00216727448	483	4.831129	16	3.311855	0.07476636	0.03312629	3.082803e-05	0.0040871721625
MP:0002490	abnormal immunoglobulin level	0.01809661	3.872674	15	3.873293	0.07009346	1.042521e-05	0.00227617085	445	4.45104	15	3.369999	0.07009346	0.03370787	4.497661e-05	0.00525234619759036
MP:0002419	abnormal innate immunity	0.02535253	5.425442	18	3.317702	0.08411215	1.099063e-05	0.00234381574651163	539	5.39126	18	3.338737	0.08411215	0.03339518	8.734118e-06	0.00170408217148936
MP:0001828	abnormal T cell activation	0.01388534	2.971462	13	4.374951	0.06074766	1.170859e-05	0.00244017659772727	288	2.880673	13	4.512834	0.06074766	0.04513889	7.141795e-06	0.00159732341829268
MP:0002461	increased immunoglobulin level	0.01031388	2.20717	11	4.983757	0.05140187	1.722856e-05	0.00351079767111111	252	2.520589	11	4.364059	0.05140187	0.04365079	4.953161e-05	0.00528145190348837
MP:0005094	abnormal T cell proliferation	0.0123485	2.64258	12	4.541018	0.05607477	1.776523e-05	0.00354145998043478	262	2.620612	12	4.579083	0.05607477	0.04580153	1.397151e-05	0.00232943175818182
