ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
MP:0010770	preweaning lethality	0.2047155	37.46294	101	2.695998	0.5519126	6.323425e-25	5.798580725e-21	3574	30.4028	100	3.28917	0.5494505	0.02797985	4.684614e-32	4.295791038e-28
MP:0010768	mortality/aging	0.2418239	44.25377	109	2.463067	0.5956284	2.58629e-24	1.185813965e-20	4337	36.89339	108	2.927354	0.5934066	0.02490201	6.373546e-31	2.17422961933333e-27
MP:0010769	abnormal survival	0.2283884	41.79508	105	2.512257	0.5737705	9.528238e-24	2.91246474866667e-20	4010	34.11171	104	3.048807	0.5714286	0.02593516	7.113074e-31	2.17422961933333e-27
MP:0005378	growth/size/body region phenotype	0.213765	39.119	98	2.505176	0.5355191	1.695689e-21	3.8873670325e-18	3564	30.31774	97	3.199447	0.532967	0.02721661	8.217088e-30	1.883767424e-26
MP:0002080	prenatal lethality	0.1049329	19.20272	67	3.48909	0.3661202	8.002822e-21	1.4677175548e-17	2000	17.01332	66	3.879313	0.3626374	0.033	2.981927e-23	5.468854118e-20
MP:0004196	abnormal prenatal growth/weight/body size	0.05609617	10.2656	47	4.578398	0.2568306	9.479126e-19	1.44872642366667e-15	991	8.4301	46	5.456637	0.2527473	0.04641776	1.207913e-21	1.84609370166667e-18
MP:0010866	abnormal prenatal body size	0.04170248	7.631553	38	4.979327	0.2076503	2.623126e-16	3.43629506e-13	748	6.362982	37	5.814884	0.2032967	0.04946524	2.700457e-18	3.53759867e-15
MP:0004200	decreased fetal size	0.01031597	1.887823	20	10.59421	0.1092896	9.282751e-15	1.064035333375e-11	179	1.522692	19	12.4779	0.1043956	0.1061453	1.069519e-15	9.80748923e-13
MP:0004198	abnormal fetal size	0.01059172	1.938285	20	10.3184	0.1092896	1.506956e-14	1.53542072444444e-11	186	1.582239	19	12.0083	0.1043956	0.1021505	2.189222e-15	1.82501506727273e-12
MP:0005380	embryo phenotype	0.0870319	15.92684	51	3.202142	0.2786885	4.644395e-14	4.258910215e-11	1543	13.12578	50	3.809298	0.2747253	0.03240441	6.19367e-17	6.31066154444445e-14
MP:0004197	abnormal fetal growth/weight/body size	0.0145728	2.666823	22	8.249518	0.1202186	5.899441e-14	4.91798854272727e-11	247	2.101145	21	9.99455	0.1153846	0.08502024	2.85726e-15	2.18342285e-12
MP:0008762	embryonic lethality	0.07861521	14.38658	46	3.197424	0.2513661	1.222213e-12	9.33974434166667e-10	1537	13.07474	46	3.518235	0.2527473	0.02992843	2.825688e-14	1.75373926933333e-11
MP:0014134	abnormal embryo morphology	0.06885696	12.60082	41	3.253755	0.2240437	1.613877e-11	1.13840400692308e-08	1171	9.961299	40	4.01554	0.2197802	0.03415884	2.868712e-14	1.75373926933333e-11
MP:0005385	cardiovascular system phenotype	0.1332184	24.37897	59	2.420119	0.3224044	3.777235e-11	2.474088925e-08	2260	19.22505	58	3.016897	0.3186813	0.02566372	3.993718e-15	2.81710723538462e-12
MP:0002086	abnormal extraembryonic tissue morphology	0.03484147	6.37599	28	4.391475	0.1530055	6.344797e-11	3.87878589933333e-08	603	5.129516	28	5.458604	0.1538462	0.04643449	2.605322e-13	1.32726681888889e-10
MP:0005376	homeostasis/metabolism phenotype	0.2176697	39.83355	79	1.983253	0.431694	8.117814e-11	4.65252214875e-08	4220	35.89811	78	2.172817	0.4285714	0.01848341	7.841529e-13	3.78456952263158e-10
MP:0001764	abnormal homeostasis	0.1923463	35.19936	73	2.073901	0.3989071	8.95026e-11	4.82787554117647e-08	3702	31.49166	72	2.28632	0.3956044	0.01944895	8.860842e-13	4.062696057e-10
MP:0002088	abnormal embryonic growth/weight/body size	0.04627734	8.468753	32	3.778597	0.1748634	1.045864e-10	5.32809604444444e-08	817	6.949942	31	4.460469	0.1703297	0.0379437	2.439842e-12	9.72754397391305e-10
MP:0002127	abnormal cardiovascular system morphology	0.1014792	18.57069	49	2.638567	0.2677596	1.734934e-10	8.37333935789474e-08	1709	14.53788	48	3.301719	0.2637363	0.0280866	7.275416e-14	4.169722795e-11
MP:0000266	abnormal heart morphology	0.07594065	13.89714	41	2.950247	0.2240437	3.136761e-10	1.4382049185e-07	1234	10.49722	40	3.810533	0.2197802	0.03241491	1.570993e-13	8.47412106470588e-11
MP:0010832	lethality during fetal growth through weaning	0.1292465	23.65211	56	2.367653	0.3060109	3.391396e-10	1.48090958666667e-07	1760	14.97172	55	3.673592	0.3021978	0.03125	5.275974e-18	6.0475851975e-15
MP:0005384	cellular phenotype	0.169013	30.92938	65	2.101561	0.3551913	1.038204e-09	4.32742303636364e-07	3160	26.88105	65	2.418061	0.3571429	0.02056962	1.716679e-12	7.49616496666667e-10
MP:0005621	abnormal cell physiology	0.1481154	27.10512	59	2.17671	0.3224044	2.433014e-09	9.70032103478261e-07	2684	22.83188	59	2.584106	0.3241758	0.02198212	1.87111e-12	7.79912668181818e-10
MP:0011101	prenatal lethality, incomplete penetrance	0.01824333	3.33853	18	5.391594	0.09836066	9.967872e-09	3.80855776e-06	312	2.654078	17	6.405237	0.09340659	0.05448718	1.551119e-09	4.444925384375e-07
