ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Fold
GO:0035239	tube morphogenesis	0.110091743119266	0.0431545501968037	1.68143730529714e-37	1.00180034649603e-33	7.02840793614204e-34	Tbx2/Tbx4/Ngfr/Lhx2/Cdh1/Pparg/Pdgfb/Sox9/Serpinf1/Mmp14/Ramp2/Rarg/Col18a1/Smo/Folr1/Tgfb1/Hif3a/Pgf/Mef2c/Epor/Tek/Cav1/Met/Mrtfb/Wnt2/Aldh1a2/Csf1/Notch4/Lama5/Nfe2l2/Rxra/Cd34/Ift52/Sparc/Tbx3/Rspo3/Dcn/Igf1/Egfr/Lgr5/Ptprb/Flt4/Rock2/Nf1/Plcd3/Vash1/Prl7d1/Smad5/Wnt5a/Sema5a/Fzd6/Angpt1/Mtss1/Enpp2/Hdac7/Emp2/Hes1/Mylk/Enah/Fmnl3/Nfatc4/Tnfrsf12a/Vegfa/Ptk7/Epas1/Hbegf/Smad4/Slc12a2/Pdgfrb/Lrp5/Vegfb/Tcf7l2/Maged1/Nrp1/Fn1/Epha4/Epb41l5/Zeb2/Dab2ip/Egfl7/Notch1/Pax8/Traf6/Mdk/Jag1/Spint1/Spred1/Bmp2/Ncoa3/Nras/Tnc/Pik3r3/Tal1/Nos3/Ski/Add1/Pf4/Anxa3/Flt1/Tgfa/Mfge8/Tead2/Stim1/Mecp2/Adgra2/Col4a1/Vegfc/Dlc1/Sfrp1/Slit2/Smad1/Mmp2/Adgrg1/Comp/Tbx20/St14/Ets1/Robo4/Mcam/Ldlr/Nedd4/Stra6/Amotl2/Cd59a/Card10/Tie1/Ptprm/Dysf/Foxh1/Jcad/Loxl2/Tbxa2r/Lzts2/Meox2/Prickle1/Wnt4/Dchs1/Smad6/Ovol2/Serpine1/Atoh8/Tgm2/Notch3/Hoxa13/Angptl6/Hlx/Abcc8/Thbs1/Hey1/Esrp1/Prkd2/Mmrn2/Ago1/Stab1/Asb4/Foxf1/Nkx2-3/Gpr4/Aplnr/Dact1/Rasip1/Fzd1/Shb/Fzd5/S1pr1/Hs6st1/Tcf21/Clec14a/Pofut1/E2f8/Pik3r6/Sox18/Fat4/Rhoj/Igf2/Fzd4/Fzd2/Pbx1/Jun/Yap1/Mapk14/Cthrc1/Adam12/Tead1/Gja5/Arhgap35/Adra2b/Calcrl/Ipmk/Prcp/Cxcl12/Acvr2b/Hipk2/Col23a1/Sox11/Tmem100/Rgma/Ecscr/Spint2/Nrarp/Apela/Prl2c2/Esrp2/Tnfsf12	204	2.55110394192963
GO:0001568	blood vessel development	0.0928224500809498	0.0342391046616399	4.34589432667233e-35	1.29464191991569e-31	9.08291914274517e-32	Tbx2/Tbx4/Ngfr/Pparg/Pdgfb/Serpinf1/Ramp2/Col18a1/Col1a1/Dlx3/Smo/Folr1/Ltbp1/Tgfb1/Hif3a/Pgf/Mef2c/Epor/Tek/Cav1/Mrtfb/Wnt2/Aldh1a2/Notch4/Nfe2l2/Rxra/Cd34/Sparc/Tbx3/Lama4/Rspo3/Dcn/Ptprb/Flt4/Rock2/Nf1/Llgl2/Myh10/Plcd3/Vash1/Prl7d1/Smad5/Wnt5a/Sema5a/Angpt1/Enpp2/Hdac7/Emp2/Hes1/Mylk/Fmnl3/Nfatc4/Esx1/Tnfrsf12a/Vegfa/Ptk7/Epas1/Hbegf/Pdgfrb/Efemp2/Lrp5/Vegfb/Tcf7l2/Nrp1/Fn1/Col5a1/Dab2ip/Egfl7/Notch1/Mdk/Jag1/Spint1/Spred1/Nras/Pik3r3/Tal1/Nos3/Add1/Pf4/Anxa3/Flt1/Col1a2/Tgfa/Mfge8/Tead2/Stim1/Nsdhl/Mecp2/Adgra2/Col4a1/Vegfc/Slit2/Smad1/Mmp2/Adgrg1/Comp/Tbx20/Ets1/Robo4/Mcam/Ldlr/Nedd4/Stra6/Amotl2/Cd59a/Card10/Tie1/Ptprm/Dysf/Foxh1/Jcad/Lyl1/Loxl2/Tbxa2r/Meox2/Prickle1/Wnt4/Smad6/Ovol2/Serpine1/Notch3/Hoxa13/Angptl6/Abcc8/Thbs1/Hey1/Prkd2/Mmrn2/Ago1/Stab1/Asb4/Foxf1/Foxo1/Gpr4/Aplnr/Rasip1/Shb/Fzd5/S1pr1/Hs6st1/Tcf21/Clec14a/Pofut1/E2f8/Pik3r6/Sox18/Rhoj/Synb/Igf2/Fzd4/Jun/Yap1/Mapk14/Ndst1/Adam12/Gja5/Sphk2/Adra2b/Nfe2/Calcrl/Prcp/Cxcl12/Acvr2b/Hipk2/Col23a1/Tmem100/Ecscr/Nrarp/Apela/Prl2c2/Tnfsf12/Synb	172	2.71100693193489
GO:0001944	vasculature development	0.094441446303292	0.0358514724711908	5.25592677306175e-34	1.04382705713006e-30	7.32325797046604e-31	Tbx2/Tbx4/Ngfr/Pparg/Pdgfb/Serpinf1/Ramp2/Col18a1/Col1a1/Dlx3/Smo/Folr1/Ltbp1/Tgfb1/Hif3a/Pgf/Mef2c/Epor/Tek/Cav1/Mrtfb/Wnt2/Aldh1a2/Notch4/Nfe2l2/Rxra/Cd34/Sparc/Tbx3/Lama4/Rspo3/Dcn/Igf1/Ptprb/Flt4/Rock2/Nf1/Llgl2/Myh10/Plcd3/Vash1/Prl7d1/Smad5/Wnt5a/Sema5a/Angpt1/Enpp2/Hdac7/Emp2/Hes1/Mylk/Fmnl3/Nfatc4/Esx1/Tnfrsf12a/Vegfa/Ptk7/Epas1/Hbegf/Pdgfrb/Efemp2/Lrp5/Vegfb/Tcf7l2/Nrp1/Fn1/Ptpn14/Col5a1/Dab2ip/Egfl7/Notch1/Mdk/Jag1/Spint1/Spred1/Nras/Pik3r3/Tal1/Nos3/Add1/Pf4/Anxa3/Flt1/Col1a2/Tgfa/Mfge8/Tead2/Stim1/Nsdhl/Mecp2/Adgra2/Col4a1/Vegfc/Slit2/Smad1/Mmp2/Adgrg1/Comp/Tbx20/Ets1/Robo4/Mcam/Ldlr/Nedd4/Stra6/Amotl2/Cd59a/Card10/Tie1/Ptprm/Dysf/Foxh1/Jcad/Lyl1/Loxl2/Tbxa2r/Meox2/Prickle1/Wnt4/Smad6/Ovol2/Serpine1/Notch3/Hoxa13/Angptl6/Abcc8/Thbs1/Hey1/Prkd2/Mmrn2/Ago1/Stab1/Asb4/Foxf1/Foxo1/Gpr4/Aplnr/Rasip1/Shb/Fzd5/S1pr1/Hs6st1/Tcf21/Clec14a/Pofut1/E2f8/Pik3r6/Sox18/Rhoj/Synb/Igf2/Fzd4/Jun/Arhgef15/Yap1/Mapk14/Ndst1/Adam12/Gja5/Sphk2/Adra2b/Nfe2/Calcrl/Prcp/Cxcl12/Acvr2b/Hipk2/Col23a1/Tmem100/Ecscr/Nrarp/Apela/Prl2c2/Tnfsf12/Synb	175	2.63424177010254
GO:0072358	cardiovascular system development	0.0949811117107393	0.0364679660454308	1.55043237296863e-33	2.30936901953678e-30	1.62020182975222e-30	Tbx2/Tbx4/Ngfr/Pparg/Pdgfb/Serpinf1/Ramp2/Col18a1/Col1a1/Dlx3/Smo/Folr1/Ltbp1/Tgfb1/Hif3a/Pgf/Mef2c/Epor/Tek/Cav1/Mrtfb/Wnt2/Aldh1a2/Notch4/Nfe2l2/Rxra/Cd34/Sparc/Tbx3/Lama4/Rspo3/Dcn/Igf1/Ptprb/Flt4/Rock2/Nf1/Llgl2/Myh10/Plcd3/Vash1/Prl7d1/Smad5/Wnt5a/Sema5a/Angpt1/Enpp2/Hdac7/Emp2/Hes1/Mylk/Fmnl3/Nfatc4/Esx1/Tnfrsf12a/Vegfa/Ptk7/Epas1/Hbegf/Pdgfrb/Efemp2/Lrp5/Vegfb/Tcf7l2/Nrp1/Fn1/Ptpn14/Col5a1/Dab2ip/Egfl7/Notch1/Mdk/Jag1/Spint1/Spred1/Nras/Pik3r3/Tal1/Nos3/Add1/Pf4/Anxa3/Flt1/Col1a2/Tgfa/Mfge8/Tead2/Stim1/Nsdhl/Mecp2/Adgra2/Col4a1/Vegfc/Slit2/Smad1/Mmp2/Adgrg1/Comp/Tbx20/Ets1/Robo4/Mcam/Ldlr/Nedd4/Stra6/Amotl2/Cd59a/Card10/Tie1/Ptprm/Dysf/Foxh1/Jcad/Lyl1/Loxl2/Tbxa2r/Crb2/Meox2/Prickle1/Wnt4/Smad6/Ovol2/Serpine1/Notch3/Hoxa13/Angptl6/Abcc8/Thbs1/Hey1/Prkd2/Mmrn2/Ago1/Stab1/Asb4/Foxf1/Foxo1/Gpr4/Aplnr/Rasip1/Shb/Fzd5/S1pr1/Hs6st1/Tcf21/Clec14a/Pofut1/E2f8/Pik3r6/Sox18/Rhoj/Synb/Igf2/Fzd4/Jun/Arhgef15/Yap1/Mapk14/Ndst1/Adam12/Gja5/Sphk2/Adra2b/Nfe2/Calcrl/Prcp/Cxcl12/Acvr2b/Hipk2/Col23a1/Tmem100/Ecscr/Nrarp/Apela/Prl2c2/Tnfsf12/Synb	176	2.60450806585743
GO:0048514	blood vessel morphogenesis	0.0782514840798705	0.0295916915635225	1.97941642868589e-28	2.35867261642211e-25	1.6547921343814e-25	Tbx2/Tbx4/Ngfr/Pparg/Pdgfb/Serpinf1/Ramp2/Col18a1/Smo/Folr1/Tgfb1/Hif3a/Pgf/Epor/Tek/Cav1/Mrtfb/Notch4/Nfe2l2/Rxra/Cd34/Sparc/Rspo3/Dcn/Ptprb/Flt4/Rock2/Nf1/Plcd3/Vash1/Prl7d1/Smad5/Wnt5a/Sema5a/Angpt1/Enpp2/Hdac7/Emp2/Hes1/Mylk/Fmnl3/Nfatc4/Tnfrsf12a/Vegfa/Epas1/Hbegf/Pdgfrb/Lrp5/Vegfb/Nrp1/Fn1/Dab2ip/Egfl7/Notch1/Mdk/Jag1/Spred1/Nras/Pik3r3/Tal1/Nos3/Add1/Pf4/Anxa3/Flt1/Tgfa/Mfge8/Tead2/Stim1/Mecp2/Adgra2/Col4a1/Vegfc/Slit2/Smad1/Mmp2/Adgrg1/Comp/Tbx20/Ets1/Robo4/Mcam/Ldlr/Nedd4/Stra6/Amotl2/Cd59a/Card10/Tie1/Ptprm/Dysf/Foxh1/Jcad/Loxl2/Tbxa2r/Meox2/Wnt4/Smad6/Ovol2/Serpine1/Notch3/Hoxa13/Angptl6/Abcc8/Thbs1/Hey1/Prkd2/Mmrn2/Ago1/Stab1/Asb4/Foxf1/Gpr4/Aplnr/Rasip1/Shb/Fzd5/S1pr1/Hs6st1/Tcf21/Clec14a/Pofut1/E2f8/Pik3r6/Sox18/Rhoj/Igf2/Fzd4/Jun/Yap1/Mapk14/Adam12/Gja5/Adra2b/Calcrl/Prcp/Cxcl12/Hipk2/Col23a1/Tmem100/Ecscr/Nrarp/Apela/Prl2c2/Tnfsf12	145	2.64437346921832
GO:0007167	enzyme linked receptor protein signaling pathway	0.0928224500809498	0.0425854792051975	2.56844825165607e-23	2.55046911389448e-20	1.78935228198706e-20	Cav2/Ngfr/Pdgfb/Sox9/Col1a1/Folr1/Ltbp1/Bmp8b/Axl/Tgfb1/Pgf/Tek/Sulf2/Cav1/Fgfrl1/Rarres2/Met/Mertk/Csf1/Igfbp4/Mtmr4/Wasf1/Fyn/Dcn/Btbd11/Igf1/Egfr/Grb10/Rhbdf1/Flt4/Stat5b/Fut8/Tgfb3/Ror2/Smad5/Gkap1/Wnt5a/Angpt1/Hes1/Fstl1/App/Nfatc4/Vegfa/Twsg1/Bambi/Gfra3/Hbegf/Smad4/Fbn2/Pdgfrb/Rela/Vegfb/Tcf7l2/Afap1l2/Gdf11/Nrp1/Igfbp5/Epha4/Ddr2/Vim/Itga8/Dab2ip/Notch1/Fbn1/Zfp106/Ptpra/Bmp2/Srms/Npr1/Zbtb7b/Pik3r3/Stmn1/Ski/Prkcz/Ulk1/Flt1/Col1a2/Tgfa/Chrdl2/Tgfb1i1/Usp9x/Efnb1/Chrdl1/Gas6/Adgra2/Col4a1/Vegfc/Plat/Sfrp1/Rbpms/Smad1/Comp/Tbx20/Aplp2/Sesn3/Pdzd3/Nedd4/Trf/Cd59a/Kank1/Bmp8a/Inppl1/Inha/Tie1/Ndn/Foxh1/Jcad/Gpc1/Chst11/Zbtb7a/Crb2/Spg20/Wnt4/Smad6/Ovol2/Atoh8/Hoxa13/Txnip/Pmepa1/Pakap/Mvb12b/Smurf1/Lefty1/Kif16b/Irs2/Pdk2/Igfbp2/Nrtn/Hip1/Thbs1/Plekha1/Cblc/Prkd2/Cldn5/Pik3r1/Mmrn2/Dstyk/Ctf1/Fam83g/Flt3/Nrep/Foxo1/Fzd1/Pid1/Eid2/Cd109/Fat4/Igf2/Foxo3/Fzd4/Rasl11b/Jun/Mapk14/Ndst1/Lifr/Ghr/Ptp4a3/Acvr2b/Hipk2/Ing2/Bcl9l/Sox11/Nck2/Dok1/Tmem100/Rgma/Wfikkn1/Lmbrd1/Apela/Pakap/Lrrc32/Peg10	172	2.17967372478507
GO:0001525	angiogenesis	0.0642201834862385	0.0244700526390667	3.50852670239191e-23	2.98625744183585e-20	2.09509165942831e-20	Tbx4/Ngfr/Pparg/Serpinf1/Ramp2/Col18a1/Hif3a/Pgf/Tek/Cav1/Notch4/Nfe2l2/Rxra/Cd34/Sparc/Rspo3/Dcn/Ptprb/Flt4/Rock2/Nf1/Plcd3/Vash1/Prl7d1/Smad5/Wnt5a/Sema5a/Angpt1/Enpp2/Hdac7/Emp2/Fmnl3/Nfatc4/Tnfrsf12a/Vegfa/Epas1/Hbegf/Pdgfrb/Vegfb/Nrp1/Fn1/Dab2ip/Egfl7/Notch1/Mdk/Spred1/Nras/Pik3r3/Tal1/Nos3/Add1/Pf4/Anxa3/Flt1/Tgfa/Mfge8/Stim1/Mecp2/Adgra2/Col4a1/Vegfc/Slit2/Smad1/Mmp2/Adgrg1/Tbx20/Ets1/Robo4/Mcam/Amotl2/Cd59a/Card10/Tie1/Ptprm/Dysf/Jcad/Loxl2/Tbxa2r/Meox2/Ovol2/Serpine1/Notch3/Angptl6/Abcc8/Thbs1/Prkd2/Mmrn2/Ago1/Stab1/Gpr4/Aplnr/Rasip1/Shb/Fzd5/S1pr1/Hs6st1/Tcf21/Clec14a/Pofut1/E2f8/Pik3r6/Sox18/Rhoj/Igf2/Jun/Mapk14/Adam12/Adra2b/Calcrl/Prcp/Cxcl12/Hipk2/Col23a1/Tmem100/Ecscr/Nrarp/Apela/Prl2c2/Tnfsf12	119	2.62443994026029
GO:2000145	regulation of cell motility	0.0955207771181867	0.0447669180063546	6.56199932694473e-23	4.88704899874209e-20	3.42864464832862e-20	Gna12/Cdh1/Pparg/Pdgfb/Sox9/Serpinf1/Mmp14/Timp1/Rnd2/Col18a1/Col1a1/Marveld3/Smo/Rhoc/Tgfb1/Cavin1/Gab2/Rab11a/Pgf/Ccn4/Mef2c/Fbln1/Tek/Cav1/Twist2/Rab25/Rarres2/Met/Gm266/Csf1/Lama5/Nfe2l2/Rnd3/Ada/Tbx5/Cldn7/Sparc/Lama4/Dcn/Kitl/Igf1/Egfr/Flt4/Rock2/Mmp28/Nf1/Cygb/Numb/Vash1/Prl7d1/Nedd9/Ror2/F2rl1/Kif2a/Sema3g/Nisch/Wnt5a/Dmtn/Ripk3/Sema5a/Angpt1/Enpp2/Sh3bp1/Hdac7/Emp2/Snai2/Mylk/App/Trip6/Vegfa/Mapre2/Arap3/Hbegf/Pdgfrb/Vegfb/Nrp1/Map4k4/Igfbp5/Fn1/Epb41l5/Lamc2/Plxna2/Ddr2/Vim/Dab2ip/Egfl7/Notch1/Itga6/Mdk/Jag1/Spred1/Bmp2/Postn/Pfn2/Fga/Ptpru/Padi2/Cdk5/Nos3/Rufy3/Anxa3/Flt1/Fadd/Hdac6/Arhgap4/Mecp2/Mpp1/Gas6/Adgra2/Vegfc/Dlc1/Sfrp1/Slit2/Mmp2/Adgrg1/Ets1/Robo4/Mcam/Dapk2/Amotl2/Trf/Kank1/Prr5l/Card10/Tie1/Ptprm/Dysf/Jcad/Iqsec1/Itga2b/Plvap/Tbxa2r/Dapk3/Acta2/Prr5/Meox2/Tcaf1/Oxsr1/Wnt4/Serpine1/Atoh8/Limch1/Irs2/Abhd2/Prex1/Ldb2/Abcc8/Thbs1/Prkd2/Pik3r1/Mmrn2/Arsb/Cmklr1/Reln/Lgr6/Foxf1/Ppp2r3a/Camsap3/Prkce/S1pr1/Rhoj/F2r/Igf2/Foxo3/Rap2c/Prag1/Jun/Mapk14/Plxnb1/Camk2d/Pkn1/Adgrg3/Prcp/Cxcl12/Mospd2/Spint2/Prl2c2	177	2.13373583378305
GO:0040012	regulation of locomotion	0.098758769562871	0.0470432019727794	7.71329766580584e-23	5.10620305476346e-20	3.58239824922982e-20	Wnt3/Gna12/Cdh1/Pparg/Pdgfb/Sox9/Serpinf1/Mmp14/Timp1/Rnd2/Col18a1/Col1a1/Marveld3/Smo/Rhoc/Tgfb1/Cavin1/Gab2/Rab11a/Pgf/Ccn4/Mef2c/Fbln1/Tek/Cav1/Twist2/Rab25/Rarres2/Met/Gm266/Csf1/Lama5/Nfe2l2/Rnd3/Ada/Tbx5/Cldn7/Sparc/Lama4/Dcn/Kitl/Igf1/Egfr/Adora2a/Flt4/Rock2/Mmp28/Nf1/Cygb/Numb/Vash1/Prl7d1/Nedd9/Ror2/F2rl1/Kif2a/Sema3g/Nisch/Wnt5a/Dmtn/Ripk3/Sema5a/Angpt1/Enpp2/Sh3bp1/Hdac7/Emp2/Snai2/Mylk/St6gal1/App/Trip6/Vegfa/Mapre2/Arap3/Hbegf/Pdgfrb/Vegfb/Nrp1/Map4k4/Igfbp5/Fn1/Epb41l5/Lamc2/Plxna2/Ddr2/Vim/Dab2ip/Egfl7/Notch1/Itga6/Mdk/Jag1/Spred1/Bmp2/Postn/Pfn2/Fga/Ptpru/Padi2/Cdk5/Nos3/Rufy3/Anxa3/Flt1/Fadd/Hdac6/Arhgap4/Mecp2/Mpp1/Gas6/Adgra2/Vegfc/Dlc1/Sfrp1/Slit2/Mmp2/Adgrg1/Ets1/Robo4/Mcam/Dapk2/Amotl2/Trf/Kank1/Prr5l/Card10/Tie1/Ptprm/Dysf/Jcad/Iqsec1/Itga2b/Dbn1/Plvap/Tbxa2r/Dapk3/Acta2/Prr5/Meox2/Tcaf1/Oxsr1/Wnt4/Serpine1/Atoh8/Limch1/Irs2/Abhd2/Prex1/Ldb2/Abcc8/Thbs1/Prkd2/Pik3r1/Mmrn2/Stx3/Arsb/Cmklr1/Reln/Lgr6/Foxf1/Ppp2r3a/Camsap3/Prkce/S1pr1/Rhoj/F2r/Igf2/Foxo3/Rap2c/Prag1/Jun/Mapk14/Plxnb1/Camk2d/Pkn1/Adgrg3/Prcp/Cxcl12/Mospd2/Spint2/Arrdc3/Prl2c2	183	2.09932073968978
GO:0097435	supramolecular fiber organization	0.0766324878575283	0.0325318916868213	1.26575621683818e-22	7.54137553992188e-20	5.29086098638359e-20	Mmp11/Rnd2/Col1a1/Rhoc/Rab11a/Plod3/Mef2c/P3h4/Cav1/Mid1ip1/Met/Clip3/Rnd3/Myh11/Arrb1/Plod1/Mical1/Wasf1/Csrp2/Pdlim4/Dbnl/Rock2/Nf1/Rflnb/Myh10/Sptb/Fbln5/Tgfb3/Nedd9/Ripk1/Rhobtb3/Iqgap2/F2rl1/Sorbs3/Dmtn/Rb1/Ripk3/Sema5a/Mtss1/Col14a1/Sh3bp1/Emp2/App/Dyrk1a/Enah/Lima1/Arhgap28/Mlst8/Bin1/Smad4/Pdgfrb/Efemp2/Add3/Nrp1/Col5a2/Agfg1/Obsl1/Tnnt2/Spta1/Ddr2/Vim/Abi2/Col5a1/Stmn2/Pfn2/Col11a1/Tmod1/Tesk1/Hook1/Stmn1/Add1/Rufy3/Fscn1/Col1a2/Add2/Fchsd2/Tacc2/Hdac6/Mtm1/Mecp2/Dlc1/Slit2/Cotl1/Comp/Acta1/Ldlr/Kank2/Pstpip1/Trf/Eml4/Kank1/Inppl1/Ppp1r9a/Arhgef5/Dysf/Gas2l1/Loxl2/Fhod3/Dbn1/Dapk3/Tubg1/Kank4/Lum/Wnt4/Hook3/Limch1/Rflna/Pakap/Prex1/Hip1/Pacsin1/Plekhh2/Arhgef10l/Katnal1/Pik3r1/Coro2b/Kirrel/Synpo/Camsap3/Prkce/S1pr1/Cdc42ep2/Rhoj/Samd14/Lmod1/Cdc42ep1/Clip1/Mical3/Arhgef15/Magel2/Sptan1/Arhgap35/Adamts14/Tubb4a/Cdc42ep5/Akap13/Nck2/Actc1/Psrc1/Serpinh1/Rhog/Pakap	142	2.3556111828742
