ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
MP:0005385	cardiovascular system phenotype	0.1332184	260.0424	416	1.599739	0.2131148	2.131176e-22	4.88572098e-19	2260	204.187	412	2.017759	0.2131402	0.1823009	2.127713e-48	1.951112821e-44
MP:0002127	abnormal cardiovascular system morphology	0.1014792	198.0873	337	1.70127	0.1726434	6.555908e-22	1.2023535272e-18	1709	154.4051	333	2.156665	0.1722711	0.1948508	9.583531e-45	4.3940489635e-41
MP:0001614	abnormal blood vessel morphology	0.06231004	121.6292	228	1.87455	0.1168033	2.262296e-19	2.074525432e-16	1022	92.33587	225	2.436756	0.1163994	0.2201566	3.978101e-38	1.21597287233333e-34
MP:0002447	abnormal erythrocyte morphology	0.03231683	63.08245	137	2.171761	0.07018443	1.316977e-16	8.62619935e-14	712	64.32793	135	2.098622	0.06983963	0.1896067	4.632407e-17	9.03812174255319e-15
MP:0013659	abnormal erythroid lineage cell morphology	0.03527597	68.8587	145	2.105762	0.07428279	1.958821e-16	1.19749257133333e-13	768	69.38743	143	2.060892	0.07397827	0.1861979	2.648079e-17	5.27888791956522e-15
MP:0001588	abnormal hemoglobin	0.01613774	31.50086	83	2.634849	0.04252049	9.690414e-15	5.22712331647059e-12	372	33.60953	81	2.41003	0.04190378	0.2177419	5.349955e-14	7.11001265942029e-12
MP:0000598	abnormal liver morphology	0.04421779	86.31313	164	1.900059	0.08401639	1.319847e-14	6.72388721666667e-12	877	79.23538	161	2.031921	0.08329022	0.1835804	9.363482e-19	2.453232284e-16
MP:0000266	abnormal heart morphology	0.07594065	148.2362	242	1.63253	0.1239754	8.718165e-14	3.80693205e-11	1234	111.4897	238	2.134726	0.1231247	0.1928687	7.788204e-31	7.141783068e-28
MP:0001544	abnormal cardiovascular system physiology	0.08375041	163.4808	260	1.590401	0.1331967	1.529153e-13	6.09666652608696e-11	1369	123.6867	258	2.085915	0.1334713	0.1884587	8.649993e-32	8.81338175666667e-29
MP:0001577	anemia	0.01199728	23.41868	65	2.775562	0.03329918	8.497123e-13	2.7828077825e-10	260	23.49054	64	2.724502	0.03310916	0.2461538	6.942138e-14	8.84158409166667e-12
MP:0002060	abnormal skin morphology	0.03797426	74.12575	141	1.902173	0.07223361	9.740914e-13	3.08014418551724e-10	736	66.49628	139	2.090342	0.07190895	0.1888587	2.194286e-17	4.57309150454545e-15
MP:0005563	abnormal hemoglobin content	0.009825977	19.18031	57	2.971798	0.02920082	1.57879e-12	4.67016267741936e-10	220	19.87661	55	2.767072	0.02845318	0.25	2.027059e-12	1.99872376666667e-10
MP:0000226	abnormal mean corpuscular volume	0.00762775	14.88937	49	3.290939	0.02510246	1.752431e-12	5.021810084375e-10	213	19.24417	49	2.546226	0.0253492	0.2300469	7.206776e-10	4.58931499444444e-08
