Name	BetweennessCentrality	ClosenessCentrality	Degree	Network
Ctss	0.04933235	0.4980695	25	e7.5_1_STRING
Tlr2	0.05062705	0.50988142	29	e7.5_1_STRING
Ptprc	0.1569502	0.56331878	44	e7.5_1_STRING
Itgb2	0.08164064	0.5308642	40	e7.5_1_STRING
Cybb	0.05857616	0.52226721	33	e7.5_1_STRING
Mmp9	0.10260649	0.50588235	30	e7.5_1_STRING
Cd68	0.084699	0.51394422	29	e7.5_1_STRING
Irf9	0.04575168	0.56914894	69	e7.5_2_GENIE3
Ctbp2	0.07368779	0.52839506	68	e7.5_2_GENIE3
Satb1	0.08284968	0.54871795	69	e7.5_2_GENIE3
Frk	0.06290639	0.5245098	65	e7.5_2_GENIE3
Hmox1	0.06820057	0.55729167	73	e7.5_2_GENIE3
Prdm1	0.08369894	0.55297158	61	e7.5_2_GENIE3
Irx1	0.04334099	0.51196172	59	e7.5_2_GENIE3
Siah2	0.07201911	0.53904282	63	e7.5_2_GENIE3
Nr2f2	0.04631072	0.5270936	65	e7.5_2_GENIE3
Trim8	0.06498658	0.52322738	70	e7.5_2_GENIE3
Hsp90aa1	0.14146695	0.40829694	28	e8.5_1_STRING
Akt1	0.30102065	0.4675	42	e8.5_1_STRING
Creb1	0.0389712	0.3800813	14	e8.5_1_STRING
Mapk1	0.09691065	0.40128755	26	e8.5_1_STRING
Apob	0.09790719	0.39618644	23	e8.5_1_STRING
Cttn	0.05374417	0.38398357	16	e8.5_1_STRING
Adam10	0.09525489	0.36100386	16	e8.5_1_STRING
Cdh2	0.05880221	0.38958333	16	e8.5_1_STRING
Casp3	0.03755978	0.38958333	14	e8.5_1_STRING
Apoe	0.05120375	0.3808554	14	e8.5_1_STRING
Mapk14	0.05964916	0.41280353	20	e8.5_1_STRING
Dnajc2	0.0435702	0.55949367	67	e8.5_2_GENIE3
Dvl3	0.04801126	0.50688073	53	e8.5_2_GENIE3
Setd2	0.03012523	0.49440716	45	e8.5_2_GENIE3
Jade1	0.02892652	0.51877934	53	e8.5_2_GENIE3
Rhox4e	0.04003265	0.52245863	58	e8.5_2_GENIE3
Chek1	0.03653925	0.51877934	47	e8.5_2_GENIE3
Rbmx	0.09057425	0.54567901	58	e8.5_2_GENIE3
Lin28a	0.03761357	0.52494062	50	e8.5_2_GENIE3
Erf	0.03414016	0.55112219	72	e8.5_2_GENIE3
Nfxl1	0.03922588	0.54433498	57	e8.5_2_GENIE3
Cenpf	0.04324415	0.53510896	69	e8.5_2_GENIE3
Gpbp1l1	0.03025322	0.53125	48	e8.5_2_GENIE3
Msx2	0.04208999	0.54567901	65	e8.5_2_GENIE3
Vgll1	0.03696424	0.53381643	57	e8.5_2_GENIE3
Dnmt3b	0.07130224	0.56091371	63	e8.5_2_GENIE3
Dnmt1	0.02177098	0.51157407	49	e8.5_2_GENIE3
Myef2	0.04761778	0.54975124	71	e8.5_2_GENIE3
Hcfc2	0.02384086	0.5742025	127	e9.5_1_GENIE3
Arrb1	0.0766912	0.62255639	175	e9.5_1_GENIE3
Cavin1	0.01806457	0.50797546	77	e9.5_1_GENIE3
Creg1	0.03090786	0.57821229	131	e9.5_1_GENIE3
Pitx1	0.05595811	0.552	97	e9.5_1_GENIE3
2700081O15Rik	0.02241371	0.56480218	120	e9.5_1_GENIE3
Tulp1	0.02580711	0.55495979	122	e9.5_1_GENIE3
Tsc22d1	0.01628482	0.55795148	112	e9.5_1_GENIE3
Cenpb	0.01798357	0.51814768	95	e9.5_1_GENIE3
Cdk5	0.01174863	0.50922509	78	e9.5_1_GENIE3
Rb1	0.03803301	0.5982659	149	e9.5_1_GENIE3
Mllt3	0.0795763	0.61424332	175	e9.5_1_GENIE3
Vgll4	0.01808744	0.54117647	96	e9.5_1_GENIE3
Cited4	0.01386911	0.50797546	96	e9.5_1_GENIE3
Prmt2	0.02163416	0.53488372	94	e9.5_1_GENIE3
Fam129b	0.01694745	0.53626943	90	e9.5_1_GENIE3
Ankrd2	0.02242544	0.54907162	88	e9.5_1_GENIE3
Arid1b	0.02214932	0.5498008	115	e9.5_1_GENIE3
Peg3	0.01835859	0.54188482	92	e9.5_1_GENIE3
Zfx	0.02231579	0.54259502	82	e9.5_1_GENIE3
Bbx	0.02430073	0.54188482	92	e9.5_1_GENIE3
Esx1	0.01406773	0.53076923	93	e9.5_1_GENIE3
Ash1l	0.014378	0.53419355	82	e9.5_1_GENIE3
Dtx1	0.03039503	0.56712329	126	e9.5_1_GENIE3
Ski	0.01864585	0.55945946	121	e9.5_1_GENIE3
Yap1	0.01724377	0.5390625	85	e9.5_1_GENIE3
Phf8	0.04041288	0.5742025	127	e9.5_1_GENIE3
Foxo3	0.02925489	0.55053191	121	e9.5_1_GENIE3
Hif1an	0.01993391	0.5390625	80	e9.5_1_GENIE3
Calcoco1	0.01888933	0.52806122	105	e9.5_1_GENIE3
Ncoa3	0.0183981	0.54473684	113	e9.5_1_GENIE3
Hdac6	0.02639811	0.52338812	84	e9.5_1_GENIE3
Apbb1	0.01860676	0.53350515	92	e9.5_1_GENIE3
Mlxip	0.01308972	0.53350515	79	e9.5_1_GENIE3
Wnt5a	0.05419442	0.39813375	32	e9.5_1_STRING
Ube2d1	0.05569822	0.40188383	37	e9.5_1_STRING
Ubc	0.47880177	0.5	78	e9.5_1_STRING
Smurf1	0.0313087	0.39384615	32	e9.5_1_STRING
Nedd4	0.04970765	0.39567233	33	e9.5_1_STRING
Mgrn1	0.02978941	0.38038633	28	e9.5_1_STRING
Fbxl19	0.06245496	0.38612368	32	e9.5_1_STRING
Zfp362	0.10903376	0.6955684	213	e9.5_2_GENIE3
Klf3	0.12964263	0.62456747	163	e9.5_2_GENIE3
