transcripts mean_cts_scaled time value ens_gene ext_gene
16 ENSMUST00000000080.7 0.59103497116593 e7.5 3 ENSMUSG00000000078 Klf6
17 ENSMUST00000000080.7 -0.277800616644164 e8.5 3 ENSMUSG00000000078 Klf6
18 ENSMUST00000000080.7 -0.257674231192933 e9.5 3 ENSMUSG00000000078 Klf6
19 ENSMUST00000000090.7 0.424113852338094 e7.5 3 ENSMUSG00000000088 Cox5a
20 ENSMUST00000000090.7 -0.507164352527747 e8.5 3 ENSMUSG00000000088 Cox5a
21 ENSMUST00000000090.7 0.184483370695202 e9.5 3 ENSMUSG00000000088 Cox5a
37 ENSMUST00000000129.13 0.813603092360552 e7.5 3 ENSMUSG00000000127 Fer
38 ENSMUST00000000129.13 -0.00612620282548096 e8.5 3 ENSMUSG00000000127 Fer
39 ENSMUST00000000129.13 -0.806251648969974 e9.5 3 ENSMUSG00000000127 Fer
40 ENSMUST00000000137.7 0.749229028450931 e7.5 3 ENSMUSG00000020152 Actr2
41 ENSMUST00000000137.7 0.305032677243874 e8.5 3 ENSMUSG00000020152 Actr2
42 ENSMUST00000000137.7 -1.11526824114358 e9.5 3 ENSMUSG00000020152 Actr2
58 ENSMUST00000000208.12 0.973016258583748 e7.5 3 ENSMUSG00000000204 Slfn4
59 ENSMUST00000000208.12 -0.420284313872085 e8.5 3 ENSMUSG00000000204 Slfn4
60 ENSMUST00000000208.12 -0.468675081937246 e9.5 3 ENSMUSG00000000204 Slfn4
61 ENSMUST00000000219.9 0.964198357791401 e7.5 3 ENSMUSG00000000214 Th
62 ENSMUST00000000219.9 -0.220907206944598 e8.5 3 ENSMUSG00000000214 Th
63 ENSMUST00000000219.9 -0.699109709457883 e9.5 3 ENSMUSG00000000214 Th
70 ENSMUST00000000266.8 1.21088153035089 e7.5 3 ENSMUSG00000026535 Ifi202b
71 ENSMUST00000000266.8 -0.533494083208899 e8.5 3 ENSMUSG00000026535 Ifi202b
72 ENSMUST00000000266.8 -0.570688630500215 e9.5 3 ENSMUSG00000026535 Ifi202b
79 ENSMUST00000000299.13 1.16878252399092 e7.5 3 ENSMUSG00000000290 Itgb2
80 ENSMUST00000000299.13 -0.707895689988797 e8.5 3 ENSMUSG00000000290 Itgb2
81 ENSMUST00000000299.13 -0.319307696004363 e9.5 3 ENSMUSG00000000290 Itgb2
82 ENSMUST00000000304.13 0.562809951683816 e7.5 3 ENSMUSG00000000295 Hddc2
83 ENSMUST00000000304.13 0.117056472235078 e8.5 3 ENSMUSG00000000295 Hddc2
84 ENSMUST00000000304.13 -0.70327771836591 e9.5 3 ENSMUSG00000000295 Hddc2
88 ENSMUST00000000310.13 0.467553230006564 e7.5 3 ENSMUSG00000000301 Pemt
89 ENSMUST00000000310.13 -0.287299646513792 e8.5 3 ENSMUSG00000000301 Pemt
90 ENSMUST00000000310.13 -0.122793654190013 e9.5 3 ENSMUSG00000000301 Pemt
97 ENSMUST00000000317.12 0.974083808358471 e7.5 3 ENSMUSG00000000308 Ckmt1
98 ENSMUST00000000317.12 -0.349198943220246 e8.5 3 ENSMUSG00000000308 Ckmt1
99 ENSMUST00000000317.12 -0.555045076494176 e9.5 3 ENSMUSG00000000308 Ckmt1
106 ENSMUST00000000335.11 -0.531783248916147 e7.5 3 ENSMUSG00000000326 Comt
107 ENSMUST00000000335.11 0.689029141018359 e8.5 3 ENSMUSG00000000326 Comt
108 ENSMUST00000000335.11 -0.295051720305884 e9.5 3 ENSMUSG00000000326 Comt
112 ENSMUST00000000349.10 0.29111087754379 e7.5 3 ENSMUSG00000000340 Dbt
113 ENSMUST00000000349.10 0.739153890749077 e8.5 3 ENSMUSG00000000340 Dbt
114 ENSMUST00000000349.10 -1.17809554644268 e9.5 3 ENSMUSG00000000340 Dbt
118 ENSMUST00000000365.2 1.095237477333 e7.5 3 ENSMUSG00000000355 Mcts1
119 ENSMUST00000000365.2 0.0443930454089816 e8.5 3 ENSMUSG00000000355 Mcts1
120 ENSMUST00000000365.2 -1.14850913182378 e9.5 3 ENSMUSG00000000355 Mcts1
145 ENSMUST00000000466.12 1.28067721659376 e7.5 3 ENSMUSG00000028494 Plin2
146 ENSMUST00000000466.12 -0.660814101039963 e8.5 3 ENSMUSG00000028494 Plin2
