transcripts mean_cts_scaled time value ens_gene ext_gene
1 ENSMUST00000000001.4 -0.984086292193009 e7.5 1 ENSMUSG00000000001 Gnai3
2 ENSMUST00000000001.4 0.616691743016885 e8.5 1 ENSMUSG00000000001 Gnai3
3 ENSMUST00000000001.4 0.244056200572748 e9.5 1 ENSMUSG00000000001 Gnai3
4 ENSMUST00000000010.8 -1.07508596151573 e7.5 1 ENSMUSG00000020875 Hoxb9
5 ENSMUST00000000010.8 0.798537073825121 e8.5 1 ENSMUSG00000020875 Hoxb9
6 ENSMUST00000000010.8 0.116841472925584 e9.5 1 ENSMUSG00000020875 Hoxb9
7 ENSMUST00000000028.13 -0.631482127908865 e7.5 1 ENSMUSG00000000028 Cdc45
8 ENSMUST00000000028.13 0.873998569997426 e8.5 1 ENSMUSG00000000028 Cdc45
9 ENSMUST00000000028.13 -0.417316156088045 e9.5 1 ENSMUSG00000000028 Cdc45
46 ENSMUST00000000171.14 0.0453737980519732 e7.5 1 ENSMUSG00000000167 Pih1d2
47 ENSMUST00000000171.14 0.600874088474902 e8.5 1 ENSMUSG00000000167 Pih1d2
48 ENSMUST00000000171.14 -0.766422704221856 e9.5 1 ENSMUSG00000000167 Pih1d2
73 ENSMUST00000000285.8 -0.751278946604686 e7.5 1 ENSMUSG00000000276 Dgke
74 ENSMUST00000000285.8 0.28828825062973 e8.5 1 ENSMUSG00000000276 Dgke
75 ENSMUST00000000285.8 0.40533304584901 e9.5 1 ENSMUSG00000000276 Dgke
85 ENSMUST00000000305.6 -0.58477166280499 e7.5 1 ENSMUSG00000000296 Tpd52l1
86 ENSMUST00000000305.6 0.700965969395575 e8.5 1 ENSMUSG00000000296 Tpd52l1
87 ENSMUST00000000305.6 -0.256387500469701 e9.5 1 ENSMUSG00000000296 Tpd52l1
127 ENSMUST00000000394.13 -0.903224233550108 e7.5 1 ENSMUSG00000000384 Tbrg4
128 ENSMUST00000000394.13 0.675147124215101 e8.5 1 ENSMUSG00000000384 Tbrg4
129 ENSMUST00000000394.13 0.0930476844919867 e9.5 1 ENSMUSG00000000384 Tbrg4
133 ENSMUST00000000430.13 0.207559174204594 e7.5 1 ENSMUSG00000000420 Galnt1
134 ENSMUST00000000430.13 0.254960998218539 e8.5 1 ENSMUSG00000000420 Galnt1
135 ENSMUST00000000430.13 -0.51351237206684 e9.5 1 ENSMUSG00000000420 Galnt1
136 ENSMUST00000000449.8 -0.800031340696693 e7.5 1 ENSMUSG00000000439 Mkrn2
137 ENSMUST00000000449.8 0.187900688997488 e8.5 1 ENSMUSG00000000439 Mkrn2
138 ENSMUST00000000449.8 0.574550513899708 e9.5 1 ENSMUSG00000000439 Mkrn2
142 ENSMUST00000000451.13 0.0186400986774057 e7.5 1 ENSMUSG00000000441 Raf1
143 ENSMUST00000000451.13 0.79434554528902 e8.5 1 ENSMUSG00000000441 Raf1
144 ENSMUST00000000451.13 -0.971854753024232 e9.5 1 ENSMUSG00000000441 Raf1
148 ENSMUST00000000476.14 -0.045030746630214 e7.5 1 ENSMUSG00000029231 Pdgfra
149 ENSMUST00000000476.14 0.213594448514425 e8.5 1 ENSMUSG00000029231 Pdgfra
150 ENSMUST00000000476.14 -0.211282591587095 e9.5 1 ENSMUSG00000029231 Pdgfra
154 ENSMUST00000000505.15 -0.334961630340956 e7.5 1 ENSMUSG00000029730 Mcm7
155 ENSMUST00000000505.15 0.657661881215345 e8.5 1 ENSMUSG00000029730 Mcm7
156 ENSMUST00000000505.15 -0.45423262711746 e9.5 1 ENSMUSG00000029730 Mcm7
157 ENSMUST00000000542.13 -0.703167092594254 e7.5 1 ENSMUSG00000000530 Acvrl1
158 ENSMUST00000000542.13 0.685953081828929 e8.5 1 ENSMUSG00000000530 Acvrl1
159 ENSMUST00000000542.13 -0.119976605600461 e9.5 1 ENSMUSG00000000530 Acvrl1
163 ENSMUST00000000544.11 -0.22814639926003 e7.5 1 ENSMUSG00000000532 Acvr1b
164 ENSMUST00000000544.11 0.838003332900082 e8.5 1 ENSMUSG00000000532 Acvr1b
165 ENSMUST00000000544.11 -0.777457600220069 e9.5 1 ENSMUSG00000000532 Acvr1b
169 ENSMUST00000000590.15 -0.776498036499954 e7.5 1 ENSMUSG00000032050 Rdx
170 ENSMUST00000000590.15 0.269356339669862 e8.5 1 ENSMUSG00000032050 Rdx
171 ENSMUST00000000590.15 0.45327042889612 e9.5 1 ENSMUSG00000032050 Rdx
184 ENSMUST00000000645.12 -0.477507580376318 e7.5 1 ENSMUSG00000000631 Myo18a
185 ENSMUST00000000645.12 0.792308239401937 e8.5 1 ENSMUSG00000000631 Myo18a
186 ENSMUST00000000645.12 -0.473262306906006 e9.5 1 ENSMUSG00000000631 Myo18a
202 ENSMUST00000000746.11 -0.500353338079614 e7.5 1 ENSMUSG00000000730 Dnmt3l
203 ENSMUST00000000746.11 0.927956594792626 e8.5 1 ENSMUSG00000000730 Dnmt3l
204 ENSMUST00000000746.11 -0.613194575671536 e9.5 1 ENSMUSG00000000730 Dnmt3l
211 ENSMUST00000000767.5 -0.349678509467582 e7.5 1 ENSMUSG00000000751 Rpa1
212 ENSMUST00000000767.5 0.945821472748457 e8.5 1 ENSMUSG00000000751 Rpa1
213 ENSMUST00000000767.5 -0.785307257830565 e9.5 1 ENSMUSG00000000751 Rpa1
217 ENSMUST00000000793.12 -0.658037222877445 e7.5 1 ENSMUSG00000000776 Polr3d
218 ENSMUST00000000793.12 0.16331856789611 e8.5 1 ENSMUSG00000000776 Polr3d
219 ENSMUST00000000793.12 0.462054941402114 e9.5 1 ENSMUSG00000000776 Polr3d
220 ENSMUST00000000804.6 -1.21131555889336 e7.5 1 ENSMUSG00000000787 Ddx3x
221 ENSMUST00000000804.6 0.877754068285242 e8.5 1 ENSMUSG00000000787 Ddx3x
222 ENSMUST00000000804.6 0.158010676951072 e9.5 1 ENSMUSG00000000787 Ddx3x
229 ENSMUST00000000828.12 -0.841485403422785 e7.5 1 ENSMUSG00000000811 Txnrd3
230 ENSMUST00000000828.12 0.487693283742982 e8.5 1 ENSMUSG00000000811 Txnrd3
231 ENSMUST00000000828.12 0.256253462931207 e9.5 1 ENSMUSG00000000811 Txnrd3
238 ENSMUST00000000894.5 -1.20859443312969 e7.5 1 ENSMUSG00000027490 E2f1
239 ENSMUST00000000894.5 0.469247033111742 e8.5 1 ENSMUSG00000027490 E2f1
240 ENSMUST00000000894.5 0.645497993395598 e9.5 1 ENSMUSG00000027490 E2f1
256 ENSMUST00000000940.14 -0.208854240215722 e7.5 1 ENSMUSG00000000916 Nsun5
257 ENSMUST00000000940.14 0.68006400281446 e8.5 1 ENSMUSG00000000916 Nsun5
258 ENSMUST00000000940.14 -0.607222563161633 e9.5 1 ENSMUSG00000000916 Nsun5
265 ENSMUST00000001002.7 0.056059457662201 e7.5 1 ENSMUSG00000000976 Heatr6
266 ENSMUST00000001002.7 0.788884174455151 e8.5 1 ENSMUSG00000000976 Heatr6
267 ENSMUST00000001002.7 -1.00272046700838 e9.5 1 ENSMUSG00000000976 Heatr6
295 ENSMUST00000001079.14 -0.812237438286048 e7.5 1 ENSMUSG00000001052 Sec24b
296 ENSMUST00000001079.14 0.473553226680171 e8.5 1 ENSMUSG00000001052 Sec24b
297 ENSMUST00000001079.14 0.243973566269843 e9.5 1 ENSMUSG00000001052 Sec24b
307 ENSMUST00000001109.10 -0.403878751198322 e7.5 1 ENSMUSG00000001082 Mfsd10
308 ENSMUST00000001109.10 0.73312755589557 e8.5 1 ENSMUSG00000001082 Mfsd10
309 ENSMUST00000001109.10 -0.475874315876362 e9.5 1 ENSMUSG00000001082 Mfsd10
310 ENSMUST00000001115.15 -0.812755629050212 e7.5 1 ENSMUSG00000074886 Grk6
311 ENSMUST00000001115.15 0.877709581887815 e8.5 1 ENSMUSG00000074886 Grk6
312 ENSMUST00000001115.15 -0.240495869215166 e9.5 1 ENSMUSG00000074886 Grk6
316 ENSMUST00000001125.5 -0.767427625382451 e7.5 1 ENSMUSG00000001098 Kctd10
317 ENSMUST00000001125.5 0.640946789566355 e8.5 1 ENSMUSG00000001098 Kctd10
318 ENSMUST00000001125.5 -0.0017085220971752 e9.5 1 ENSMUSG00000001098 Kctd10
331 ENSMUST00000001155.10 -0.588178177400084 e7.5 1 ENSMUSG00000001127 Araf
332 ENSMUST00000001155.10 0.302975251029153 e8.5 1 ENSMUSG00000001127 Araf
333 ENSMUST00000001155.10 0.224607876165102 e9.5 1 ENSMUSG00000001127 Araf
358 ENSMUST00000001186.10 0.237286652647691 e7.5 1 ENSMUSG00000001158 Snrnp27
359 ENSMUST00000001186.10 -0.27567816840422 e8.5 1 ENSMUSG00000001158 Snrnp27
360 ENSMUST00000001186.10 0.0935271494373736 e9.5 1 ENSMUSG00000001158 Snrnp27
364 ENSMUST00000001202.14 -0.219501658572332 e7.5 1 ENSMUSG00000001173 Ocrl
365 ENSMUST00000001202.14 0.911174790500461 e8.5 1 ENSMUSG00000001173 Ocrl
366 ENSMUST00000001202.14 -0.873908090028221 e9.5 1 ENSMUSG00000001173 Ocrl
370 ENSMUST00000001240.11 0.17634940118104 e7.5 1 ENSMUSG00000001211 Agpat3
371 ENSMUST00000001240.11 0.347016721732347 e8.5 1 ENSMUSG00000001211 Agpat3
372 ENSMUST00000001240.11 -0.592769467259855 e9.5 1 ENSMUSG00000001211 Agpat3
379 ENSMUST00000001256.10 -0.398776727591451 e7.5 1 ENSMUSG00000001227 Sema6b
380 ENSMUST00000001256.10 0.625213187990361 e8.5 1 ENSMUSG00000001227 Sema6b
381 ENSMUST00000001256.10 -0.351479097996982 e9.5 1 ENSMUSG00000001227 Sema6b
382 ENSMUST00000001258.14 -0.93972577495298 e7.5 1 ENSMUSG00000001228 Uhrf1
383 ENSMUST00000001258.14 0.725097930586093 e8.5 1 ENSMUSG00000001228 Uhrf1
384 ENSMUST00000001258.14 0.0696082582496691 e9.5 1 ENSMUSG00000001228 Uhrf1
385 ENSMUST00000001279.14 -1.01826865061018 e7.5 1 ENSMUSG00000001247 Lsr
386 ENSMUST00000001279.14 0.820243046207591 e8.5 1 ENSMUSG00000001247 Lsr
387 ENSMUST00000001279.14 0.0339769951610688 e9.5 1 ENSMUSG00000001247 Lsr
391 ENSMUST00000001284.12 -0.0997951680183471 e7.5 1 ENSMUSG00000026641 Usf1
392 ENSMUST00000001284.12 0.5220366753117 e8.5 1 ENSMUSG00000026641 Usf1
393 ENSMUST00000001284.12 -0.526648842355693 e9.5 1 ENSMUSG00000026641 Usf1
406 ENSMUST00000001331.12 -0.553574876167052 e7.5 1 ENSMUSG00000001285 Myg1
407 ENSMUST00000001331.12 0.575353520649331 e8.5 1 ENSMUSG00000001285 Myg1
408 ENSMUST00000001331.12 -0.136849348612144 e9.5 1 ENSMUSG00000001285 Myg1
412 ENSMUST00000001339.5 -0.303321575255232 e7.5 1 ENSMUSG00000001305 Rrp15
413 ENSMUST00000001339.5 1.07445412830551 e8.5 1 ENSMUSG00000001305 Rrp15
414 ENSMUST00000001339.5 -0.986023378711378 e9.5 1 ENSMUSG00000001305 Rrp15
421 ENSMUST00000001412.16 -0.324103899084383 e7.5 1 ENSMUSG00000001376 Vps50
422 ENSMUST00000001412.16 0.722891703937338 e8.5 1 ENSMUSG00000001376 Vps50
423 ENSMUST00000001412.16 -0.543366145640424 e9.5 1 ENSMUSG00000001376 Vps50
424 ENSMUST00000001416.7 -0.621433730340828 e7.5 1 ENSMUSG00000001380 Hars
425 ENSMUST00000001416.7 1.1050778637076 e8.5 1 ENSMUSG00000001380 Hars
426 ENSMUST00000001416.7 -0.704659706108291 e9.5 1 ENSMUSG00000001380 Hars
427 ENSMUST00000001419.9 -0.636682764167159 e7.5 1 ENSMUSG00000001383 Zmat2
428 ENSMUST00000001419.9 0.717430665966534 e8.5 1 ENSMUSG00000001383 Zmat2
429 ENSMUST00000001419.9 -0.224234034992679 e9.5 1 ENSMUSG00000001383 Zmat2
433 ENSMUST00000001452.13 -0.21001446996013 e7.5 1 ENSMUSG00000001416 Cct3
434 ENSMUST00000001452.13 1.01914972307841 e8.5 1 ENSMUSG00000001416 Cct3
435 ENSMUST00000001452.13 -1.01296519773396 e9.5 1 ENSMUSG00000001416 Cct3
445 ENSMUST00000001479.4 -0.710020015170394 e7.5 1 ENSMUSG00000001440 Kpnb1
446 ENSMUST00000001479.4 1.20475631864605 e8.5 1 ENSMUSG00000001440 Kpnb1
447 ENSMUST00000001479.4 -0.735687567204866 e9.5 1 ENSMUSG00000001440 Kpnb1
448 ENSMUST00000001480.13 0.127079551526548 e7.5 1 ENSMUSG00000001441 Npepps
449 ENSMUST00000001480.13 0.435192491133035 e8.5 1 ENSMUSG00000001441 Npepps
450 ENSMUST00000001480.13 -0.649310540886192 e9.5 1 ENSMUSG00000001441 Npepps
451 ENSMUST00000001485.9 -0.892460740372357 e7.5 1 ENSMUSG00000001445 Mrpl10
452 ENSMUST00000001485.9 0.675260339840664 e8.5 1 ENSMUSG00000001445 Mrpl10
453 ENSMUST00000001485.9 0.0821483325635642 e9.5 1 ENSMUSG00000001445 Mrpl10
463 ENSMUST00000001522.9 -0.210071929685947 e7.5 1 ENSMUSG00000001482 Def8
464 ENSMUST00000001522.9 0.548773402769138 e8.5 1 ENSMUSG00000001482 Def8
465 ENSMUST00000001522.9 -0.448456153637019 e9.5 1 ENSMUSG00000001482 Def8
475 ENSMUST00000001559.10 -0.164044428161474 e7.5 1 ENSMUSG00000001518 Itfg2
476 ENSMUST00000001559.10 0.696607182309998 e8.5 1 ENSMUSG00000001518 Itfg2
477 ENSMUST00000001559.10 -0.671884190610524 e9.5 1 ENSMUSG00000001518 Itfg2
478 ENSMUST00000001562.8 -0.81875107450197 e7.5 1 ENSMUSG00000001521 Tulp3
479 ENSMUST00000001562.8 0.850159742154211 e8.5 1 ENSMUSG00000001521 Tulp3
480 ENSMUST00000001562.8 -0.201440616083084 e9.5 1 ENSMUSG00000001521 Tulp3
481 ENSMUST00000001565.14 -0.266821873634271 e7.5 1 ENSMUSG00000001524 Gtf2h4
482 ENSMUST00000001565.14 0.328487296981284 e8.5 1 ENSMUSG00000001524 Gtf2h4
483 ENSMUST00000001565.14 -0.127362882743269 e9.5 1 ENSMUSG00000001524 Gtf2h4
484 ENSMUST00000001566.9 -0.555937463996222 e7.5 1 ENSMUSG00000001525 Tubb5
485 ENSMUST00000001566.9 0.859691736512204 e8.5 1 ENSMUSG00000001525 Tubb5
486 ENSMUST00000001566.9 -0.475692619818424 e9.5 1 ENSMUSG00000001525 Tubb5
499 ENSMUST00000001611.10 -0.524960962838963 e7.5 1 ENSMUSG00000001569 Nom1
500 ENSMUST00000001611.10 1.16000560379385 e8.5 1 ENSMUSG00000001569 Nom1
501 ENSMUST00000001611.10 -0.86704576171366 e9.5 1 ENSMUSG00000001569 Nom1
502 ENSMUST00000001620.12 -0.864795046202465 e7.5 1 ENSMUSG00000027680 Fxr1
503 ENSMUST00000001620.12 1.08213761445194 e8.5 1 ENSMUSG00000027680 Fxr1
504 ENSMUST00000001620.12 -0.433770091139869 e9.5 1 ENSMUSG00000027680 Fxr1
