target_id	ens_gene	ext_gene
ENSMUST00000115193.7	ENSMUSG00000029014	Dnajc2
ENSMUST00000114464.8	ENSMUSG00000019558	Slc6a8
ENSMUST00000065793.11	ENSMUSG00000053398	Phgdh
ENSMUST00000045827.4	ENSMUSG00000034617	Mtrr
ENSMUST00000149330.7	ENSMUSG00000041718	Alg13
ENSMUST00000100167.9	ENSMUSG00000023088	Abcc1
ENSMUST00000025891.9	ENSMUSG00000024942	Capn1
ENSMUST00000217733.1	ENSMUSG00000090841	Myl6
ENSMUST00000238684.1	ENSMUSG00000017631	Abr
ENSMUST00000114510.7	ENSMUSG00000026103	Gls
ENSMUST00000134174.7	ENSMUSG00000028010	Gar1
ENSMUST00000230985.1	ENSMUSG00000060036	Rpl3
ENSMUST00000037302.5	ENSMUSG00000048720	Tbc1d12
ENSMUST00000071874.7	ENSMUSG00000064210	Ano6
ENSMUST00000106042.8	ENSMUSG00000025491	Ifitm1
ENSMUST00000042057.11	ENSMUSG00000035621	Midn
ENSMUST00000042163.14	ENSMUSG00000042719	Naa25
ENSMUST00000109024.8	ENSMUSG00000023022	Lima1
ENSMUST00000077037.12	ENSMUSG00000056851	Pcbp2
ENSMUST00000167868.7	ENSMUSG00000010064	Slc38a3
ENSMUST00000177567.7	ENSMUSG00000010064	Slc38a3
ENSMUST00000231742.1	ENSMUSG00000024213	Nudt3
ENSMUST00000233525.1	ENSMUSG00000024219	Anks1
ENSMUST00000232872.1	ENSMUSG00000024219	Anks1
ENSMUST00000164759.7	ENSMUSG00000038371	Sbf2
ENSMUST00000218315.1	ENSMUSG00000005682	Pan2
ENSMUST00000196130.4	ENSMUSG00000029560	Snx8
ENSMUST00000183663.7	ENSMUSG00000021756	Il6st
ENSMUST00000110766.7	ENSMUSG00000066640	Fbxl18
ENSMUST00000156669.1	ENSMUSG00000026883	Dab2ip
ENSMUST00000112983.7	ENSMUSG00000026883	Dab2ip
ENSMUST00000112987.7	ENSMUSG00000026883	Dab2ip
ENSMUST00000174302.7	ENSMUSG00000020923	Ubtf
ENSMUST00000033018.14	ENSMUSG00000030759	Far1
ENSMUST00000068705.12	ENSMUSG00000026566	Mpzl1
ENSMUST00000111435.8	ENSMUSG00000026566	Mpzl1
ENSMUST00000142407.7	ENSMUSG00000029203	Ube2k
ENSMUST00000227340.1	ENSMUSG00000015002	Efr3a
ENSMUST00000101526.8	ENSMUSG00000018572	Phf23
ENSMUST00000103191.10	ENSMUSG00000028936	Rpl22
ENSMUST00000167182.7	ENSMUSG00000042079	Hnrnpf
ENSMUST00000134063.7	ENSMUSG00000048120	Entpd1
ENSMUST00000112231.8	ENSMUSG00000048120	Entpd1
ENSMUST00000047910.14	ENSMUSG00000036112	Metap2
ENSMUST00000145167.7	ENSMUSG00000075703	Selenoi
ENSMUST00000020522.8	ENSMUSG00000020277	Pfkl
ENSMUST00000064883.13	ENSMUSG00000031557	Plekha2
ENSMUST00000115099.8	ENSMUSG00000050530	Fam171a1
