ens_gene	ext_gene
ENSMUSG00000020422	Tns3
ENSMUSG00000028654	Mycl
ENSMUSG00000023079	Gtf2ird1
ENSMUSG00000031010	Usp9x
ENSMUSG00000040857	Erf
ENSMUSG00000019558	Slc6a8
ENSMUSG00000003309	Ap1m2
ENSMUSG00000023411	Nfatc4
ENSMUSG00000044864	Ankrd50
ENSMUSG00000021273	Fdft1
ENSMUSG00000032702	Kank1
ENSMUSG00000032405	Pias1
ENSMUSG00000036580	Spg20
ENSMUSG00000018428	Akap1
ENSMUSG00000027303	Ptpra
ENSMUSG00000026202	Tuba4a
ENSMUSG00000027624	Epb41l1
ENSMUSG00000022464	Slc38a4
ENSMUSG00000090841	Myl6
ENSMUSG00000020186	Csrp2
ENSMUSG00000031161	Hdac6
ENSMUSG00000040268	Plekha1
ENSMUSG00000041408	Wapl
ENSMUSG00000026409	Pfkfb2
ENSMUSG00000033075	Senp1
ENSMUSG00000032531	Amotl2
ENSMUSG00000041757	Plekha6
ENSMUSG00000033170	Card10
ENSMUSG00000061411	Nol4l
ENSMUSG00000039231	Suv39h1
ENSMUSG00000046671	Mtfr1l
ENSMUSG00000040606	Kazn
ENSMUSG00000026107	Nabp1
ENSMUSG00000031099	Smarca1
ENSMUSG00000020782	Llgl2
ENSMUSG00000060012	Kif13b
ENSMUSG00000029833	Trim24
ENSMUSG00000081044	AU015836
ENSMUSG00000026623	Lpgat1
ENSMUSG00000039988	Ankrd13c
ENSMUSG00000009569	Mrtfb
ENSMUSG00000039831	Arhgap29
ENSMUSG00000035914	Cd276
ENSMUSG00000018819	Lsp1
ENSMUSG00000042724	Map3k9
ENSMUSG00000023022	Lima1
ENSMUSG00000032883	Acsl3
ENSMUSG00000063382	Bcl9l
ENSMUSG00000041220	Elovl6
ENSMUSG00000032015	Pou2f3
ENSMUSG00000024308	Tapbp
ENSMUSG00000021604	Irx4
ENSMUSG00000041354	Rgl2
ENSMUSG00000032010	Usp2
ENSMUSG00000025665	Rps6ka6
ENSMUSG00000084128	Esrp2
ENSMUSG00000040785	Ttc3
ENSMUSG00000027510	Rbm38
ENSMUSG00000066735	Vkorc1l1
ENSMUSG00000028906	Epb41
ENSMUSG00000025451	Paip1
ENSMUSG00000053436	Mapk14
ENSMUSG00000042659	Arrdc4
ENSMUSG00000024098	Twsg1
ENSMUSG00000053754	Chd8
ENSMUSG00000025381	Cnpy2
ENSMUSG00000001472	Tcf25
ENSMUSG00000039470	Zdhhc2
ENSMUSG00000003308	Keap1
ENSMUSG00000041870	Ankrd13a
ENSMUSG00000032216	Nedd4
ENSMUSG00000003731	Kpna6
ENSMUSG00000030172	Erc1
ENSMUSG00000066640	Fbxl18
ENSMUSG00000050627	Gpd1l
ENSMUSG00000029722	Agfg2
ENSMUSG00000061393	Acvr2b
ENSMUSG00000042507	Elmsan1
ENSMUSG00000025764	Jade1
ENSMUSG00000030811	Fbxl19
ENSMUSG00000026883	Dab2ip
ENSMUSG00000004626	Stxbp2
ENSMUSG00000034210	Efcab14
ENSMUSG00000092035	Peg10
ENSMUSG00000072825	Cep170b
ENSMUSG00000055320	Tead1
ENSMUSG00000030987	Stim1
ENSMUSG00000003038	Hmgn2
ENSMUSG00000036782	Klhl13
ENSMUSG00000030986	Dhx32
ENSMUSG00000027288	Zfp106
ENSMUSG00000057751	Megf6
ENSMUSG00000044150	Bclaf3
ENSMUSG00000020476	Dbnl
ENSMUSG00000022433	Csnk1e
ENSMUSG00000000631	Myo18a
ENSMUSG00000034602	Mon2
ENSMUSG00000062184	Hs6st2
ENSMUSG00000052632	Asap2
ENSMUSG00000000094	Tbx4
ENSMUSG00000006641	Slc5a6
ENSMUSG00000036667	Tcaf1
ENSMUSG00000020580	Rock2
ENSMUSG00000026478	Lamc1
ENSMUSG00000031441	Atp11a
ENSMUSG00000044433	Camsap3
ENSMUSG00000040728	Esrp1
ENSMUSG00000048583	Igf2
ENSMUSG00000039210	Gpatch2
ENSMUSG00000061778	Mospd2
ENSMUSG00000020986	Sec23a
ENSMUSG00000032009	Sesn3
ENSMUSG00000019923	Zwint
ENSMUSG00000021488	Nsd1
