name	value
ENSMUST00000000001.4	1
ENSMUST00000000010.8	1
ENSMUST00000000028.13	1
ENSMUST00000000033.11	2
ENSMUST00000000058.6	2
ENSMUST00000000080.7	3
ENSMUST00000000090.7	4
ENSMUST00000000094.13	2
ENSMUST00000000095.6	2
ENSMUST00000000096.11	2
ENSMUST00000000122.6	2
ENSMUST00000000127.5	2
ENSMUST00000000129.13	3
ENSMUST00000000137.7	3
ENSMUST00000000153.8	2
ENSMUST00000000171.14	1
ENSMUST00000000175.5	2
ENSMUST00000000188.11	2
ENSMUST00000000199.7	2
ENSMUST00000000208.12	3
ENSMUST00000000219.9	3
ENSMUST00000000253.5	2
ENSMUST00000000260.12	2
ENSMUST00000000266.8	3
ENSMUST00000000285.8	1
ENSMUST00000000287.8	2
ENSMUST00000000299.13	3
ENSMUST00000000304.13	4
ENSMUST00000000305.6	1
ENSMUST00000000310.13	4
ENSMUST00000000312.11	2
ENSMUST00000000314.12	2
ENSMUST00000000317.12	3
ENSMUST00000000326.11	2
ENSMUST00000000329.8	2
ENSMUST00000000335.11	3
ENSMUST00000000348.14	2
ENSMUST00000000349.10	4
ENSMUST00000000356.9	2
ENSMUST00000000365.2	3
ENSMUST00000000384.7	2
ENSMUST00000000388.14	2
ENSMUST00000000394.13	1
ENSMUST00000000395.7	2
ENSMUST00000000430.13	1
ENSMUST00000000449.8	1
ENSMUST00000000450.4	2
ENSMUST00000000451.13	1
ENSMUST00000000466.12	3
ENSMUST00000000476.14	1
ENSMUST00000000500.7	2
ENSMUST00000000505.15	1
ENSMUST00000000542.13	1
ENSMUST00000000543.5	2
ENSMUST00000000544.11	1
ENSMUST00000000579.2	2
ENSMUST00000000590.15	1
ENSMUST00000000594.8	3
ENSMUST00000000608.7	2
ENSMUST00000000619.7	3
ENSMUST00000000642.10	3
ENSMUST00000000645.12	1
ENSMUST00000000674.12	2
ENSMUST00000000696.6	4
ENSMUST00000000707.8	2
ENSMUST00000000724.14	2
ENSMUST00000000727.3	2
ENSMUST00000000746.11	1
ENSMUST00000000756.5	3
ENSMUST00000000759.8	2
ENSMUST00000000767.5	1
ENSMUST00000000776.14	2
ENSMUST00000000793.12	1
ENSMUST00000000804.6	1
ENSMUST00000000809.2	2
ENSMUST00000000821.14	2
ENSMUST00000000828.12	1
ENSMUST00000000834.3	3
ENSMUST00000000844.14	4
ENSMUST00000000894.5	1
ENSMUST00000000896.10	2
ENSMUST00000000904.14	2
ENSMUST00000000924.12	2
ENSMUST00000000925.9	2
ENSMUST00000000939.14	3
ENSMUST00000000940.14	1
ENSMUST00000000958.8	3
ENSMUST00000000985.6	2
ENSMUST00000001002.7	1
ENSMUST00000001008.5	4
ENSMUST00000001036.10	4
ENSMUST00000001040.6	2
ENSMUST00000001042.9	4
ENSMUST00000001043.13	3
