ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Fold
GO:0006974	cellular response to DNA damage stimulus	0.105121293800539	0.0355195143927538	6.92936571504494e-18	3.33441078207963e-14	2.65722939999039e-14	Ddx1/Tex15/Usp1/Fem1b/Ubr5/Mcm10/Ssrp1/Gigyf2/Smc6/Msh6/Usp7/Tnks1bp1/Otub1/Npm1/Ei24/Rif1/Taok2/Fanci/Tipin/Atm/Uimc1/Fmr1/Aunip/Foxm1/Ints7/Mapk1/Tmem161a/Ruvbl2/Ubqln4/Cdc14b/Ppp4r2/Vav3/Ung/Pcbp4/Hnrnpk/Mapkapk2/Parp1/Bag6/Dyrk3/Cbx5/Rad17/Nsd2/Trip12/Taok1/Usp3/Trrap/Senp2/Pold3/Rnf8/Mdc1/Setd2/Uhrf1/Hmgn1/Morf4l2/Rad54b/Huwe1/Chek1/Parpbp/Akt1/Rad51/Cul4b/Smc1a/Ddb1/Bard1/Hmga2/Casp3/Dnaja1/Cbx1/Kdm1a/Pttg1ip/Dhx9/Men1/Twist1/Topors/Fancb/Nucks1/Taf1/Bclaf1	78	2.9595363449559
GO:0016569	covalent chromatin modification	0.0768194070080863	0.0210556266894295	2.36250025117638e-17	3.90426993909719e-14	3.11135656213219e-14	Akap8/Ubr5/Msl1/Usp7/Jarid2/Taf7/Rif1/Ccna2/Phf19/Atm/Wbp2/Uimc1/Fmr1/Hells/Dnmt1/Brd1/Dnmt3b/Ruvbl2/Eed/Suds3/Ezh2/Ubr2/Iws1/Nsd2/Trip12/Usp3/Slk/Trrap/Sin3a/Naa50/Rnf8/Ehmt2/Setd2/Uhrf1/Ccnb1/Mbd3/Kdm5b/Morf4l2/Huwe1/Chek1/Srebf1/Yeats2/Cul4b/Ddb1/Jade3/Suv39h2/Kat7/Mthfr/Kdm1a/Pwp1/Hat1/Kmt5b/Atf7ip/Men1/Twist1/Kdm5c/Taf1	57	3.64840278283675
GO:0006325	chromatin organization	0.102425876010782	0.0347607530706122	2.4340835031778e-17	3.90426993909719e-14	3.11135656213219e-14	Akap8/Ubr5/Msl1/Gatad1/Aebp2/Usp7/Jarid2/Taf7/Hmgb3/Npm1/Rif1/Zfp462/Ccna2/Atad2/Phf19/Atm/Wbp2/Uimc1/Fmr1/Hells/Dnmt1/Brd1/Dnmt3b/Ruvbl2/Eed/Suds3/Nap1l4/H1f10/Ezh2/Map1s/Ubr2/Iws1/Bag6/Nsd2/Trip12/Usp3/Slk/Trrap/Sin3a/Naa50/Rnf8/Smarcc1/Ehmt2/Setd2/Uhrf1/Ccnb1/Mbd3/Kdm5b/Hmgn1/Morf4l2/Huwe1/Chek1/Srebf1/Yeats2/Cul4b/Grwd1/Nasp/Ddb1/Nap1l1/Jade3/Anp32e/Suv39h2/Ptma/Kat7/Mthfr/Kdm1a/Pwp1/Chd4/Hat1/Kmt5b/Atf7ip/Men1/Twist1/Nucks1/Kdm5c/Taf1	76	2.94659542624741
GO:0016570	histone modification	0.0741239892183288	0.0202494427846541	7.57458713652832e-17	9.11222832524357e-14	7.26163708904544e-14	Akap8/Ubr5/Msl1/Usp7/Jarid2/Taf7/Rif1/Ccna2/Phf19/Atm/Wbp2/Uimc1/Fmr1/Dnmt1/Brd1/Dnmt3b/Ruvbl2/Eed/Suds3/Ezh2/Ubr2/Iws1/Nsd2/Trip12/Usp3/Slk/Trrap/Sin3a/Naa50/Rnf8/Ehmt2/Setd2/Uhrf1/Ccnb1/Mbd3/Kdm5b/Morf4l2/Huwe1/Chek1/Srebf1/Yeats2/Cul4b/Ddb1/Jade3/Suv39h2/Kat7/Mthfr/Kdm1a/Pwp1/Hat1/Kmt5b/Men1/Twist1/Kdm5c/Taf1	55	3.66054463851733
GO:0006259	DNA metabolic process	0.107816711590297	0.038933940342391	1.22163797223726e-16	1.17570438448114e-13	9.36932027970595e-14	Ddx1/Tex15/Usp1/Ubr5/Cct2/Cidea/Mcm10/Ssrp1/Smc6/Msh6/Chtf8/Usp7/Tnks1bp1/Hsp90aa1/Otub1/Tfdp1/Hmgb3/Npm1/Dicer1/Rif1/Map2k7/Naf1/Fanci/Tipin/Atm/Uimc1/Hells/Aunip/Dnmt1/Dnmt3b/Foxm1/Mapk1/Tmem161a/Ruvbl2/Ubqln4/Cdc14b/H1f10/Ppp4r2/Ezh2/Ubr2/Ung/Hnrnpc/Eri1/Parp1/Rad17/Nsd2/Trip12/Taok1/Usp3/Trrap/Pold3/Rnf8/Mdc1/Ehmt2/Setd2/Uhrf1/Hmgn1/Morf4l2/Rad54b/Huwe1/Chek1/Parpbp/Akt1/Rad51/Cul4b/Ylpm1/Smc1a/Ddb1/Bard1/Hmga2/Mnd1/Kdm1a/Dnmt3l/Dhx9/Atf7ip/Men1/Twist1/Hnrnpd/Fancb/Nucks1	80	2.76922167759389
GO:0033044	regulation of chromosome organization	0.0619946091644205	0.0168824394176507	2.46529308573706e-14	1.97716505476112e-11	1.57562503707721e-11	Akap8/Ubr5/Cct2/Jarid2/Taf7/Ttk/Rif1/Atad2/Map2k7/Phf19/Naf1/Atm/Wbp2/Cdc27/Fmr1/Anapc1/Dnmt1/Dnmt3b/Mapk1/Ruvbl2/Eed/H1f10/Map1s/Hnrnpc/Iws1/Parp1/Trip12/Slk/Sin3a/Mcph1/Ehmt2/Ccnb1/Chek1/Srebf1/Sgo2a/Ylpm1/Cul3/Kat7/Cdc23/Mthfr/Kdm1a/Atf7ip/Zfp207/Men1/Twist1/Hnrnpd	46	3.67213574002847
GO:0080135	regulation of cellular response to stress	0.0889487870619946	0.0320102432778489	5.86892063247101e-14	4.03446372620721e-11	3.2151094532469e-11	Sgta/Wnt7b/Tex15/Usp1/Fem1b/Ubr5/Prdx1/Inpp5f/Npm1/Tsc1/Rif1/Taok2/Map2k7/Atm/Uimc1/Fmr1/Aunip/Pafah1b1/Fgf15/Foxm1/Mapk1/Tmem161a/Ubqln4/Ppp4r2/Dvl3/Ajuba/Cbs/Fzd10/Pcbp4/Neo1/Hnrnpk/Parp1/Bag6/Dyrk3/Nsd2/Tiam1/Trip12/Taok1/Senp2/Hyou1/Rnf8/Setd2/Ptprs/Creb3l1/Chek1/Tnfrsf19/Parpbp/Adam17/Hipk3/Akt1/Rad51/Pawr/Hmga2/Dnaja1/Nfe2l1/Rassf2/Kdm1a/Dab2/Pttg1ip/Dkk1/Dhx9/Men1/Twist1/Fancb/Bclaf1/Ptprf	66	2.77876010781671
GO:0006281	DNA repair	0.0700808625336927	0.0220989235073742	1.94317135605057e-13	1.16881757066442e-10	9.31443848696345e-11	Ddx1/Tex15/Usp1/Ubr5/Ssrp1/Smc6/Msh6/Usp7/Tnks1bp1/Otub1/Npm1/Rif1/Fanci/Atm/Uimc1/Aunip/Foxm1/Tmem161a/Ruvbl2/Ubqln4/Cdc14b/Ppp4r2/Ung/Parp1/Rad17/Nsd2/Trip12/Taok1/Usp3/Trrap/Pold3/Rnf8/Mdc1/Setd2/Uhrf1/Hmgn1/Morf4l2/Rad54b/Huwe1/Chek1/Parpbp/Rad51/Cul4b/Smc1a/Ddb1/Bard1/Hmga2/Kdm1a/Dhx9/Twist1/Fancb/Nucks1	52	3.17123422370811
GO:0051726	regulation of cell cycle	0.107816711590297	0.0460473277374686	1.15438521984389e-12	6.17211297543198e-10	4.91862614724126e-10	Ctdsp2/Fem1b/Msx2/Gigyf2/Ect2/Msh6/Cenpf/Ddx3x/Ahctf1/Tfdp1/Pum1/Spast/Ankrd17/Nsun2/Npm1/Tsc1/Dicer1/Ttk/Zwilch/Eif4g3/Ccna2/Taok2/Stag1/Psme3/Tipin/Atm/Cdc27/Uimc1/Pafah1b1/Anapc1/Foxm1/Ints7/Tardbp/Pkn2/Pggt1b/Cdc14b/Ezh2/Ccnd3/Dyrk3/Rad17/Alms1/Taok1/Slc9a3r1/Trrap/Eif4g1/Sin3a/Senp2/Mcph1/Wdr6/Racgap1/Setd2/Ccnb1/Rcc1/Son/Phactr4/Kif23/Bex4/Chek1/Adam17/Sgo2a/Akt1/Ecd/Cul4b/Smc1a/Prc1/Ddb1/Cul3/Plk4/Hmga2/Casp3/Cdc23/Kif14/Kif20a/Nfe2l1/Spin2c/Irf6/Zfp207/Men1/Cdkn2b/Id3	80	2.34143254099339
GO:1903047	mitotic cell cycle process	0.0835579514824798	0.0311566367904396	1.68112597973302e-12	7.37421607979636e-10	5.87659561156279e-10	Akap8/Ctdsp2/Gigyf2/Ect2/Chtf8/Cenpf/Ddx3x/Spast/Ankrd17/Kif2c/Ttk/Zwilch/Ccna2/Taok2/Stag1/Psme3/Tipin/Atm/Cdc27/Pafah1b1/Anapc1/Ankle2/Foxm1/Golga2/Seh1l/Cdc14b/Ezh2/Ccnd3/Rad17/Iqgap3/Taok1/Trrap/Eif4g1/Sin3a/Senp2/Mcph1/Naa50/Racgap1/Rab35/Setd2/Ccnb1/Rcc1/Son/Kif23/Chek1/Adam17/Cacul1/Akt1/Rad51/Ecd/Cul4b/Smc1a/Nasp/Ddb1/Cul3/Cdc23/Kif14/Kif20a/Nfe2l1/Zfp207/Actr1b/Cdkn2b	62	2.68186685374589
GO:0051052	regulation of DNA metabolic process	0.0592991913746631	0.0175463555745246	1.68571024267996e-12	7.37421607979636e-10	5.87659561156279e-10	Tex15/Usp1/Ubr5/Cct2/Cidea/Msh6/Chtf8/Usp7/Hsp90aa1/Tfdp1/Npm1/Rif1/Map2k7/Naf1/Atm/Uimc1/Aunip/Dnmt1/Foxm1/Mapk1/Tmem161a/Ubqln4/H1f10/Ppp4r2/Hnrnpc/Parp1/Nsd2/Trip12/Rnf8/Ehmt2/Setd2/Chek1/Parpbp/Akt1/Rad51/Ylpm1/Kdm1a/Dnmt3l/Dhx9/Men1/Twist1/Hnrnpd/Fancb/Nucks1	44	3.37957310410141
