geneSet	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GSE20510_SGHPL5_cell_line_UP_ACH3P_cell_line	Genes up-regulated in SGHPL-5 cell line versus ACH3P cell line	196	31	3.345381526104418	9.266506602641055	0	0	6383;3485;2335;30008;11098;11167;7424;5327;1277;7431;6678;1290;558;4017;4016;3725;7076;2200;4237;1291;4921;80781;1292;3487;5054;10631;1278;1293;1289;3488;60681	VIM;TIMP1;PLAT;SERPINE1;COL1A1;SPARC;FN1;IGFBP2;IGFBP5;MFAP2;LOXL1;COL5A1;POSTN;LOXL2;IGFBP4;FKBP10;COL6A1;COL6A2;VEGFC;PRSS23;DDR2;COL6A3;FSTL1;COL1A2;FBN1;AXL;SDC2;EFEMP2;JUN;COL18A1;COL5A2
GSE20510_HTR8_SVneo_cell_line_UP_ACH3P_cell_line	Genes up-regulated in HTR-8/SVneo cell line versus ACH3P cell line	194	27	3.311244979919679	8.154032747119466	0	0	6383;5621;3485;30008;4060;11098;11167;4233;7424;1277;7431;6678;1290;558;4017;4016;3725;7076;7052;2200;4237;1291;4921;871;80781;1292;3487	VIM;TIMP1;MET;COL1A1;SPARC;IGFBP2;MFAP2;LOXL1;LOXL2;LUM;IGFBP4;COL6A1;COL6A2;SERPINH1;VEGFC;PRSS23;DDR2;FSTL1;FBN1;AXL;SDC2;PRNP;EFEMP2;JUN;COL18A1;TGM2;COL5A2
GSE20510_SGHPL5_cell_line_UP_JEG3_choriocarcinoma_cell_line	Genes up-regulated in SGHPL-5 cell line versus JEG3 choriocarcinoma cell line	198	26	3.379518072289157	7.693404634581104	4.440892098500626e-16	3.478698810492157e-14	6383;5621;3485;2335;11098;11167;5327;1277;7431;6678;1290;558;4017;4016;3725;7076;2200;1291;80781;1292;3487;5054;10631;1278;1293;1289	VIM;TIMP1;PLAT;SERPINE1;COL1A1;SPARC;FN1;IGFBP2;LOXL1;COL5A1;POSTN;LOXL2;IGFBP4;COL6A1;COL6A2;PRSS23;COL6A3;FSTL1;COL1A2;FBN1;AXL;SDC2;PRNP;JUN;COL18A1;COL5A2
GSE37761_5_O2_Cluster_1	"""Genes in Cluster 1 of GSE37761: time series human embryonic stem cell gene expression as a ratio between 5% and 21% oxygen conditions, 12 hours through 10 days"""	179	23	3.055220883534137	7.528097272428524	3.597122599785507e-14	2.1133095273739855e-12	2621;1634;10516;5351;284;2335;30008;4060;4323;6678;1290;7076;7052;1291;1292;1278;1293;8038;7057;9902;3275;1306;23452	MRC2;DCN;PLOD1;TIMP1;SPARC;FN1;ANGPTL2;THBS1;LUM;FBLN5;COL6A1;COL6A2;ADAM12;ANGPT1;MMP14;PRMT2;COL6A3;COL1A2;EFEMP2;GAS6;TGM2;COL5A2;COL15A1
GSE20510_HTR8_SVneo_cell_line_UP_JEG3_choriocarcinoma_cell_line	Genes up-regulated in HTR-8/SVneo cell line versus JEG3 choriocarcinoma cell line	195	21	3.3283132530120483	6.309502262443439	1.5813350628945955e-11	7.432274795604599e-10	6383;5621;2335;30008;4060;11098;11167;4233;7424;5327;1277;7431;6678;1290;558;4017;4016;7076;7052;1291;858	VIM;TIMP1;PLAT;CAV2;MET;COL1A1;SPARC;FN1;LOXL1;LOXL2;LUM;COL6A1;VEGFC;PRSS23;FSTL1;AXL;SDC2;PRNP;EFEMP2;TGM2;COL5A2
GSE7905_placenta_UP_salivary_gland	Genes up-regulated in placenta versus salivary gland	158	19	2.6967871485943777	7.045420699925539	2.20768958669737e-11	8.646784214564699e-10	5159;6696;3485;4320;2324;857;1282;7077;5327;6678;7076;80781;5054;1293;1050;858;2192;8038;7040	TIMP2;FLT4;FBLN1;MMP11;TIMP1;PLAT;TGFB1;CAV2;CAV1;SERPINE1;SPARC;PDGFRB;IGFBP2;SPP1;ADAM12;COL6A3;COL18A1;COL4A1;CEBPA
GSE30127_TBPC_monolayer_UP_hESC_H7_cell_line	Genes up-regulated in human chorionic trophoblast progenitor cells (TBPC monolayer) versus human embryonic stem cell H7 cell line	186	20	3.174698795180723	6.299810246679317	5.085298848683806e-11	1.7072074706295633e-9	1009;7412;1634;1404;2335;4060;3910;7424;1277;6678;4017;7052;2200;4921;1278;1289;8038;6649;3454;1306	DCN;COL1A1;SOD3;LAMA4;SPARC;FN1;COL5A1;LOXL2;LUM;CDH11;IFNAR1;HAPLN1;ADAM12;VEGFC;VCAM1;DDR2;COL1A2;FBN1;TGM2;COL15A1
GSE20510_SGHPL5_cell_line_UP_HTR8_SVneo_cell_line	Genes up-regulated in SGHPL-5 cell line versus HTR-8/SVneo cell line	27	9	0.4608433734939759	19.52941176470588	3.702679274297793e-10	1.0876620368249768e-8	3485;2335;5327;4016;5054;10631;1278;1293;1289	PLAT;SERPINE1;FN1;IGFBP2;LOXL1;COL5A1;POSTN;COL6A3;COL1A2
GSE7905_placenta_UP_spinal_cord	Genes up-regulated in placenta versus spinal cord	157	17	2.679718875502008	6.343949044585988	1.3655676589507948e-9	3.5656488872604086e-8	4320;3875;2324;857;1282;7077;4016;7076;5054;10631;1293;1050;2192;8038;7040;1306;57124	TIMP2;FLT4;FBLN1;MMP11;TIMP1;TGFB1;CAV1;SERPINE1;KRT18;LOXL1;POSTN;ADAM12;COL6A3;CD248;COL4A1;COL15A1;CEBPA
GSE7905_placenta_UP_fetal_brain	Genes up-regulated in placenta versus fetal brain	202	19	3.4477911646586348	5.5107746068724515	1.5703529587796083e-9	3.6903294531320796e-8	10516;4320;2324;3481;1282;5768;7077;7076;80781;5054;1293;1050;858;2192;8038;84141;7040;1306;10894	TIMP2;FLT4;FBLN1;MMP11;TIMP1;TGFB1;CAV2;SERPINE1;EVA1A;QSOX1;LYVE1;FBLN5;ADAM12;COL6A3;IGF2;COL18A1;COL4A1;COL15A1;CEBPA
GSE7905_placenta_UP_peripheral_blood_lymphocytes	Genes up-regulated in placenta versus peripheral blood lymphocytes	162	17	2.7650602409638556	6.148148148148148	2.2220647544202166e-9	4.351543477406257e-8	7043;10516;4320;2324;11098;1282;7077;4016;7076;5054;1293;1050;858;2192;8038;1306;57124	TIMP2;FLT4;FBLN1;MMP11;TIMP1;CAV2;SERPINE1;TGFB3;LOXL1;FBLN5;ADAM12;PRSS23;COL6A3;CD248;COL4A1;COL15A1;CEBPA
GSE7905_placenta_UP_spleen	Genes up-regulated in placenta versus spleen	162	17	2.7650602409638556	6.148148148148148	2.2220647544202166e-9	4.351543477406257e-8	7043;1634;6696;4320;3875;2324;3910;1282;7077;5327;7076;5054;1050;2192;8038;1306;57124	DCN;TIMP2;FLT4;FBLN1;MMP11;TIMP1;PLAT;SERPINE1;KRT18;LAMA4;SPP1;TGFB3;ADAM12;CD248;COL4A1;COL15A1;CEBPA
GSE29575_placental_macrophages_fresh_UP_CD14+_cells_from_PBMC	Genes up-regulated in placental macrophages versus CD14+ cells from peripheral blood mononuclear cells	186	18	3.174698795180723	5.669829222011385	2.7349942310905817e-9	4.944028033125282e-8	8404;1634;10516;952;3875;4060;3481;11098;3910;11167;4016;1289;3488;2192;5480;54972;650;6649	CD38;TMEM132A;DCN;FBLN1;SOD3;KRT18;LAMA4;IGFBP5;BMP2;LOXL1;COL5A1;LUM;FBLN5;PRSS23;SPARCL1;FSTL1;IGF2;PPIC
GSE7905_placenta_UP_thyroid	Genes up-regulated in placenta versus thyroid	156	16	2.662650602409639	6.009049773755655	9.361770025861915e-9	1.5714399686268213e-7	7043;6696;3485;4052;4320;1282;7077;4017;7076;5054;1293;1050;2192;8038;7040;57124	TIMP2;LTBP1;FBLN1;MMP11;TIMP1;TGFB1;SERPINE1;IGFBP2;SPP1;TGFB3;LOXL2;ADAM12;COL6A3;CD248;COL4A1;CEBPA
GSE7905_placenta_UP_bone_marrow	Genes up-regulated in placenta versus bone marrow	157	16	2.679718875502008	5.9707755713750466	1.0269140537921828e-8	1.608832017607753e-7	7043;10516;4320;2324;1282;7077;5327;4016;80781;5054;1293;858;2192;8038;1306;57124	TIMP2;FLT4;FBLN1;MMP11;PLAT;CAV2;SERPINE1;TGFB3;LOXL1;FBLN5;ADAM12;COL6A3;CD248;COL18A1;COL4A1;COL15A1
GSE7905_placenta_UP_tonsil	Genes up-regulated in placenta versus tonsil	159	16	2.713855421686747	5.8956714761376245	1.2329766985175183e-8	1.810934525947605e-7	6696;4320;11098;857;1282;7077;6678;5054;10631;1293;1050;858;2192;8038;1306;57124	TIMP2;FBLN1;MMP11;CAV2;CAV1;SERPINE1;SPARC;SPP1;POSTN;ADAM12;PRSS23;COL6A3;CD248;COL4A1;COL15A1;CEBPA
