target_id	length	eff_length	est_counts	tpm
ENSMUST00000000804.6	4692	4493	28488.6	273.917
ENSMUST00000001279.14	2167	1968	1006.58	22.0958
ENSMUST00000001258.14	3586	3387	5113.27	65.2181
ENSMUST00000003397.8	1706	1507	1442.23	41.3434
ENSMUST00000003404.8	3511	3312	524.853	6.84592
ENSMUST00000003318.12	2519	2320	590.242	10.9907
ENSMUST00000001975.5	4344	4145	1044.28	10.8837
ENSMUST00000005503.4	4251	4052	3116.25	33.2236
ENSMUST00000008016.2	1278	1079	569.761	22.8116
ENSMUST00000008748.7	3330	3131	1851.11	25.5407
ENSMUST00000004428.13	8390	8191	2343.17	12.3581
ENSMUST00000004202.16	5367	5168	3607.39	30.1547
ENSMUST00000006716.7	2071	1872	359.437	8.29471
ENSMUST00000005003.11	3510	3311	2675.63	34.9101
ENSMUST00000009321.10	4320	4121	6556.9	68.7353
ENSMUST00000008991.7	8299	8100	3215.27	17.1481
ENSMUST00000004987.16	2007	1808	1757.93	42.0038
ENSMUST00000006692.5	1756	1557	902	25.0266
ENSMUST00000020358.11	2827	2628	2142.39	35.2175
ENSMUST00000020381.4	6420	6221	1826.76	12.6855
ENSMUST00000020695.12	7483	7284	1491.55	8.8461
ENSMUST00000021077.3	1925	1726	4048	101.317
ENSMUST00000020931.5	5603	5404	3204.32	25.6157
ENSMUST00000019405.3	3314	3115	1542	21.385
ENSMUST00000020174.6	2502	2303	1069.56	20.0631
ENSMUST00000016901.4	3774	3575	8365.17	101.084
ENSMUST00000017622.11	3810	3611	2525.85	30.218
ENSMUST00000018716.9	2006	1807	1368.13	32.708
ENSMUST00000020769.13	1638	1439	234.727	7.04672
ENSMUST00000016670.8	3164	2965	403.079	5.87286
ENSMUST00000019482.7	4632	4433	2601.47	25.3516
ENSMUST00000018449.10	7442	7243	5516.69	32.9037
ENSMUST00000020298.7	789	590	279.836	20.4898
ENSMUST00000013130.14	3046	2847	989.251	15.0108
ENSMUST00000015893.12	1381	1182	520.701	19.0307
ENSMUST00000017751.2	4755	4556	1163.09	11.0284
ENSMUST00000026446.3	763	564	609.46	46.6822
ENSMUST00000024699.3	1622	1423	1378.3	41.843
ENSMUST00000026264.11	2005	1806	1487.16	35.5734
ENSMUST00000023069.8	2518	2319	572.323	10.6617
ENSMUST00000024599.13	8887	8688	10976	54.5767
ENSMUST00000021670.14	7003	6804	1044.9	6.63432
ENSMUST00000022964.8	1613	1414	277.631	8.4821
ENSMUST00000026221.6	5455	5256	11230.1	92.3028
ENSMUST00000025228.11	2084	1885	607.578	13.9244
ENSMUST00000023559.6	2981	2782	506	7.85738
ENSMUST00000026292.14	14579	14380	7064.15	21.222
ENSMUST00000023572.14	5742	5543	801.458	6.24627
ENSMUST00000027768.13	8506	8307	10197.7	53.0327
ENSMUST00000027202.8	4939	4740	1672.75	15.2453
ENSMUST00000021282.11	6373	6174	3388.26	23.708
ENSMUST00000026989.14	2727	2528	1248.96	21.3431
ENSMUST00000026886.7	7900	7701	1096.77	6.15255
ENSMUST00000027777.11	3873	3674	5629.11	66.1889
ENSMUST00000027752.14	7622	7423	12629.6	73.5013
ENSMUST00000021922.9	2453	2254	287.541	5.511
ENSMUST00000023015.14	3365	3166	416.277	5.68011
ENSMUST00000027980.7	3494	3295	1692.51	22.1901
ENSMUST00000025236.8	5097	4898	1315.21	11.6001
ENSMUST00000025778.8	3767	3568	2358.7	28.5583
ENSMUST00000025163.13	807	608	1726.81	122.695
ENSMUST00000025965.11	5868	5669	4237.18	32.289
ENSMUST00000028232.6	3741	3542	1494.63	18.2293
ENSMUST00000021592.15	2957	2758	723.517	11.3329
ENSMUST00000025101.9	1354	1155	164	6.13404
ENSMUST00000036113.3	6986	6787	1720.69	10.9524
ENSMUST00000038769.2	480	281	557	85.6315
ENSMUST00000028663.4	2603	2404	324	5.82231
ENSMUST00000043493.6	7667	7468	2286.24	13.2252
ENSMUST00000034775.9	6785	6586	9362	61.4089
ENSMUST00000034815.8	3398	3199	1691.89	22.8476
ENSMUST00000034903.6	977	778	186.885	10.3772
ENSMUST00000030360.10	1755	1556	693.046	19.2414
ENSMUST00000038719.7	2600	2401	507.143	9.12479
ENSMUST00000035579.9	3883	3684	2352.58	27.5873
ENSMUST00000033811.13	4412	4213	756.797	7.76019
ENSMUST00000030030.14	3102	2903	3056.2	45.4799
ENSMUST00000043396.14	2674	2475	888	15.4997
ENSMUST00000035973.4	2996	2797	4022.76	62.1322
ENSMUST00000033501.14	4142	3943	1457.67	15.9705
ENSMUST00000030289.8	3577	3378	1776.16	22.7147
ENSMUST00000043765.13	3354	3155	1215.6	16.6447
ENSMUST00000034529.13	3585	3386	1284.33	16.386
ENSMUST00000034846.6	4152	3953	2699.49	29.5012
ENSMUST00000030142.3	3247	3048	514.633	7.29402
ENSMUST00000034228.15	2063	1864	1950.81	45.2119
ENSMUST00000029014.15	1768	1569	2046.66	56.3516
ENSMUST00000043604.5	3414	3215	5198.63	69.8542
ENSMUST00000037930.12	1303	1104	459.877	17.9952
ENSMUST00000038194.4	5684	5485	2946.8	23.2091
ENSMUST00000042096.14	4706	4507	1342.76	12.8705
ENSMUST00000029061.11	5073	4874	1810.61	16.0481
ENSMUST00000042575.6	3856	3657	2474	29.2253
ENSMUST00000040717.6	4858	4659	1345.54	12.4764
ENSMUST00000030456.13	2520	2321	5371.39	99.9761
ENSMUST00000029564.11	1194	995	500.882	21.7469
ENSMUST00000031587.12	1985	1786	1575.55	38.1097
ENSMUST00000028635.5	2073	1874	4437.12	102.286
ENSMUST00000035230.6	2082	1883	352.417	8.0852
ENSMUST00000033081.13	3410	3211	3245.55	43.6649
ENSMUST00000033277.8	958	759	286.88	16.3284
ENSMUST00000042556.10	3872	3673	3296	38.766
ENSMUST00000044165.13	7020	6821	1443.84	9.14444
ENSMUST00000036236.14	2161	1962	1584.4	34.886
ENSMUST00000030254.14	1898	1699	460.146	11.7
ENSMUST00000033465.9	2281	2082	720.692	14.9539
ENSMUST00000041331.3	4832	4633	4137.46	38.5794
ENSMUST00000043138.12	4734	4535	565.606	5.38792
ENSMUST00000034197.4	4396	4197	529.598	5.4512
ENSMUST00000030771.11	2133	1934	4421.95	98.7737
ENSMUST00000036004.15	1918	1719	9904.03	248.898
ENSMUST00000029490.14	3863	3664	3295.8	38.8588
ENSMUST00000031423.9	4486	4287	16024.1	161.475
ENSMUST00000051691.7	4239	4040	1683.25	17.9991
ENSMUST00000056904.2	5302	5103	1523.99	12.9015
ENSMUST00000049787.2	3715	3516	374	4.59523
ENSMUST00000054487.9	3397	3198	811.6	10.9635
ENSMUST00000056391.14	2975	2776	1574.95	24.5093
ENSMUST00000048518.15	3594	3395	486.582	6.19157
ENSMUST00000050331.12	1701	1502	980.428	28.1988
ENSMUST00000068700.6	4163	3964	2964.13	32.3033
ENSMUST00000049074.12	7656	7457	5398.39	31.2741
ENSMUST00000060101.9	1250	1051	737.15	30.2997
ENSMUST00000069817.14	10671	10472	3422.39	14.1184
ENSMUST00000067538.5	6855	6656	964.812	6.26201
ENSMUST00000049089.6	1628	1429	197	5.9555
ENSMUST00000071402.6	5951	5752	1113.92	8.36601
ENSMUST00000049999.8	1309	1110	138.122	5.37557
ENSMUST00000065090.7	9038	8839	6467.93	31.6116
ENSMUST00000062694.15	3548	3349	2035.73	26.2597
ENSMUST00000046765.9	2235	2036	828.007	17.5687
ENSMUST00000048860.8	2284	2085	336	6.96174
ENSMUST00000056403.6	1217	1018	161.748	6.86399
ENSMUST00000065692.13	3269	3070	936.913	13.184
ENSMUST00000048418.13	5360	5161	1487.66	12.4525
ENSMUST00000050083.5	3090	2891	1916.24	28.6343
ENSMUST00000067896.3	1137	938	1002.47	46.1695
ENSMUST00000066272.5	3302	3103	2119	29.5008
ENSMUST00000058524.2	6536	6337	782.222	5.3325
ENSMUST00000046901.13	1543	1344	491.813	15.8083
ENSMUST00000046038.8	1535	1336	510.116	16.4948
ENSMUST00000049130.7	903	704	340.91	20.9195
ENSMUST00000069256.11	9480	9281	2077.48	9.67
ENSMUST00000056601.10	2833	2634	987.966	16.2036
ENSMUST00000063704.7	1244	1045	454.724	18.7982
ENSMUST00000050884.15	2174	1975	13719	300.082
ENSMUST00000056665.3	2393	2194	502	9.88443
ENSMUST00000061143.14	3351	3152	1982.98	27.1779
ENSMUST00000060010.2	2531	2332	301	5.576
ENSMUST00000071812.10	5756	5557	911.695	7.08751
ENSMUST00000047368.7	875	676	535.399	34.2149
ENSMUST00000058496.7	12409	12210	3257.37	11.5249
ENSMUST00000053540.10	930	731	1547.61	91.4595
ENSMUST00000065896.8	2842	2643	1881.17	30.7478
ENSMUST00000062368.12	3806	3607	1219.58	14.6066
ENSMUST00000072750.12	1537	1338	2803.43	90.5146
ENSMUST00000068106.4	2393	2194	452.583	8.91141
ENSMUST00000055655.8	10050	9851	1544.19	6.77183
ENSMUST00000071841.6	2100	1901	2607.33	59.2515
ENSMUST00000051674.2	3505	3306	4166.13	54.4396
ENSMUST00000070210.5	2666	2467	2080.7	36.4356
ENSMUST00000060043.12	10575	10376	3840.23	15.9887
ENSMUST00000047503.15	3252	3053	777.668	11.004
ENSMUST00000051221.12	1477	1278	534.888	18.0808
ENSMUST00000050472.15	3757	3558	1158.36	14.0644
ENSMUST00000059524.6	2093	1894	7496.91	170.996
ENSMUST00000063661.12	3896	3697	1496.56	17.4876
ENSMUST00000072777.13	3710	3511	1879.99	23.1317
ENSMUST00000063542.7	2136	1937	1874.69	41.8105
ENSMUST00000071268.10	4720	4521	777.578	7.43009
ENSMUST00000058096.13	4633	4434	3604.86	35.1219
ENSMUST00000051758.10	3112	2913	1097.59	16.2774
ENSMUST00000071642.10	17970	17771	8383.6	20.38
ENSMUST00000063669.7	2644	2445	496.523	8.77294
ENSMUST00000084820.5	7583	7384	1562.07	9.13889
ENSMUST00000094245.3	1259	1060	423	17.2393
ENSMUST00000076941.11	4541	4342	1300.53	12.9395
ENSMUST00000080514.8	1423	1224	364	12.8471
ENSMUST00000084264.11	4847	4648	968.076	8.99762
ENSMUST00000087401.11	3862	3663	3043.15	35.8898
ENSMUST00000087316.5	3561	3362	398.043	5.11466
ENSMUST00000096021.9	608	409	970.11	102.467
ENSMUST00000092569.12	2366	2167	1365.14	27.2147
ENSMUST00000087216.11	3712	3513	1721.78	21.1731
ENSMUST00000088546.11	4409	4210	1228.01	12.601
