target_id	length	eff_length	est_counts	tpm
ENSMUST00000000033.11	3708	3509	40768.8	494.502
ENSMUST00000000153.8	3416	3217	2605	34.4651
ENSMUST00000000253.5	2840	2641	318.416	5.13157
ENSMUST00000000260.12	1580	1381	521.637	16.0767
ENSMUST00000000348.14	1594	1395	1845.45	56.3057
ENSMUST00000000312.11	4430	4231	9292.5	93.4788
ENSMUST00000000395.7	3161	2962	2050.31	29.4617
ENSMUST00000000500.7	2944	2745	766.502	11.8849
ENSMUST00000000896.10	2789	2590	646.593	10.6256
ENSMUST00000000608.7	4127	3928	14827	160.659
ENSMUST00000000924.12	2288	2089	520.885	10.6127
ENSMUST00000000543.5	2033	1834	469.45	10.8946
ENSMUST00000001055.14	1282	1083	295.732	11.6223
ENSMUST00000000809.2	2928	2729	655	10.2155
ENSMUST00000001547.7	5930	5731	14152.5	105.106
ENSMUST00000001507.4	3931	3732	2014.23	22.9716
ENSMUST00000001126.3	1978	1779	884.935	21.1718
ENSMUST00000001595.9	2584	2385	772.403	13.7841
ENSMUST00000001347.6	1394	1195	4794.07	170.75
ENSMUST00000001226.10	2375	2176	374.258	7.32041
ENSMUST00000001812.4	3779	3580	594.018	7.0622
ENSMUST00000001242.8	1378	1179	1455.03	52.5268
ENSMUST00000001583.7	4382	4183	1209.68	12.3085
ENSMUST00000002457.1	2940	2741	754.104	11.7097
ENSMUST00000002127.13	1329	1130	1886.04	71.039
ENSMUST00000002084.13	3648	3449	1102.2	13.6016
ENSMUST00000003622.15	1666	1467	841.713	24.4207
ENSMUST00000002678.9	2175	1976	939	20.2256
ENSMUST00000003038.11	4646	4447	9602.85	91.9087
ENSMUST00000003433.10	3065	2866	2568.61	38.1457
ENSMUST00000003828.10	2195	1996	1563.92	33.3485
ENSMUST00000003061.13	2429	2230	753.989	14.3907
ENSMUST00000002303.11	1202	1003	2222.68	94.3191
ENSMUST00000002518.8	1411	1212	1220.34	42.8551
ENSMUST00000003687.7	3383	3184	1210.26	16.1781
ENSMUST00000003436.11	1468	1269	1848.2	61.9885
ENSMUST00000007444.13	2099	1900	602.05	13.4866
ENSMUST00000006392.2	3253	3054	8599.06	119.841
ENSMUST00000006397.6	1761	1562	326.556	8.89815
ENSMUST00000006749.9	4545	4346	4451.82	43.5985
ENSMUST00000009707.13	1536	1337	1567.69	49.9058
ENSMUST00000005019.5	931	732	110	6.39595
ENSMUST00000009530.4	833	634	315.24	21.1629
ENSMUST00000004622.6	6168	5969	2049.23	14.6121
ENSMUST00000006362.3	1010	811	22172.5	1163.63
ENSMUST00000004968.10	3280	3081	3198.14	44.1804
ENSMUST00000006523.11	445	246	277.386	47.9924
ENSMUST00000004990.13	3562	3363	714.03	9.03677
ENSMUST00000004684.12	5271	5072	1573.36	13.203
ENSMUST00000004913.6	1582	1383	345.255	10.6253
ENSMUST00000005406.11	3176	2977	1279.24	18.2893
ENSMUST00000009058.9	4306	4107	1604.58	16.6288
ENSMUST00000005749.5	4300	4101	4466.47	46.3551
ENSMUST00000009234.15	4085	3886	4139.77	45.3416
ENSMUST00000004745.8	1847	1648	2249.76	58.1034
ENSMUST00000004959.2	1662	1463	283.414	8.24518
ENSMUST00000004892.6	595	396	515.16	55.3695
ENSMUST00000010451.7	1831	1632	238	6.20698
ENSMUST00000020617.2	6255	6056	1136	7.98391
ENSMUST00000018755.9	1182	983	484.089	20.9602
ENSMUST00000016664.7	4557	4358	1995.26	19.4865
ENSMUST00000015585.3	894	695	265.482	16.2582
ENSMUST00000018713.12	1335	1136	2001.6	74.9932
ENSMUST00000019044.7	3062	2863	1347.63	20.0342
ENSMUST00000013304.7	1629	1430	3883	115.573
ENSMUST00000020662.14	4856	4657	2507.65	22.9184
ENSMUST00000020531.8	801	602	31773.4	2246.42
ENSMUST00000018821.8	1685	1486	1575	45.1114
ENSMUST00000020647.9	1142	943	117.103	5.28543
ENSMUST00000018002.12	2248	2049	495.859	10.3001
ENSMUST00000017841.3	1688	1489	2680	76.6061
ENSMUST00000020643.3	2688	2489	488	8.34485
ENSMUST00000018743.4	2522	2323	437.468	8.01532
ENSMUST00000020478.13	3422	3223	512.869	6.77282
ENSMUST00000010941.5	2255	2056	329	6.81077
ENSMUST00000020721.14	3335	3136	3212.5	43.6005
ENSMUST00000018186.15	2422	2223	1879.79	35.9909
ENSMUST00000020524.14	2946	2747	1376.7	21.3307
ENSMUST00000020081.10	1834	1635	8796.52	228.99
ENSMUST00000017783.12	7156	6957	2704.98	16.5488
ENSMUST00000020904.7	7644	7445	3967.61	22.6823
ENSMUST00000018361.9	1800	1601	794.997	21.1348
ENSMUST00000018012.13	2693	2494	599.755	10.2353
ENSMUST00000017867.9	849	650	1519.09	99.4703
ENSMUST00000013633.11	2329	2130	353.495	7.06362
ENSMUST00000016781.7	1013	814	209.788	10.9693
ENSMUST00000020217.6	3210	3011	4822	68.1616
ENSMUST00000015578.4	909	710	878.152	52.6423
ENSMUST00000010807.5	3460	3261	1124.3	14.6742
ENSMUST00000018610.6	4192	3993	1969.37	20.9919
ENSMUST00000020982.6	4086	3887	1146	12.5485
ENSMUST00000019386.9	3591	3392	885	11.1048
ENSMUST00000019050.11	2230	2031	584.951	12.2584
ENSMUST00000014743.9	4176	3977	636.283	6.80954
ENSMUST00000015791.5	11388	11189	10672.8	40.5985
ENSMUST00000016383.9	2911	2712	1777.37	27.8941
ENSMUST00000016498.4	2562	2363	545	9.81649
ENSMUST00000019199.13	3243	3044	873.859	12.2186
ENSMUST00000019992.5	6046	5847	1840.39	13.3968
ENSMUST00000017851.3	3683	3484	3114.24	38.045
ENSMUST00000020692.6	2743	2544	1658	27.739
ENSMUST00000014505.4	4302	4103	395.026	4.09777
ENSMUST00000014447.12	3619	3420	895.251	11.1415
ENSMUST00000016678.13	1769	1570	949.374	25.7372
ENSMUST00000017610.9	3709	3510	798.041	9.67702
ENSMUST00000020085.6	1431	1232	341.357	11.7929
ENSMUST00000019945.14	2129	1930	498.298	10.9889
ENSMUST00000017637.12	3831	3632	2242.17	26.2752
ENSMUST00000016638.7	2454	2255	963.14	18.1788
ENSMUST00000020523.3	4146	3947	1617.54	17.4426
